---file metadata---
location: PJ
date generated: 2024-05-08 12:36:46.442179
writer: sawyer.io.sawyer_out
writer HEAD SHA: d80c2a65b5cb7e9395ba8256543121646b55ef7d
called from: make_daily_files.py
-------------------
Date,Rain_mm_Tot_sum,AirTC_Avg_avg,BP_hPa_avg,RH_Avg_avg,PPFD_Up_umol_Avg_avg,WS_ms_Avg_avg,WindDir_MEAN1_WVT_avg,VWC_1_125_avg,VWC_1_2_avg,VWC_1_25_avg,VWC_1_5_avg,VWC_1_50_avg,VWC_2_150_avg,VWC_2_2_avg,VWC_2_25_avg,VWC_2_5_avg,VWC_2_50_avg,VWC_3_125_avg,VWC_3_2_avg,VWC_3_25_avg,VWC_3_5_avg,VWC_3_50_avg,TS_1_125_avg,TS_1_2_avg,TS_1_25_avg,TS_1_5_avg,TS_1_50_avg,TS_2_150_avg,TS_2_2_avg,TS_2_25_avg,TS_2_5_avg,TS_2_50_avg,TS_3_125_avg,TS_3_2_avg,TS_3_25_avg,TS_3_5_avg,TS_3_50_avg,EC_1_125_avg,EC_1_2_avg,EC_1_25_avg,EC_1_5_avg,EC_1_50_avg,EC_2_150_avg,EC_2_2_avg,EC_2_25_avg,EC_2_5_avg,EC_2_50_avg,EC_3_125_avg,EC_3_2_avg,EC_3_25_avg,EC_3_5_avg,EC_3_50_avg,PSI_1_125_avg,PSI_1_2_avg,PSI_1_25_avg,PSI_1_50_avg,PSI_3_125_avg,PSI_3_2_avg,PSI_3_25_avg,PSI_3_50_avg,CO2_1_125_avg,CO2_1_25_avg,CO2_1_5_avg,CO2_1_50_avg,CO2_1_SURF_avg,CO2_2_150_avg,CO2_2_25_avg,CO2_2_5_avg,CO2_2_50_avg,AirTC_Min_min,RH_Avg_min,AirTC_Max_max,RH_Avg_max
2018-02-28,6.299999999999999,5.468594567655112,840.0490451636852,39.56452604166667,366.4629206496587,2.3800548115079425,247.79714062499974,0.034004464285716185,NA,0.07602182539682548,0.07121577380952268,0.03737549603174676,0.09363888888888987,NA,0.0784060019841259,0.05896478174603169,0.03893799603174803,0.04587499999999963,NA,0.08888913690476483,0.045094990079363864,0.043850942460318613,11.300262896825373,NA,6.592978670634947,5.166988343253958,7.916103670634939,11.66014880952383,NA,7.780123759920637,6.723116815476182,9.411804811507976,12.113182043650783,NA,10.043119791666667,9.600838293650801,10.762960069444418,0.005953869047619175,NA,0.04724999999999984,0.01828323412698453,0.017091765873016293,0.07376289682539407,NA,0.05940550595237989,0.021388640873016212,0.02388293650793585,0.02071304563492049,NA,0.0981398809523825,0.02206101190476256,0.01807862103174575,NA,NA,NA,NA,NA,NA,NA,NA,NA,760.1945327024506,448.69874045919903,1100.2585364256868,352.09003043748095,1895.792160719828,911.4128459509781,473.96648997828106,1291.0192621780952,-9.52,5.061,21.0,97.3
2018-03-31,38.80000000000001,7.535851025467657,839.6808613999543,48.17417611336029,453.2259306948895,2.424834457939722,241.42975438596477,0.03393381359747961,NA,0.08429401170643742,0.0981497073390366,0.03886312471859349,0.09454367402071524,NA,0.06646803241783185,0.083669067987394,0.04029153534443969,0.045666366501575406,NA,0.10866591625393944,0.07921566861774021,0.044014858171992986,10.594691580369272,NA,8.24511976587124,7.679664565511021,8.663210040522324,10.936751463304835,NA,9.558016208914905,9.516987393066177,9.713140927510144,10.892336785231935,NA,10.050755290409716,10.215660288158489,10.10842863574968,0.005914472203466298,NA,0.05031645284717509,0.02315957686248087,0.019420436641909018,0.07582714382173922,NA,0.059153724960612955,0.02867341886113013,0.024987620976817213,0.0204906594643267,NA,0.10197141571010604,0.030848975917173373,0.018231150123790625,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1618.7432641878645,954.6322886068831,602.1866311900735,1266.06031562324,353.1492573886085,1922.5099216018054,1127.853136463624,563.4068212633945,1432.1529089114495,-9.37,5.982,23.64,114.8
2018-04-30,0.1,14.095467038068696,839.4034493055543,26.67601458333336,631.8883380863597,3.0346145833333384,244.71498657407426,0.0350171296296275,NA,0.07131226851851682,0.05563564814814732,0.042995138888892816,0.0992761574074109,NA,0.06673865740740503,0.04380532407407397,0.043592824074075526,0.047156249999998526,NA,0.08125231481481757,0.04432314814814924,0.047148842592591354,13.49572685185181,NA,16.61848379629632,16.877421296296323,15.809550925925983,13.642916666666652,NA,17.757000000000065,18.47909953703703,15.793210648148115,12.858888888888805,NA,16.0909513888889,17.058587962962957,14.798384259259278,0.006433333333333649,NA,0.05765717592592636,0.0187462962962966,0.02605231481481523,0.08608263888889027,NA,0.07219699074074072,0.015971527777778143,0.030866898148149115,0.022743287037036895,NA,0.10197708333333473,0.022034027777778305,0.02169560185185227,NA,NA,NA,NA,NA,NA,NA,NA,2231.9079122466687,1167.2645474232788,545.7632873480034,1736.8885248986678,363.0970909959465,2601.7900031847134,1351.657075275046,604.641626548928,1877.874655761432,-1.7919999999999998,4.997,28.38,85.9
2018-05-31,6.799999999999997,17.156009905448038,838.5452030241968,32.19555376344084,683.1987299688054,2.427882168458784,217.4275235215051,0.03461671146953313,NA,0.0475017921146936,0.029350134408602555,0.042222222222224194,0.10003068996415704,NA,0.0599363799283163,0.029295698924731575,0.042873207885308455,0.04714448924730982,NA,0.06658490143369107,0.029144041218638415,0.0470194892473097,16.802757616487487,NA,21.183915770609314,22.12179032258075,20.047701612903257,16.84765681003588,NA,21.603449820788565,22.704554435483846,19.542361111111152,15.362092293906798,NA,18.55038754480282,19.643904569892484,17.408458781361954,0.004847446236559394,NA,0.04570071684587846,0.008643817204300928,0.02330129928315495,0.08467809139785416,NA,0.06960909498207876,0.006398745519712803,0.03178360215053677,0.021640232974910655,NA,0.08943772401433706,0.007669130824373002,0.021581093189964984,NA,NA,NA,NA,NA,NA,NA,NA,2327.7504812008956,943.7351260662185,495.6752246632985,1482.1541647025765,370.88123288439857,2642.1856416947203,1085.0838247755332,480.49860718294104,1678.5734231200868,3.284,5.632999999999999,31.5,98.6
2018-06-30,0.0,23.674118284869355,840.0005496503503,17.772937572522586,758.9452691192265,2.444206032482602,211.6241044083524,0.03396870621205169,NA,0.04600583839327172,0.021242877160206137,0.043026623073334484,0.09753503035964121,NA,0.057134516581039935,0.018916160672583095,0.04300000000000393,0.04699999999999758,NA,0.06504787482484742,0.02386268099019242,0.04814502568893302,20.214156936011225,NA,27.32032227930876,29.83902849135918,25.32591078935075,20.087564222325994,NA,27.143351237739424,29.40295889771132,24.0833465670248,18.28417328351233,NA,23.220581503970216,25.130873423633776,21.41960765997197,0.004239393939393878,NA,0.038902797202797705,0.00204801864801852,0.020525641025641292,0.08219487179487563,NA,0.06739766899766887,0.0015734265734265792,0.032627972027971144,0.021364102564103992,NA,0.09034685314685241,0.004172027972027828,0.022464335664334627,NA,-5564.967441860458,-1352.1309481216433,-2047.685330948125,-2750.58792486584,-7030.237835420395,-1332.3132379248675,-1987.8707513416828,2472.087293653124,793.2954714327475,465.9640315589361,1279.3890175489921,382.8153458028657,2451.7874160818697,917.3013928926596,435.9734372038606,1485.2938207078137,7.752999999999999,2.9810000000000003,35.91,82.7
2018-07-31,60.70000000000001,24.55764474423836,845.0482256015365,40.006649833253924,629.3061773558613,1.7294478323010962,192.99800000000005,0.03473034249879391,NA,0.05612831644958968,0.05772165943077651,0.042818620356970635,0.09693970091654831,NA,0.06490496864447752,0.054801736613603394,0.04299276410998685,0.046999999999998154,NA,0.08296333815726127,0.045776652194886525,0.04958273034249901,22.594573082489102,NA,27.890024119633342,28.71162083936326,26.791061263868837,22.39945972021226,NA,27.675229136517082,28.691432706222873,25.817221418234542,20.59107091172218,NA,24.50254703328507,25.700853835021693,23.31189580318376,0.004915784408084523,NA,0.04103753609239688,0.016801251203079872,0.019692974013474085,0.08430750721847842,NA,0.06599133782483216,0.020148219441770858,0.03293407122233005,0.021923484119344614,NA,0.1024393647738208,0.016842637151106846,0.023229066410010275,NA,-5311.632149418234,-1556.2260869565232,-2080.406368646665,-2433.5987140232733,-5737.535456215571,-1365.4549908144536,-1934.3475811390113,2174.701074817518,1431.0368696472008,1275.3731991484196,1687.116690997566,390.58879197080347,2499.799720802918,1439.207188138685,895.364822506084,1779.673943430658,13.25,3.65,37.37,100.0
2018-08-31,0.0,24.1431231380338,842.0494760717831,28.96324665012414,610.7632117706286,2.207677419354839,213.35446203473958,0.034900649026459236,NA,0.047487269096355214,0.04225212181727395,0.04370993509735445,0.1039785322017007,NA,0.06093609585621648,0.03304543185222214,0.0445566650024957,0.048024451097805336,NA,0.07001347978032738,0.030781328007988308,0.05016367265468901,24.480384231536927,NA,27.29342315369263,27.3662774451097,26.842569860279404,24.646157684630925,NA,27.976202594810395,28.674610778443064,26.796152694610782,23.273542914171628,NA,26.1568562874252,27.200863273453088,25.227135728542958,0.0045563310069788865,NA,0.04110867397806598,0.019669990029910142,0.021914755732801466,0.0940054835493508,NA,0.07534845463609117,0.007375373878365132,0.03516400797607148,0.023461116650050823,NA,0.10422981056829543,0.00872283150548347,0.02535194416749682,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2430.356895499996,938.4272946499984,525.0503589000001,1467.8649854999985,384.06658375000063,3017.8260159999973,1050.331747249999,488.6712324000009,1737.013624500002,12.03,4.09,34.7,71.62
2018-09-30,7.599999999999998,21.93011805555555,840.9430214583292,25.445217361111037,555.8911830334383,2.080658101851848,216.58757800925915,0.03400000000000125,NA,0.04511898148148451,0.02307986111111085,0.04221064814814949,0.10007384259259187,NA,0.05651157407407773,0.023502777777778604,0.042824305555558155,0.04735833333333168,NA,0.06613726851851841,0.02473356481481569,0.04916458333333768,23.916201388888922,NA,24.9194745370371,24.327974537037036,25.036312500000022,24.112493055555646,NA,25.608981481481383,25.656766203703633,25.269087962962992,23.22954629629617,NA,25.48722685185185,26.326606481481384,24.771608796296313,0.004028935185184994,NA,0.031302083333333196,0.0031275462962965855,0.018157638888888442,0.08763263888888709,NA,0.06355046296296328,0.0027111111111113133,0.032204629629630596,0.021961574074074446,NA,0.0930581018518515,0.004339583333333321,0.02351759259259197,NA,NA,NA,NA,NA,NA,NA,NA,1997.234794212964,742.7193109722202,479.0866022916665,1158.467101157408,382.28468613425974,2490.7013604166505,838.887161967592,444.2028940277795,1382.9251203703648,10.07,4.158,33.34,94.3
2018-10-31,13.699999999999992,12.817765008960583,840.0987606854794,46.2847607526882,397.7818849308846,2.3921924283154103,227.24450537634385,0.033259184587812435,NA,0.03950604838709525,0.023854614695341052,0.03803001792114947,0.09453853046594801,NA,0.05029077060932252,0.030616711469534687,0.03996057347669976,0.045978494623653096,NA,0.05937298387096618,0.023779345878136605,0.04595855734766649,21.18587365591397,NA,16.34078405017922,13.6495728046595,18.23194444444437,21.635434587813627,NA,17.43378136200716,15.518285170250897,19.711391129032254,21.21596102150531,NA,18.855432347670256,17.972159498207848,19.980508512544834,0.0034399641577060568,NA,0.02069377240143388,0.004544578853046576,0.014515681003585227,0.07846146953404985,NA,0.04623051075268801,0.006499551971326182,0.026551523297494013,0.020028225806454122,NA,0.07121550179211503,0.004014560931899446,0.019774193548388535,NA,NA,NA,NA,NA,NA,NA,NA,1584.19751792115,594.7926398969516,471.7120739695323,923.4594314516122,361.61775138888987,2028.0402737455263,726.95400237455,450.62851207437274,1140.5396299283168,1.541,7.972,25.88,98.8
2018-11-30,13.399999999999999,8.228911574074036,841.7786873611132,31.603010416666592,327.58483245744145,2.3918069444444505,250.45500277777757,0.032085185185185994,NA,0.036907407407408686,0.025123842592593384,0.035599305555553115,0.08946990740741095,NA,0.04771712962962769,0.025038657407407915,0.037831250000002294,0.04449814814815155,NA,0.05787106481481808,0.027138888888888806,0.04386412037037219,17.420618055555515,NA,10.582584953703702,8.058828472222247,12.815002314814825,17.927655092592506,NA,11.59458773148149,9.48175833333337,14.62775000000009,18.093071759259153,NA,14.519856481481476,13.463891435185165,15.979979166666618,0.0030243055555556372,NA,0.016945601851851597,0.004389120370370604,0.012234027777778655,0.06872245370370453,NA,0.039321064814816044,0.004041435185185435,0.022372685185185474,0.018011342592592305,NA,0.06306504629629665,0.005353472222222158,0.017128472222223384,NA,NA,NA,NA,NA,NA,NA,NA,1239.8370708333339,488.5655419212964,414.0725050231476,716.5153886342578,361.4414383333323,1682.3401937499982,604.2054952777764,384.12400722222173,937.4372134259261,-6.5870000000000015,3.916,21.42,98.3
