'Order','Type1','Type2','User','Status','SampleID','AnalyID','Order'2,'Date_Time','AcidTemp','d13CPDBraw','d18OPDBgasraw','d45vref','d46vref','d47vref','d48vref','d9vref','D47vref'3,'D48vref'4,'D49vref','D47@d47=0','D48@d487=0','D49@d49=0','d13CPDB','d18OPDBmin','D47_90 CDES','D47_90 iCDES+','D47_90_iCDES','D48_90 CDES','D48_90 iCDES+','D48_90_iCDES','D49_90 CDES','D49_90 iCDES+','D47_90_iCDES'5,'T(D47)CDES','TD47iCDES+','T(D47)iCDES'
4338,'Sample','Matthew''s BHB Carbs','euf','include',PK95-SC-23,'IPL-CI-4702 PK95-SC-23-01',4338,'2/17/2026 9:36:55 AM',90,-8.285186218,-0.436148219,2.130723078,-1.568194809,0.316362296,-3.190396647,-21.08505919,-0.362145974,-0.09958046,-20.3804395,-0.362507492,-0.098923924,-13.41607541,-8.567536008,-8.428039282,0.564366446,0.561417994,0.559011707,0.269854149,0.269991057,0.273001515,-0.75906505,1.06787525,1.312725312,38.37330483,39.54355491,40.50845412
4345,'Sample','Matthew''s BHB Carbs','wmn','include',PK95-SC-279,'IPL-CI-4709 PK95-SC-279-02',4345,'2/18/2026 4:21:46 PM',90,-8.29635209,-1.460154025,2.083718785,-2.590063123,-0.77686914,-5.286501979,-28.41849657,-0.394741503,-0.136632238,-25.6815388,-0.393857961,-0.135063596,-16.29829691,-8.578701881,-9.443788488,0.531299308,0.527796334,0.524861825,0.228441625,0.228488566,0.230097479,3.600399563,1.117437696,0.386192414,52.30610346,53.89411985,55.24247752
4342,'Sample','Matthew''s BHB Carbs','wmn','include',PK95-SC-179,'IPL-CI-4706 PK95-SC-179-02',4342,'2/18/2026 9:08:43 AM',90,-7.503373593,-0.203842731,2.873899117,-1.33474983,1.305569572,-2.768693935,-25.6589617,-0.366568037,-0.127678175,-26.16405762,-0.36805591,-0.12696454,-17.69066648,-7.785723383,-8.197606883,0.558780476,0.555546221,0.55292321,0.237676456,0.237728732,0.239621224,5.753641018,1.130588354,-0.068409398,40.60164715,41.91391217,42.99034888
4346,'Sample','Matthew''s BHB Carbs','euf','include',PK95-SC-165,'IPL-CI-4710 PK95-SC-165-02',4346,'2/19/2026 9:52:33 AM',90,-6.899384098,-0.254427134,3.444155753,-1.383968951,1.856666434,-2.848589627,-24.19936526,-0.336116685,-0.108226753,-25.18142356,-0.338226853,-0.107344495,-17.19166482,-7.181733889,-8.247783422,0.591283106,0.587849216,0.58524218,0.260439641,0.260657119,0.263815999,4.906873371,1.141915558,0.095580379,28.26415559,29.49928257,30.44720734
4375,'Sample','Matthew''s BHB Carbs','wmn','include',PK95-SC-23,'IPL-CI-4741 PK95-SC-23-02',4375,'2/26/2026 11:50:57 AM',90,-8.242535655,-0.436648122,2.165410043,-1.568624257,0.37476866,-3.288640262,-16.96472204,-0.342941456,-0.157546028,-16.26822708,-0.343358973,-0.155288469,-10.67536149,-8.524885445,-8.428535155,0.588438233,0.583054675,0.579209757,0.206091103,0.206345188,0.207622984,-3.909163857,0.78352089,2.304642804,29.28634158,31.24949923,32.67521513
4377,'Sample','Matthew''s BHB Carbs','wmn','include',PK95-SC-27,'IPL-CI-4743 PK95-SC-27-02',4377,'2/26/2026 4:53:24 PM',90,-9.939060001,-1.847987217,0.517587732,-2.980515844,-2.731888127,-6.063133817,-28.82921808,-0.365642719,-0.129931142,-23.7418589,-0.362603454,-0.125611432,-14.23852075,-10.22140979,-9.828494566,0.568050614,0.562451784,0.558271143,0.240454754,0.240986919,0.244836088,0.612133157,1.052148062,1.10787935,36.92934653,39.13174029,40.80721614
4380,'Sample','Matthew''s BHB Carbs','wmn','include',PK95-SC-50,'IPL-CI-4746 PK95-SC-50-02',4380,'2/27/2026 3:39:04 PM',90,-8.481308477,-1.437144073,1.909285621,-2.567504538,-0.912818,-5.200765118,-26.80261783,-0.360110252,-0.084935967,-23.88396987,-0.35909685,-0.081027958,-15.05003785,-8.763658268,-9.420964067,0.57208509,0.56629926,0.562031891,0.292097451,0.293068091,0.301008644,1.62213087,1.118456335,0.837955344,35.37089586,37.61325603,39.29881006
4378,'Sample','Matthew''s BHB Carbs','wmn','include',PK95-SC-185,'IPL-CI-4744 PK95-SC-185-03',4378,'2/27/2026 8:51:23 AM',90,-8.760731821,-0.350232645,1.683966109,-1.483480924,-0.057626308,-3.092717002,-22.01952515,-0.347166387,-0.1350584,-20.95597662,-0.347102322,-0.132814799,-13.69777364,-9.043081611,-8.342816449,0.5847129,0.579113624,0.575095291,0.232163858,0.232646613,0.235934724,-0.061440378,1.007551389,1.292247918,30.64074489,32.71111905,34.22329195
4381,'Sample','Matthew''s BHB Carbs','wmn','include',PK95-SC-165,'IPL-CI-4747 PK95-SC-165-03',4381,'2/28/2026 11:22:09 AM',90,-6.906370906,-0.219416859,3.438316125,-1.34905087,1.905595352,-2.775452585,-20.04368341,-0.328834512,-0.098662498,-21.06528909,-0.330948608,-0.096540884,-14.45938582,-7.188720697,-8.213055436,0.602242317,0.596515623,0.592597896,0.274202049,0.275050485,0.281715297,0.891939984,1.068117611,1.039564303,24.42113031,26.41082532,27.79522955
4383,'Sample','Matthew''s BHB Carbs','wmn','include',PK95-SC-23,'IPL-CI-4749 PK95-SC-23-03',4383,'2/28/2026 7:40:06 PM',90,-8.262254387,-0.443344659,2.151056162,-1.575347575,0.330239562,-3.290901226,-13.48919818,-0.349581764,-0.164748948,-12.72840233,-0.349947625,-0.162147806,-8.283149336,-8.544604177,-8.435177698,0.582137759,0.576192203,0.571923915,0.198419428,0.198696598,0.199568655,-6.640073634,0.513014179,3.14158998,31.58768574,33.80827951,35.43270491
