petm_phase,mean_c,median_c,lower50_c,upper50_c,lower80_c,upper80_c,lower95_c,upper95_c,n_horizons
Post-PETM,30.608549566368705,31.030447906319726,23.62138647564941,37.17082602461555,19.394927851094714,41.21211363522338,15.618146566282807,45.40157218641326,19
PETM,30.651135941609592,31.068653413216104,26.332058073134775,34.71409509059374,23.011062122394385,38.384375893161156,16.16597780636064,43.83491611193688,19
Pre-PETM,33.69995447860972,32.34011561866025,29.10859910598717,37.30867573427017,27.262263028802593,42.05656894779448,24.746723630773257,48.653258011958776,10
