age_bin_ma,Age_Ma,temperature_C,temperature_se_C,n_observations,n_sections,sections
52.900000000000006,52.927272727272744,41.70659171597633,2.2268424324444043,2,1,MCP
53.400000000000006,53.42875,33.8,2,1,1,MCP
53.7,53.73953125,30,2.3,1,1,MCP
54.2,54.16607262569831,35.6,1.8,1,1,CFB
54.400000000000006,54.41132402234636,27.5,2.0869560153534854,1,1,CFB
54.6,54.56583240223463,17.1,3.695041722813605,1,1,CFB
54.7,54.668837988826816,38.5,2.0869560153534854,1,1,CFB
54.800000000000004,54.78391507013223,37.05157786424803,1.2180229563422746,2,1,CFB
54.900000000000006,54.90182681564246,31.850000000000005,1.7731798179165768,1,1,CFB
55.1,55.07350279329609,26.8,5.2,1,1,CFB
55.300000000000004,55.28833756948262,23.662668954037343,1.0510401489684138,2,1,CFB
55.400000000000006,55.36780446927374,41.7,1.873499399519519,1,1,CFB
55.6,55.588530726256984,36.9,3.2,1,1,CFB
55.7,55.70585166549577,22.984329211496036,0.6333063788885008,5,1,CFB
55.800000000000004,55.82103821560852,32.01830181569032,0.928929566438843,6,1,CFB
55.900000000000006,55.90704658218251,28.518352337030112,0.42225736372893746,16,1,CFB
56.1,56.091296089385466,36.13333333333333,1.6333333333333333,1,1,CFB
56.400000000000006,56.40595098943864,31.266391382405743,3.514557823765156,2,1,CFB
56.6,56.61858659217878,28.6,2.227853974867594,1,1,CFB
56.800000000000004,56.83931284916201,38.16482982171799,2.447715833974563,2,1,CFB
56.900000000000006,56.937413407821225,31.02,2.5419284018240953,1,1,CFB
57.300000000000004,57.28076536312849,29.53333333333334,1.4437605218471812,1,1,CFB
57.6,57.575067039106145,28.74,1.3507775538555566,1,1,CFB
58,58.01360567823344,44.300000000000004,6.314005596027507,1,1,CFB
