section_id,MLA_horizon_id,Age_Ma,source,d13Ccarb_vpdb,d13Ccarb_se
CFB,PK95-SC-33,55.073502793296086,Koch,-7.435,0.00500000000000033
CFB,PK95-SC-35,54.99992737430168,Koch,-8.01,0.02999999999999935
CFB,PK95-SC-3,54.84051396648045,Koch,-8.2275,0.07835549331944319
CFB,PK95-SC-64,54.75467597765363,Koch,-8.25,0.06000000000000049
CFB,PK95-SC-111,54.668837988826816,Koch,-8.425,0.125
CFB,PK95-SC-112,54.6320502793296,Koch,-8.455,0.15499999999999936
CFB,PK95-SC-148lwr,54.56583240223463,Koch,-8.325,0.09499999999999977
CFB,PK95-SC-148up,54.558474860335195,Koch,-7.77,NA
CFB,PK95-SC-303,54.41132402234636,Koch,-8.445,0.07500000000000018
CFB,PK95-SC-295,54.16607262569832,Koch,-10.125,0.01500000000000056
CFB,PB-00-03-02,55.954445810055866,Bowen,-9.1,0.15275252316519453
CFB,PB-00-03-03,55.95321955307262,Bowen,-12.225,0.3010398644698074
CFB,PB-00-03-04,55.951502793296086,Bowen,-9.25,0.2723355773061364
CFB,PB-00-03-05,55.94978603351955,Bowen,-8.26,0.35860842154082195
CFB,PB-00-03-06,55.948069273743016,Bowen,-9.4,0.05773502691896237
CFB,PB-00-03-07,55.94169273743017,Bowen,-10.925,0.24281337140555756
CFB,PB-00-03-08,55.92109162011173,Bowen,-9.8,0.05773502691896288
CFB,PB-00-03-10,55.91863910614525,Bowen,-9.425,0.14361406616345093
CFB,PB-00-03-11,55.91103631284916,Bowen,-9.875,0.11086778913041724
CFB,PB-00-03-12,55.90809329608938,Bowen,-10.6,0.3763863263545405
CFB,PB-00-03-13,55.9066217877095,Bowen,-10.2,0.10801234497346436
CFB,PB-00-01-01,55.9051502793296,Bowen,-12.4,0.0707106781186545
CFB,PB-00-01-02,55.90196201117318,Bowen,-12.5,0.14142135623730942
CFB,PB-00-03-14,55.89534022346368,Bowen,-12.875,0.06291528696058978
CFB,PB-00-01-03,55.89534022346368,Bowen,-14.15,0.04999999999999982
CFB,PB-00-01-04,55.89141620111731,Bowen,-13.875,0.1887458608817686
CFB,PB-00-03-15,55.89068044692737,Bowen,-14.375,0.07500000000000008
CFB,PB-00-01-05,55.88945418994413,Bowen,-15.875,0.21691835198657455
CFB,PB-00-03-16,55.88920893854748,Bowen,-14.275,0.10307764064044166
CFB,PB-00-03-17,55.888227932960895,Bowen,-15.5,0.04082482904638616
CFB,PB-00-01-06,55.8877374301676,Bowen,-14.2375,0.09624652127294184
CFB,PB-00-03-18,55.88651117318435,Bowen,-13.875,0.19311050377094127
CFB,PB-00-01-07,55.88602067039106,Bowen,-14.375,0.1493039405597408
CFB,PB-00-01-07.5,55.882832402234634,Bowen,-14.275,0.24622144504490223
CFB,PB-00-03-19,55.882587150837985,Bowen,-14.5,0.1732050807568878
CFB,PB-00-01-08,55.882096648044694,Bowen,-13.95,0.27537852736430507
CFB,PB-00-01-09D,55.87866312849162,Bowen,-14.6,0.09128709291752768
CFB,PB-00-01-09C,55.87768212290503,Bowen,-15.05,0.04999999999999982
CFB,PB-00-03-20,55.87719162011173,Bowen,-14.875,0.02499999999999991
CFB,PB-00-01-09B,55.87694636871508,Bowen,-14.725,0.08539125638299679
CFB,PB-00-01-09A,55.87596536312849,Bowen,-14.7,0.14719601443879743
CFB,PB-00-01-10D,55.8749843575419,Bowen,-14.65,0.04999999999999982
CFB,PB-00-01-10C,55.87400335195531,Bowen,-15.3,0.2041241452319313
CFB,PB-00-03-21,55.87326759776536,Bowen,-15.175,0.02499999999999991
CFB,PB-00-01-10B,55.872777094972065,Bowen,-14.875,0.10307764064044166
CFB,PB-00-01-10A,55.87228659217877,Bowen,-14.75,0.11902380714238092
CFB,PB-00-01-11,55.86958882681565,Bowen,-13.175,0.06291528696058965
CFB,PB-00-03-22,55.8678720670391,Bowen,-13.4,0.21213203435596428
CFB,PB-00-01-12,55.86713631284916,Bowen,-14.425,0.3424787098005751
CFB,PB-00-03-23,55.863948044692734,Bowen,-13.95,0.23273733406281588
CFB,PB-00-01-13,55.863702793296085,Bowen,-13.533333333333331,0.5174724898753341
CFB,PB-00-01-14B,55.860024022346366,Bowen,-13.7,NA
CFB,PB-00-02-01,55.860024022346366,Bowen,-14.9,NA
CFB,PB-00-03-24,55.860024022346366,Bowen,-14.275,0.22500000000000003
CFB,PB-00-01-14A,55.85904301675978,Bowen,-13.45,0.26299556396765844
CFB,PB-00-02-02,55.85708100558659,Bowen,-13.575,0.1600781059358213
CFB,PB-00-01-15B,55.85536424581005,Bowen,-14.025,0.16007810593582147
CFB,PB-00-01-15A,55.85364748603352,Bowen,-13.35,0.04999999999999982
CFB,PB-00-02-03,55.851194972067034,Bowen,-14.2,0.04082482904638652
CFB,PB-00-02-04,55.84898770949721,Bowen,-14.375,0.4090130397269341
CFB,PB-00-02-05,55.84800670391061,Bowen,-13.875,0.06291528696058978
CFB,PB-00-02-06,55.84530893854748,Bowen,-13.6,0.3651483716701107
CFB,PB-00-02-07D,55.842856424581,Bowen,-14.375,0.04787135538781673
CFB,PB-00-02-07C,55.841139664804466,Bowen,-13.675,0.17499999999999982
CFB,PB-00-02-07B,55.838687150837984,Bowen,-12.88,0.2576819745345024
CFB,PB-00-02-07A,55.83746089385475,Bowen,-12.85,0.16583123951776982
CFB,PB-00-02-08,55.83598938547486,Bowen,-13.825,0.04787135538781712
CFB,PB-00-02-09L,55.83255586592178,Bowen,-13.32,0.2154065922853801
CFB,PB-00-02-09U,55.831329608938546,Bowen,-13.75,0.11902380714238084
CFB,PB-00-02-10,55.82985810055866,Bowen,-13.85,0.0645497224367904
CFB,PB-00-02-11,55.82838659217877,Bowen,-13.92,0.1462873883832779
CFB,PB-00-02-12B,55.82642458100558,Bowen,-12.725,0.2015564437074635
CFB,PB-00-02-12A,55.825198324022345,Bowen,-14.2,0.04082482904638652
CFB,PB-00-02-13,55.82201005586592,Bowen,-13.25,0.05000000000000071
CFB,PB-00-02-14,55.81661452513966,Bowen,-13,0.23452078799117135
CFB,PB-00-02-15,55.812445251396646,Bowen,-13.25,0.15545631755148012
CFB,PB-00-04-01,55.80680446927374,Bowen,-11.1,0.3135814620371132
CFB,PB-00-02-17,55.80189944134078,Bowen,-10.625,0.25617376914898987
CFB,PB-00-02-18,55.79969217877095,Bowen,-10.175,0.02499999999999991
CFB,PB-00-02-19,55.796749162011174,Bowen,-10.1,0.14719601443879762
CFB,PB-00-02-20,55.79159888268156,Bowen,-9.675,0.07500000000000022
CFB,PB-00-04-03,55.78865586592178,Bowen,-9.875,0.02499999999999991
CFB,PB-00-02-21,55.787184357541896,Bowen,-9.675,0.02499999999999991
CFB,PB-00-04-04,55.78595810055866,Bowen,-9.825,0.07500000000000018
CFB,PB-00-04-05,55.77565754189944,Bowen,-9.275,0.14361406616345068
CFB,PB-00-02-22,55.7744312849162,Bowen,-9.1,0.19148542155126733
CFB,PB-00-04-06,55.77418603351955,Bowen,-9.2,0.10000000000000052
CFB,PB-00-04-08,55.76364022346369,Bowen,-8.8,0.30276503540974925
CFB,PB-00-02-23,55.7616782122905,Bowen,-8.825,0.3326033673912519
CFB,PB-00-04-09,55.761432960893856,Bowen,-8.025,0.4210601698886593
CFB,PB-00-04-10,55.75432067039106,Bowen,-9.325,0.2528998484248919
CFB,PB-00-04-11,55.740096089385474,Bowen,-9.025,0.08539125638299636
CFB,PB-00-04-12,55.73911508379888,Bowen,-8.325,0.51700257897487
CFB,PB-00-04-13,55.72881452513966,Bowen,-8.825,0.1493039405597409
CFB,PB-00-04-14,55.724154748603354,Bowen,-8.775,0.1887458608817685
CFB,PB-00-04-15,55.699629608938544,Bowen,-8.675,0.06291528696058965
CFB,PB-00-04-16,55.67633072625698,Bowen,-8.85,0.28722813232690175
MCP,32-1030-3,53.73953125,Caltech,-8.8,NA
MCP,35-1190-2,53.42875,Caltech,-10.6,NA
MCP,41-1435-2,52.92727272727274,Caltech,-11.4,NA
MCP,41-1435-6,52.92727272727274,Caltech,-11.5,NA
