MLA_horizon_id,Strat_m_Bowen,Strat_m_Kraus,strat_height_m,Bed,Status,Powder?,Nodule?,d18O_VPBD,D47_CU,17O_IPL,CU_notes,MLA_notes,Reps_needed,mg_needed
PB-00-02-09L,1530.5,,1530.5,orange,UM,no,yes,-7.8678138,yes,target,,,4,28
PB-00-02-09U,1531,,1531,,,,,,,,,,,0
PB-00-02-10,1531.6,,1531.6,,,,,,,,,,,0
PB-00-02-11,1532.2,,1532.2,,,,,,,,,,,0
PB-00-02-12,1533,,1533,,,,,,,,,,,0
PB-00-02-12,1533.5,,1533.5,,,,,,,,,,,0
PB-00-02-13,1534.8,,1534.8,,,,,,,,,,,0
PB-00-02-14,1537,,1537,,,,,,,,,,,0
PB-00-02-15,1538.7,,1538.7,,,,,,,,,,,0
PB-00-04-01,1541,,1541,Purple 4,UM,no,yes,,no,,,,,0
PB-00-02-17,1543,,1543,,,,,,,,,,,0
PB-00-02-18,1543.9,,1543.9,,,,,,,,,,,0
PB-00-04-02,1544.5,,1544.5,,,,,,,,,,,0
PB-00-02-19,1545.1,,1545.1,,UM,no,yes,,yes,yes,,,2,14
PB-00-02-20,1547.2,,1547.2,,,,,,,,,,,0
PB-00-04-03,1548.4,,1548.4,,,,,,,,,,,0
PB-00-02-21,1549,,1549,Top red A,CU?,,,,yes,,,only one D47 measurement,,0
PB-00-04-04,1549.5,,1549.5,,,,,,,,,,,0
PB-00-04-05,1553.7,,1553.7,,,,,,,,,,,0
PB-00-02-22,1554.2,,1554.2,,,,,,,,,,,0
PB-00-04-06,1554.3,,1554.3,,,,,,,,,,,0
PB-00-04-08,1558.6,,1558.6,,,,,,,,,,,0
PB-00-02-23,1559.4,,1559.4,,,,,,,,,,,0
PB-00-04-09,1559.5,,1559.5,,,,,,,,,,,0
PB-00-04-10,1562.4,,1562.4,,,,,,,,,,,0
PB-00-04-11,1568.2,,1568.2,,UM,yes,yes,-8.48,yes,target,,,4,28
PB-00-04-12,1568.6,,1568.6,,,,,,,,,,,0
PK95-SC-4,1570,,1570,,,,,,,,,,,
PB-00-04-13,1572.8,,1572.8,,,,,,,,,,,0
PB-00-04-14,1574.7,,1574.7,,UM,,yes,,yes,,,,,0
