experiment,month,soil_layer,soil_layer_center_m,d18O_soil_water_permil_vsmow
3x_orbmod,1,1,0.0071006352081894875,-13.576075553894043
3x_orbmod,1,2,0.027924999594688416,-14.226049423217773
3x_orbmod,1,3,0.06225857511162758,-13.782262802124023
3x_orbmod,1,4,0.11886506527662277,-13.037622451782227
3x_orbmod,1,5,0.21219339966773987,-12.066289901733398
3x_orbmod,1,6,0.3660658001899719,-11.251553535461426
3x_orbmod,1,7,0.6197584867477417,-11.008143424987793
3x_orbmod,1,8,1.038027048110962,-11.121466636657715
3x_orbmod,1,9,1.7276352643966675,-11.267290115356445
3x_orbmod,1,10,2.864607095718384,-11.463493347167969
3x_orbmod,1,11,4.739156723022461,-12.491151809692383
3x_orbmod,1,12,7.829766273498535,-12.492746353149414
3x_orbmod,1,13,12.925320625305176,-12.492552757263184
3x_orbmod,1,14,21.32646942138672,-12.491360664367676
3x_orbmod,1,15,35.17761993408203,-12.491569519042969
3x_orbmod,2,1,0.0071006352081894875,-12.293533325195312
3x_orbmod,2,2,0.027924999594688416,-14.575704574584961
3x_orbmod,2,3,0.06225857511162758,-14.433086395263672
3x_orbmod,2,4,0.11886506527662277,-13.814017295837402
3x_orbmod,2,5,0.21219339966773987,-12.774408340454102
3x_orbmod,2,6,0.3660658001899719,-11.703998565673828
3x_orbmod,2,7,0.6197584867477417,-11.170819282531738
3x_orbmod,2,8,1.038027048110962,-11.13559341430664
3x_orbmod,2,9,1.7276352643966675,-11.259258270263672
3x_orbmod,2,10,2.864607095718384,-11.458054542541504
3x_orbmod,2,11,4.739156723022461,-12.491151809692383
3x_orbmod,2,12,7.829766273498535,-12.492746353149414
3x_orbmod,2,13,12.925320625305176,-12.492552757263184
3x_orbmod,2,14,21.32646942138672,-12.491360664367676
3x_orbmod,2,15,35.17761993408203,-12.491569519042969
3x_orbmod,3,1,0.0071006352081894875,-8.941560745239258
3x_orbmod,3,2,0.027924999594688416,-13.30807876586914
3x_orbmod,3,3,0.06225857511162758,-13.771072387695312
3x_orbmod,3,4,0.11886506527662277,-13.735130310058594
3x_orbmod,3,5,0.21219339966773987,-13.133004188537598
3x_orbmod,3,6,0.3660658001899719,-12.128576278686523
3x_orbmod,3,7,0.6197584867477417,-11.389001846313477
3x_orbmod,3,8,1.038027048110962,-11.185348510742188
3x_orbmod,3,9,1.7276352643966675,-11.255413055419922
3x_orbmod,3,10,2.864607095718384,-11.452241897583008
3x_orbmod,3,11,4.739156723022461,-12.491151809692383
3x_orbmod,3,12,7.829766273498535,-12.492746353149414
3x_orbmod,3,13,12.925320625305176,-12.492552757263184
3x_orbmod,3,14,21.32646942138672,-12.491360664367676
3x_orbmod,3,15,35.17761993408203,-12.491569519042969
3x_orbmod,4,1,0.0071006352081894875,-6.452486038208008
3x_orbmod,4,2,0.027924999594688416,-11.066123962402344
3x_orbmod,4,3,0.06225857511162758,-11.909038543701172
3x_orbmod,4,4,0.11886506527662277,-12.593314170837402
3x_orbmod,4,5,0.21219339966773987,-12.814119338989258
3x_orbmod,4,6,0.3660658001899719,-12.302056312561035
3x_orbmod,4,7,0.6197584867477417,-11.566326141357422
3x_orbmod,4,8,1.038027048110962,-11.242255210876465
3x_orbmod,4,9,1.7276352643966675,-11.260435104370117
3x_orbmod,4,10,2.864607095718384,-11.449307441711426
3x_orbmod,4,11,4.739156723022461,-12.491151809692383
3x_orbmod,4,12,7.829766273498535,-12.492746353149414
3x_orbmod,4,13,12.925320625305176,-12.492552757263184
3x_orbmod,4,14,21.32646942138672,-12.491360664367676
3x_orbmod,4,15,35.17761993408203,-12.491569519042969
3x_orbmod,5,1,0.0071006352081894875,-5.2195634841918945
3x_orbmod,5,2,0.027924999594688416,-9.180500984191895
3x_orbmod,5,3,0.06225857511162758,-9.940132141113281
3x_orbmod,5,4,0.11886506527662277,-10.798141479492188
3x_orbmod,5,5,0.21219339966773987,-11.719985961914062
3x_orbmod,5,6,0.3660658001899719,-12.091354370117188
3x_orbmod,5,7,0.6197584867477417,-11.704683303833008
3x_orbmod,5,8,1.038027048110962,-11.30688190460205
3x_orbmod,5,9,1.7276352643966675,-11.268064498901367
3x_orbmod,5,10,2.864607095718384,-11.447564125061035
3x_orbmod,5,11,4.739156723022461,-12.491151809692383
3x_orbmod,5,12,7.829766273498535,-12.492746353149414
3x_orbmod,5,13,12.925320625305176,-12.492552757263184
3x_orbmod,5,14,21.32646942138672,-12.491360664367676
3x_orbmod,5,15,35.17761993408203,-12.491569519042969
3x_orbmod,6,1,0.0071006352081894875,-3.5557003021240234
3x_orbmod,6,2,0.027924999594688416,-7.649242877960205
3x_orbmod,6,3,0.06225857511162758,-8.541315078735352
3x_orbmod,6,4,0.11886506527662277,-9.482234001159668
3x_orbmod,6,5,0.21219339966773987,-10.593757629394531
3x_orbmod,6,6,0.3660658001899719,-11.518552780151367
3x_orbmod,6,7,0.6197584867477417,-11.65468978881836
3x_orbmod,6,8,1.038027048110962,-11.352926254272461
3x_orbmod,6,9,1.7276352643966675,-11.275634765625
3x_orbmod,6,10,2.864607095718384,-11.446282386779785
3x_orbmod,6,11,4.739156723022461,-12.491151809692383
3x_orbmod,6,12,7.829766273498535,-12.492746353149414
3x_orbmod,6,13,12.925320625305176,-12.492552757263184
3x_orbmod,6,14,21.32646942138672,-12.491360664367676
3x_orbmod,6,15,35.17761993408203,-12.491569519042969
3x_orbmod,7,1,0.0071006352081894875,-3.2073111534118652
3x_orbmod,7,2,0.027924999594688416,-7.007688522338867
3x_orbmod,7,3,0.06225857511162758,-7.785037040710449
3x_orbmod,7,4,0.11886506527662277,-8.833840370178223
3x_orbmod,7,5,0.21219339966773987,-10.136604309082031
3x_orbmod,7,6,0.3660658001899719,-11.199071884155273
3x_orbmod,7,7,0.6197584867477417,-11.523425102233887
3x_orbmod,7,8,1.038027048110962,-11.34619140625
3x_orbmod,7,9,1.7276352643966675,-11.283696174621582
3x_orbmod,7,10,2.864607095718384,-11.449053764343262
3x_orbmod,7,11,4.739156723022461,-12.491151809692383
3x_orbmod,7,12,7.829766273498535,-12.492746353149414
3x_orbmod,7,13,12.925320625305176,-12.492552757263184
3x_orbmod,7,14,21.32646942138672,-12.491360664367676
3x_orbmod,7,15,35.17761993408203,-12.491569519042969
3x_orbmod,8,1,0.0071006352081894875,-5.666464805603027
3x_orbmod,8,2,0.027924999594688416,-8.072421073913574
3x_orbmod,8,3,0.06225857511162758,-8.162424087524414
3x_orbmod,8,4,0.11886506527662277,-8.502037048339844
3x_orbmod,8,5,0.21219339966773987,-9.480535507202148
3x_orbmod,8,6,0.3660658001899719,-10.756387710571289
3x_orbmod,8,7,0.6197584867477417,-11.348292350769043
3x_orbmod,8,8,1.038027048110962,-11.32255744934082
3x_orbmod,8,9,1.7276352643966675,-11.294380187988281
3x_orbmod,8,10,2.864607095718384,-11.45629596710205
3x_orbmod,8,11,4.739156723022461,-12.491151809692383
3x_orbmod,8,12,7.829766273498535,-12.492746353149414
3x_orbmod,8,13,12.925320625305176,-12.492552757263184
3x_orbmod,8,14,21.32646942138672,-12.491360664367676
3x_orbmod,8,15,35.17761993408203,-12.491569519042969
3x_orbmod,9,1,0.0071006352081894875,-7.942274570465088
3x_orbmod,9,2,0.027924999594688416,-10.237083435058594
3x_orbmod,9,3,0.06225857511162758,-10.136932373046875
3x_orbmod,9,4,0.11886506527662277,-9.7975435256958
3x_orbmod,9,5,0.21219339966773987,-9.668588638305664
3x_orbmod,9,6,0.3660658001899719,-10.257184982299805
3x_orbmod,9,7,0.6197584867477417,-10.996713638305664
3x_orbmod,9,8,1.038027048110962,-11.239126205444336
3x_orbmod,9,9,1.7276352643966675,-11.29731559753418
3x_orbmod,9,10,2.864607095718384,-11.46388053894043
3x_orbmod,9,11,4.739156723022461,-12.491151809692383
3x_orbmod,9,12,7.829766273498535,-12.492746353149414
3x_orbmod,9,13,12.925320625305176,-12.492552757263184
3x_orbmod,9,14,21.32646942138672,-12.491360664367676
3x_orbmod,9,15,35.17761993408203,-12.491569519042969
3x_orbmod,10,1,0.0071006352081894875,-7.877260208129883
3x_orbmod,10,2,0.027924999594688416,-11.508121490478516
3x_orbmod,10,3,0.06225857511162758,-11.55698299407959
3x_orbmod,10,4,0.11886506527662277,-11.166214942932129
3x_orbmod,10,5,0.21219339966773987,-10.5875883102417
3x_orbmod,10,6,0.3660658001899719,-10.437995910644531
3x_orbmod,10,7,0.6197584867477417,-10.85628604888916
3x_orbmod,10,8,1.038027048110962,-11.161178588867188
3x_orbmod,10,9,1.7276352643966675,-11.285648345947266
3x_orbmod,10,10,2.864607095718384,-11.465921401977539
3x_orbmod,10,11,4.739156723022461,-12.491151809692383
3x_orbmod,10,12,7.829766273498535,-12.492746353149414
3x_orbmod,10,13,12.925320625305176,-12.492552757263184
3x_orbmod,10,14,21.32646942138672,-12.491360664367676
3x_orbmod,10,15,35.17761993408203,-12.491569519042969
3x_orbmod,11,1,0.0071006352081894875,-8.927122116088867
3x_orbmod,11,2,0.027924999594688416,-12.273698806762695
3x_orbmod,11,3,0.06225857511162758,-12.244433403015137
3x_orbmod,11,4,0.11886506527662277,-11.755973815917969
3x_orbmod,11,5,0.21219339966773987,-11.099069595336914
3x_orbmod,11,6,0.3660658001899719,-10.70997142791748
3x_orbmod,11,7,0.6197584867477417,-10.886624336242676
3x_orbmod,11,8,1.038027048110962,-11.141046524047852
3x_orbmod,11,9,1.7276352643966675,-11.278585433959961
3x_orbmod,11,10,2.864607095718384,-11.465668678283691
3x_orbmod,11,11,4.739156723022461,-12.491151809692383
3x_orbmod,11,12,7.829766273498535,-12.492746353149414
3x_orbmod,11,13,12.925320625305176,-12.492552757263184
3x_orbmod,11,14,21.32646942138672,-12.491360664367676
3x_orbmod,11,15,35.17761993408203,-12.491569519042969
3x_orbmod,12,1,0.0071006352081894875,-11.292264938354492
3x_orbmod,12,2,0.027924999594688416,-13.010665893554688
3x_orbmod,12,3,0.06225857511162758,-12.840405464172363
3x_orbmod,12,4,0.11886506527662277,-12.264073371887207
3x_orbmod,12,5,0.21219339966773987,-11.50020980834961
3x_orbmod,12,6,0.3660658001899719,-10.939240455627441
3x_orbmod,12,7,0.6197584867477417,-10.931909561157227
3x_orbmod,12,8,1.038027048110962,-11.135055541992188
3x_orbmod,12,9,1.7276352643966675,-11.27496337890625
3x_orbmod,12,10,2.864607095718384,-11.464744567871094
3x_orbmod,12,11,4.739156723022461,-12.491151809692383
3x_orbmod,12,12,7.829766273498535,-12.492746353149414
3x_orbmod,12,13,12.925320625305176,-12.492552757263184
3x_orbmod,12,14,21.32646942138672,-12.491360664367676
3x_orbmod,12,15,35.17761993408203,-12.491569519042969
3x_orbmin,1,1,0.0071006352081894875,-12.453004837036133
3x_orbmin,1,2,0.027924999594688416,-13.745964050292969
3x_orbmin,1,3,0.06225857511162758,-13.431354522705078
3x_orbmin,1,4,0.11886506527662277,-12.773394584655762
3x_orbmin,1,5,0.21219339966773987,-11.935487747192383
3x_orbmin,1,6,0.3660658001899719,-11.120319366455078
3x_orbmin,1,7,0.6197584867477417,-10.68757438659668
3x_orbmin,1,8,1.038027048110962,-10.681867599487305
3x_orbmin,1,9,1.7276352643966675,-10.7957124710083
3x_orbmin,1,10,2.864607095718384,-10.982572555541992
3x_orbmin,1,11,4.739156723022461,-12.491151809692383
3x_orbmin,1,12,7.829766273498535,-12.492746353149414
3x_orbmin,1,13,12.925320625305176,-12.492552757263184
3x_orbmin,1,14,21.32646942138672,-12.491360664367676
3x_orbmin,1,15,35.17761993408203,-12.491569519042969
3x_orbmin,2,1,0.0071006352081894875,-11.367321014404297
3x_orbmin,2,2,0.027924999594688416,-14.128401756286621
3x_orbmin,2,3,0.06225857511162758,-13.996853828430176
3x_orbmin,2,4,0.11886506527662277,-13.400390625
3x_orbmin,2,5,0.21219339966773987,-12.457982063293457
3x_orbmin,2,6,0.3660658001899719,-11.447802543640137
3x_orbmin,2,7,0.6197584867477417,-10.807350158691406
3x_orbmin,2,8,1.038027048110962,-10.69338607788086
3x_orbmin,2,9,1.7276352643966675,-10.7911376953125
3x_orbmin,2,10,2.864607095718384,-10.979578018188477
3x_orbmin,2,11,4.739156723022461,-12.491151809692383
3x_orbmin,2,12,7.829766273498535,-12.492746353149414
3x_orbmin,2,13,12.925320625305176,-12.492552757263184
3x_orbmin,2,14,21.32646942138672,-12.491360664367676
3x_orbmin,2,15,35.17761993408203,-12.491569519042969
3x_orbmin,3,1,0.0071006352081894875,-8.425518989562988
3x_orbmin,3,2,0.027924999594688416,-13.257354736328125
3x_orbmin,3,3,0.06225857511162758,-13.595745086669922
3x_orbmin,3,4,0.11886506527662277,-13.431668281555176
3x_orbmin,3,5,0.21219339966773987,-12.802452087402344
3x_orbmin,3,6,0.3660658001899719,-11.817336082458496
3x_orbmin,3,7,0.6197584867477417,-10.991870880126953
3x_orbmin,3,8,1.038027048110962,-10.726049423217773
3x_orbmin,3,9,1.7276352643966675,-10.786578178405762
3x_orbmin,3,10,2.864607095718384,-10.974526405334473
3x_orbmin,3,11,4.739156723022461,-12.491151809692383
3x_orbmin,3,12,7.829766273498535,-12.492746353149414
3x_orbmin,3,13,12.925320625305176,-12.492552757263184
3x_orbmin,3,14,21.32646942138672,-12.491360664367676
3x_orbmin,3,15,35.17761993408203,-12.491569519042969
3x_orbmin,4,1,0.0071006352081894875,-5.961298942565918
3x_orbmin,4,2,0.027924999594688416,-11.221647262573242
3x_orbmin,4,3,0.06225857511162758,-12.05112075805664
3x_orbmin,4,4,0.11886506527662277,-12.533367156982422
3x_orbmin,4,5,0.21219339966773987,-12.574389457702637
3x_orbmin,4,6,0.3660658001899719,-12.0106782913208
3x_orbmin,4,7,0.6197584867477417,-11.192620277404785
3x_orbmin,4,8,1.038027048110962,-10.783985137939453
3x_orbmin,4,9,1.7276352643966675,-10.789022445678711
3x_orbmin,4,10,2.864607095718384,-10.971665382385254
3x_orbmin,4,11,4.739156723022461,-12.491151809692383
3x_orbmin,4,12,7.829766273498535,-12.492746353149414
3x_orbmin,4,13,12.925320625305176,-12.492552757263184
3x_orbmin,4,14,21.32646942138672,-12.491360664367676
3x_orbmin,4,15,35.17761993408203,-12.491569519042969
3x_orbmin,5,1,0.0071006352081894875,-4.719734191894531
3x_orbmin,5,2,0.027924999594688416,-9.019746780395508
3x_orbmin,5,3,0.06225857511162758,-9.87546157836914
3x_orbmin,5,4,0.11886506527662277,-10.760412216186523
3x_orbmin,5,5,0.21219339966773987,-11.542841911315918
3x_orbmin,5,6,0.3660658001899719,-11.762574195861816
3x_orbmin,5,7,0.6197584867477417,-11.305913925170898
3x_orbmin,5,8,1.038027048110962,-10.86305046081543
3x_orbmin,5,9,1.7276352643966675,-10.803580284118652
3x_orbmin,5,10,2.864607095718384,-10.972112655639648
3x_orbmin,5,11,4.739156723022461,-12.491151809692383
3x_orbmin,5,12,7.829766273498535,-12.492746353149414
3x_orbmin,5,13,12.925320625305176,-12.492552757263184
3x_orbmin,5,14,21.32646942138672,-12.491360664367676
3x_orbmin,5,15,35.17761993408203,-12.491569519042969
3x_orbmin,6,1,0.0071006352081894875,-4.419788837432861
3x_orbmin,6,2,0.027924999594688416,-7.757842540740967
3x_orbmin,6,3,0.06225857511162758,-8.369088172912598
3x_orbmin,6,4,0.11886506527662277,-9.1621732711792
3x_orbmin,6,5,0.21219339966773987,-10.222614288330078
3x_orbmin,6,6,0.3660658001899719,-11.109992980957031
3x_orbmin,6,7,0.6197584867477417,-11.238933563232422
3x_orbmin,6,8,1.038027048110962,-10.919705390930176
3x_orbmin,6,9,1.7276352643966675,-10.818778991699219
3x_orbmin,6,10,2.864607095718384,-10.973811149597168
3x_orbmin,6,11,4.739156723022461,-12.491151809692383
3x_orbmin,6,12,7.829766273498535,-12.492746353149414
3x_orbmin,6,13,12.925320625305176,-12.492552757263184
3x_orbmin,6,14,21.32646942138672,-12.491360664367676
3x_orbmin,6,15,35.17761993408203,-12.491569519042969
3x_orbmin,7,1,0.0071006352081894875,-3.753483295440674
3x_orbmin,7,2,0.027924999594688416,-7.191046714782715
3x_orbmin,7,3,0.06225857511162758,-7.725521564483643
3x_orbmin,7,4,0.11886506527662277,-8.40078353881836
3x_orbmin,7,5,0.21219339966773987,-9.448468208312988
3x_orbmin,7,6,0.3660658001899719,-10.558337211608887
3x_orbmin,7,7,0.6197584867477417,-11.045948028564453
3x_orbmin,7,8,1.038027048110962,-10.920957565307617
3x_orbmin,7,9,1.7276352643966675,-10.82913589477539
3x_orbmin,7,10,2.864607095718384,-10.977224349975586
3x_orbmin,7,11,4.739156723022461,-12.491151809692383
3x_orbmin,7,12,7.829766273498535,-12.492746353149414
3x_orbmin,7,13,12.925320625305176,-12.492552757263184
3x_orbmin,7,14,21.32646942138672,-12.491360664367676
3x_orbmin,7,15,35.17761993408203,-12.491569519042969
3x_orbmin,8,1,0.0071006352081894875,-6.073042869567871
3x_orbmin,8,2,0.027924999594688416,-8.172318458557129
3x_orbmin,8,3,0.06225857511162758,-8.231534957885742
3x_orbmin,8,4,0.11886506527662277,-8.363768577575684
3x_orbmin,8,5,0.21219339966773987,-8.944913864135742
3x_orbmin,8,6,0.3660658001899719,-9.994104385375977
3x_orbmin,8,7,0.6197584867477417,-10.737716674804688
3x_orbmin,8,8,1.038027048110962,-10.853826522827148
3x_orbmin,8,9,1.7276352643966675,-10.83064079284668
3x_orbmin,8,10,2.864607095718384,-10.98118782043457
3x_orbmin,8,11,4.739156723022461,-12.491151809692383
3x_orbmin,8,12,7.829766273498535,-12.492746353149414
3x_orbmin,8,13,12.925320625305176,-12.492552757263184
3x_orbmin,8,14,21.32646942138672,-12.491360664367676
3x_orbmin,8,15,35.17761993408203,-12.491569519042969
3x_orbmin,9,1,0.0071006352081894875,-8.248359680175781
3x_orbmin,9,2,0.027924999594688416,-10.896161079406738
3x_orbmin,9,3,0.06225857511162758,-10.89280891418457
3x_orbmin,9,4,0.11886506527662277,-10.45620346069336
3x_orbmin,9,5,0.21219339966773987,-9.947135925292969
3x_orbmin,9,6,0.3660658001899719,-9.973272323608398
3x_orbmin,9,7,0.6197584867477417,-10.45253849029541
3x_orbmin,9,8,1.038027048110962,-10.742202758789062
3x_orbmin,9,9,1.7276352643966675,-10.819136619567871
3x_orbmin,9,10,2.864607095718384,-10.982305526733398
3x_orbmin,9,11,4.739156723022461,-12.491151809692383
3x_orbmin,9,12,7.829766273498535,-12.492746353149414
3x_orbmin,9,13,12.925320625305176,-12.492552757263184
3x_orbmin,9,14,21.32646942138672,-12.491360664367676
3x_orbmin,9,15,35.17761993408203,-12.491569519042969
3x_orbmin,10,1,0.0071006352081894875,-7.650897026062012
3x_orbmin,10,2,0.027924999594688416,-11.681839942932129
3x_orbmin,10,3,0.06225857511162758,-11.923625946044922
3x_orbmin,10,4,0.11886506527662277,-11.645391464233398
3x_orbmin,10,5,0.21219339966773987,-11.000991821289062
3x_orbmin,10,6,0.3660658001899719,-10.473698616027832
3x_orbmin,10,7,0.6197584867477417,-10.476335525512695
3x_orbmin,10,8,1.038027048110962,-10.678023338317871
3x_orbmin,10,9,1.7276352643966675,-10.800704002380371
3x_orbmin,10,10,2.864607095718384,-10.981664657592773
3x_orbmin,10,11,4.739156723022461,-12.491151809692383
3x_orbmin,10,12,7.829766273498535,-12.492746353149414
3x_orbmin,10,13,12.925320625305176,-12.492552757263184
3x_orbmin,10,14,21.32646942138672,-12.491360664367676
3x_orbmin,10,15,35.17761993408203,-12.491569519042969
3x_orbmin,11,1,0.0071006352081894875,-8.792505264282227
3x_orbmin,11,2,0.027924999594688416,-12.27515983581543
3x_orbmin,11,3,0.06225857511162758,-12.237146377563477
3x_orbmin,11,4,0.11886506527662277,-11.832862854003906
3x_orbmin,11,5,0.21219339966773987,-11.268377304077148
3x_orbmin,11,6,0.3660658001899719,-10.713129997253418
