reactor.ID,IPL.num,User,Type.1,Type.2,horizon_id,sample.ID,group.num,rep.num,Date.Time,Data.File,IPL.ID,Name.full,flag.major,flag.analysis,primes,comments,version,d17O,d.17O,d17O.err,d18O,d.18O,d18O.err,CAP.17O,CAP17O.err,d33,d33.err,d34,d34.err,d35,d35.err,d36,d36.err,X33.mismatch.R2,X34.mismatch.R2,d.18O.prelim,test.d.18O.prelim,flag.d18O,flag,reactor.segment,d33.smow_ref,d34.smow_ref,d17O.slap,d18O.slap,dp17O.SMOWSLAP,dp18O.SMOWSLAP,D17O.SMOWSLAP,D17O.SMOWSLAP.per.meg,dp17O.SMOWSLAP.CO2norm,dp18O.SMOWSLAP.CO2norm,D17O.SMOWSLAP.per.meg.carbNorm,dp17O.SMOWSLAP.CO2norm.type,dp18O.SMOWSLAP.CO2norm.type,D17O.SMOWSLAP.per.meg.carbNorm.type
31,5406,mam,WaterStd,SLAP,,SLAP,1,3 1,9/6/24 14:50,Data_3161,IPL-17O-5406,Data_3161 IPL-17O-5406 SLAP-B10-R31-3 1,0,0,0,,2.5,-29.06292482,-29.49361715,0.003185439,-54.32608942,-55.8574728,0.001394063,-0.000871505,0.003303525,-38.96162014,0.003152963,-73.14132062,0.001366327,-97.47664894,0.160596645,53.16048825,0.06478652,0.00039783,0.000801855,-57.35373843,0.087478872,0,0,1,-28.84424886,-53.96806989,-29.73689291,-55.57348053,-30.18799985,-57.17739341,0.001663872,1.663872035,-30.18799985,-57.17739341,1.663872035,no correction,no correction,no correction
31,5407,mam,WaterStd,SLAP,,SLAP,1,4 1,9/6/24 16:41,Data_3162,IPL-17O-5407,Data_3162 IPL-17O-5407 SLAP-B10-R31-4 1,0,0,0,,2.5,-28.96874998,-29.39662835,0.004798585,-54.15437822,-55.6759138,0.001486524,0.000254139,0.004840892,-38.86840541,0.004749664,-72.9730258,0.001456948,-99.24409526,0.158583025,42.33856214,0.06310604,0.004223153,0.002896617,-57.16644637,0.187292059,0,0,1,-28.75025417,-53.7966907,-29.63998936,-55.39700325,-30.08813135,-56.99054902,0.002878528,2.878528053,-30.08813135,-56.99054902,2.878528053,no correction,no correction,no correction
31,5410,mam,WaterStd,SLAP,,SLAP,2,7 1,10/2/24 11:01,Data_3172,IPL-17O-5410,Data_3172 IPL-17O-5410  SLAP-B10-R31-7 1,0,0,3,"only one prime for this run, but we have two samples were lost and the first was primed 3 times",2.5,-29.26563315,-29.70241551,0.006373135,-54.71881484,-56.2728465,0.007446166,0.009647437,0.004378507,-39.16226185,0.006308161,-73.52623233,0.007298016,-85.15805063,0.336900224,62.44536548,0.277994377,0.001394071,0.000211809,-57.78223116,0.615784791,0,0,1,-29.11476426,-54.49450026,-30.01577996,-56.11557084,-30.47547562,-57.75154707,0.017341232,17.34123171,-30.47547562,-57.75154707,17.34123171,no correction,no correction,no correction
31,5411,mam,WaterStd,SLAP,,SLAP,2,8 1,10/2/24 13:20,Data_3173,IPL-17O-5411,Data_3173 IPL-17O-5411  SLAP-B10-R31-8 1,0,0,0,,2.5,-29.18663974,-29.62104334,0.00327394,-54.57163859,-56.11716185,0.002641537,0.008818121,0.00338685,-39.08407378,0.003240562,-73.38198431,0.002588981,-89.82726791,0.163386262,53.27885791,0.093028505,0.014070719,0.015105439,-57.62162937,0.160601783,0,0,1,-29.0360124,-54.34778936,-29.93459097,-55.96449568,-30.39177777,-57.59150303,0.016535831,16.53583076,-30.39177777,-57.59150303,16.53583076,no correction,no correction,no correction
31,5412,mam,WaterStd,SLAP,,SLAP,2,9 1,10/2/24 15:11,Data_3174,IPL-17O-5412,Data_3174 IPL-17O-5412  SLAP-B10-R31-9 1,0,0,0,,2.5,-29.26219149,-29.69886957,0.003723363,-54.69954674,-56.25246213,0.001641636,0.002430435,0.003825394,-39.15885528,0.003685404,-73.50734759,0.001608974,-93.84716343,0.172304973,56.67955982,0.072520791,6.64E-05,0.000570127,-57.76120394,0.139574565,0,0,1,-29.11177802,-54.47612621,-30.01270131,-56.09665022,-30.4723017,-57.73150178,0.009931239,9.931238674,-30.4723017,-57.73150178,9.931238674,no correction,no correction,no correction
31,5413,mam,WaterStd,SMOW,,SMOW,3,7 1,10/2/24 17:42,Data_3175,IPL-17O-5413,Data_3175 IPL-17O-5413 VSMOW2-B9-R31-7 1,0,0,3,,2.5,-0.196744418,-0.196764163,0.004459589,-0.336005955,-0.33606246,0.001466963,-0.019323184,0.004551428,-10.3897302,0.004414123,-20.22542973,0.001437776,-27.98631162,0.128536558,129.7377408,0.110627578,0.001858179,0.001408316,-0.128213987,57.63298995,0,0,1,-0.042109769,-0.100308224,-0.043412942,-0.103292134,-0.043413884,-0.103297469,0.01112718,11.12717976,-0.043413884,-0.103297469,11.12717976,no correction,no correction,no correction
31,5414,mam,WaterStd,SMOW,,SMOW,3,8 1,10/2/24 19:32,Data_3176,IPL-17O-5414,Data_3176 IPL-17O-5414 VSMOW2-B9-R31-8 1,0,0,0,,2.5,-0.263962019,-0.263997184,0.004051026,-0.449896904,-0.449998187,0.001592173,-0.026398141,0.004051412,-10.45626252,0.004009726,-20.33705469,0.001560495,-28.63717411,0.094242744,124.302284,0.07373188,0.005575753,0.007235426,-0.245547848,0.117333861,0,0,1,-0.109545362,-0.214646099,-0.112935466,-0.221031266,-0.112941844,-0.221055697,0.003775564,3.775564299,-0.112941844,-0.221055697,3.775564299,no correction,no correction,no correction
31,5415,mam,WaterStd,SMOW,,SMOW,3,9 1,10/3/24 11:45,Data_3177,IPL-17O-5415,Data_3177 IPL-17O-5415 VSMOW2-B9-R31-9 1,0,0,1,,2.5,-0.209810363,-0.20983272,0.004196445,-0.351089414,-0.351151187,0.002541844,-0.024424893,0.004246069,-10.40266294,0.004153663,-20.24021309,0.002491272,-29.2020734,0.145428294,166.7488799,0.274074656,0.159822454,0.161848861,-0.143752627,0.101795222,0,0,1,-0.057208538,-0.119504796,-0.058978973,-0.123059755,-0.058980712,-0.123067327,0.005998837,5.998836541,-0.058980712,-0.123067327,5.998836541,no correction,no correction,no correction
31,5417,mam,CarbonateStd,IAEA-C1,,IAEA-C1,1,2 1,10/3/24 17:48,Data_3179,IPL-17O-5417,Data_3179 IPL-17O-5417 IAEA-C1-R31-2 1,0,0,0,,2.5,16.58194609,16.44596636,0.004647138,32.02551453,31.52339008,0.001737371,-0.198383605,0.004546209,6.217901701,0.004599761,11.49222241,0.001702804,12.18606126,0.157649018,181.0227181,0.140863744,0.040211913,0.041782032,32.66598018,0.996162059,0,0,1,16.73641816,32.26317637,17.25436073,33.22292251,17.10719467,32.68296793,-0.149412396,-149.412396,12.86077069,24.52206892,-86.88170396,secondary correction applied but only meaningful if D'17O correction was applied,no secondary correction,mineral + 1-pt normalization applied to D17O for data.cor[[2]] using IAEA-603 and/or IAEA-C1 as calcite. Offset=16.87 per meg
31,5418,mam,CarbonateStd,IAEA-C1,,IAEA-C1,1,3 1,10/3/24 20:49,Data_3180,IPL-17O-5418,Data_3180 IPL-17O-5418 IAEA-C1-R31-3 1,0,0,0,,2.5,16.47325134,16.3390389,0.004395913,31.83394748,31.33775047,0.001594226,-0.207293345,0.004513689,6.110315091,0.004351097,11.30446681,0.001562507,11.92529225,0.177863694,235.9712136,0.103476702,0.059073062,0.056740589,32.47498227,0.190997907,0,0,1,16.62736115,32.07085489,17.14192872,33.02487996,16.99666359,32.49127499,-0.158729603,-158.7296034,12.75023961,24.33037599,-96.19891136,secondary correction applied but only meaningful if D'17O correction was applied,no secondary correction,mineral + 1-pt normalization applied to D17O for data.cor[[2]] using IAEA-603 and/or IAEA-C1 as calcite. Offset=16.87 per meg
