MLA_sample_id,MLA_horizon_id,reactor_id,IPL_num,Name_full,comments,d17O,d.17O,d17O.err,d18O,d.18O,d18O.err,CAP.17O,CAP17O.err,d33,d33.err,d34,d34.err,d35,d35.err,d36,d36.err,33_mismatch,34_mismatch,dp17O_O2_SMOWSLAP,dp18O_O2_SMOWSLAP,Dp17O_O2_SMOWSLAP2,dp17Ocarb_SMOWSLAP,dp18Ocarb_SMOWSLAP,Dp17Ocarb_permeg_final_correction,final_correction?
PB-00-03-16,PB-00-03-16,32,5697,Data_3463 IPL-17O-5697 PB-00-03-16-R32-01 1,,13.09428925,13.00929972,0.004924807,25.33146041,25.0159363,0.001331492,-0.199114644,0.004740214,2.765801498,0.004874599,4.931353929,0.001305001,5.631796495,0.145452416,539.0469853,0.066945426,0.025467282,0.019442215,14.78125541,28.2781512,-149.6084213,12.1846309,23.22825393,-79.88717759,TRUE
PB-00-04-11,PB-00-04-11,32,5692,Data_3458 IPL-17O-5692 PB-00-04-11-R32-01 1,,12.54823722,12.47016018,0.004511085,24.33744276,24.04600624,0.001455689,-0.226131118,0.00442169,2.225316463,0.004465095,3.957113363,0.001426726,2.893042579,0.148146091,471.0054652,0.133654766,0.017464361,0.014529183,14.16085193,27.16189091,-180.6264701,11.39689321,21.7950728,-110.9052264,TRUE
PB-00-04-11,PB-00-04-11,32,5693,Data_3459 IPL-17O-5693 PB-00-04-11-R32-02 1,,12.58650361,12.50795164,0.004438722,24.40776292,24.11465329,0.001548628,-0.224585294,0.004456673,2.26319272,0.004393469,4.026034425,0.001517816,4.658736833,0.125172867,487.1518539,0.119892689,0.00012438,0.000729179,14.20997186,27.25120762,-178.6657619,11.45940226,21.90974768,-108.9445181,TRUE
PK95-SC-22,PK95-SC-22,32,5698,Data_3464 IPL-17O-5698 SC-22-PK95-R32-01 1,,12.86633371,12.78426538,0.003644783,24.96065431,24.65422578,0.00135263,-0.233165835,0.003591786,2.540169957,0.003607624,4.567925425,0.001325717,4.268302888,0.168744272,629.0634496,0.145688287,0.021416947,0.01952318,14.55089568,27.91088936,-186.0539023,11.89921638,22.75672166,-116.3326585,TRUE
PK95-SC-23,PK95-SC-23,32,5699,Data_3465 IPL-17O-5699 SC-23-PK95-R32-01 1,,13.37612707,13.28745612,0.004572377,25.89757168,25.56790904,0.001671693,-0.212399853,0.004513089,3.04476598,0.004525762,5.486201786,0.001638433,5.671972536,0.163299829,671.9012305,0.125370834,0.269451305,0.258672773,15.09008594,28.88834531,-162.9603836,12.58493323,24.01169009,-93.23913991,TRUE
PK95-SC-23,PK95-SC-23,32,5702,Data_3468 IPL-17O-5702 SC-23-PK95-R32-02 1,,12.37509028,12.29914443,0.004204934,23.97858092,23.69560928,0.001637548,-0.212137272,0.004249081,2.053934754,0.004162065,3.605391476,0.001604967,3.928492899,0.125695739,490.3902251,0.107893119,0.002961522,0.004010106,14.05520626,26.92998926,-163.8280691,11.25648407,21.49733125,-94.10682535,TRUE
PK95-SC-27,PK95-SC-27,32,5700,Data_3466 IPL-17O-5700 SC-27-PK95-R32-01 1,,12.43797595,12.36125946,0.004188355,24.11563977,23.82944966,0.001664078,-0.220689955,0.004125522,2.116179299,0.004145655,3.739723389,0.00163097,4.14713903,0.138446166,480.5366672,0.1093987,0.04650835,0.042860126,14.1102649,27.05194773,-173.1635042,11.32982502,21.65391531,-103.4422605,TRUE
PK95-SC-27,PK95-SC-27,32,5701,Data_3467 IPL-17O-5701 SC-27-PK95-R32-02 1,,12.95703541,12.87381069,0.004917134,25.09622828,24.78648939,0.001522789,-0.213455705,0.005066151,2.629946959,0.004867004,4.700801999,0.001492492,5.601645728,0.142573465,431.8743291,0.087661624,0.045268216,0.050596676,14.66161022,28.07964757,-164.4437019,12.0352288,22.97339253,-94.72245817,
PB-00-01-09D,PB-00-01-09D,33,5783,Data_3555 IPL-17O-5783 PB-00-01-09D-R33-01 1,,13.62197402,13.53002876,0.003390719,26.34035671,25.99942339,0.001294283,-0.197666793,0.003349917,3.288106524,0.00335615,5.92017711,0.001268532,6.760603892,0.146600316,449.3271758,0.106741286,0.006220121,0.008560616,16.10496146,30.80251213,-158.7649497,11.8416866,22.64160231,-82.99633334,TRUE
PB-00-02-09L,PB-00-02-09L,33,5780,Data_3552 IPL-17O-5780 PB-00-02-09-R33-02 1,,13.19952645,13.11316889,0.013169388,25.45289492,25.13436186,0.010687605,-0.158090856,0.013511963,2.864765993,0.015712534,5.056843823,0.009985732,6.335287528,0.264081252,776.3878,0.223368204,0.004726518,0.003826226,15.59187571,29.77013325,-126.7546448,11.32860086,21.60922343,-50.9860284,TRUE
PB-00-03-14,PB-00-03-14,33,5781,Data_3553 IPL-17O-5781 PB-00-03-14-R33-01 1,,13.5463595,13.45542753,0.004087541,26.21330329,25.87562303,0.001770489,-0.206901429,0.004236336,3.213262891,0.004045868,5.795651562,0.001735263,6.941378176,0.13932594,517.2431581,0.090659694,0.041564025,0.035646973,16.01661523,30.65366084,-168.5176921,11.75334038,22.49275102,-92.74907573,TRUE
PB-00-03-14,PB-00-03-14,33,5782,Data_3554 IPL-17O-5782 PB-00-03-14-R33-02 1,,13.46486297,13.37501677,0.005348489,26.05799623,25.72427164,0.001702749,-0.207398654,0.00489802,3.132597223,0.005293962,5.643434513,0.001668871,5.842760665,0.15296617,476.3195363,0.099303954,0.025042658,0.022941872,15.91988596,30.47168246,-169.1623852,11.6566111,22.31077264,-93.3937688,TRUE
PK95-SC-118up,PK95-SC-118up,34,5833,Data_3610 IPL-17O-5833 PK95-SC-118UPPER-R34-01 1,,12.32504692,12.24971157,0.004177504,23.8466852,23.56679388,0.001580281,-0.193555597,0.004233169,2.004401586,0.00413491,3.476119969,0.001548839,3.172523239,0.151928418,92.28008936,0.062074868,0.041550425,0.044439988,14.25972319,27.28674154,-147.6763464,9.996448332,19.12583172,-86.85811596,TRUE
PK95-SC-118up,PK95-SC-118up,34,5836,Data_3613 IPL-17O-5836 PK95-SC-118UPPER-R34-02 1,,13.23365677,13.1468564,0.005198346,25.60435758,25.28205591,0.00200111,-0.202069126,0.00534244,2.903748164,0.00514535,5.198821501,0.001961296,6.557783168,0.121993662,90.99660795,0.058499594,0.00956707,0.01797498,15.37739927,29.41737789,-154.9762556,11.11412442,21.25646807,-94.15802516,TRUE
PK95-SC-160,PK95-SC-160,34,5829,Data_3606 IPL-17O-5829 PK95-SC-160-R34-01 1,,12.7460424,12.66549506,0.00366301,24.73017112,24.42933017,0.002015855,-0.233191267,0.003537018,2.421105019,0.00362567,4.342027951,0.001975748,5.247197071,0.148841301,102.2137296,0.059238495,0.0000434,0.0000106,14.78479837,28.35817291,-188.3169256,10.52152352,20.19726309,-127.4986952,TRUE
PK95-SC-160,PK95-SC-160,34,5846,Data_3623 IPL-17O-5846 PK95-SC-160-R34-02 1,,12.81412063,12.73271415,0.004154839,24.80690837,24.5042127,0.001799086,-0.205510157,0.00433796,2.488489187,0.00411248,4.417238425,0.001763291,4.634915558,0.161138817,116.9224511,0.047427837,0.006063606,0.005218686,14.86292336,28.45118905,-159.3044588,10.5996485,20.29027922,-98.48622836,TRUE
PK95-SC-160,PK95-SC-160,34,5847,Data_3624 IPL-17O-5846 PK95-SC-160-R34-03 1,"ran as IPL 5846, ACTUALLY IS 5847. Changed IPL # here but DID NOT CHANGE SAMPLE NAME ",13.21238435,13.12586178,0.00399814,25.5851898,25.26336652,0.001524807,-0.213195744,0.003950613,2.882692619,0.00395738,5.180035089,0.001494469,5.917884725,0.157014571,121.0522984,0.065747928,0.067743674,0.070992869,15.35349087,29.39416346,-166.627434,11.09021602,21.23325363,-105.8092036,TRUE
PK95-SC-161,PK95-SC-161,34,5842,Data_3619 IPL-17O-5842 PK95-SC-161-R34-01 1,,13.45315676,13.36346614,0.004710516,26.02610751,25.69319228,0.001730925,-0.202539386,0.004953333,3.121010352,0.00466249,5.612180249,0.001696487,6.788513773,0.122878934,113.8662834,0.06484622,0.002201064,0.000683639,15.64693251,29.92805284,-155.0793884,11.38365766,21.76714302,-94.26115796,TRUE
PK95-SC-161,PK95-SC-161,34,5849,Data_3626 IPL-17O-5849 PK95-SC-161-R34-02 1,,13.22749667,13.14077684,0.004505673,25.60559144,25.28325899,0.001767233,-0.208783909,0.004405944,2.897650867,0.00445974,5.200030816,0.001732072,6.858897539,0.157472695,105.5069762,0.066010417,0.020603493,0.017374004,15.37116872,29.41887223,-161.9958152,11.10789387,21.25796241,-101.1775848,TRUE
PK95-SC-176,PK95-SC-176,34,5831,Data_3608 IPL-17O-5831 PK95-SC-176-R34-01 1,,13.57188032,13.48060687,0.004502681,26.23691567,25.898632,0.001727322,-0.193870825,0.004586046,3.238523526,0.00445678,5.81879415,0.001692955,7.804782606,0.138067927,106.930532,0.062282577,0.033144024,0.025995664,15.79092269,30.18322728,-145.8213188,11.52764783,22.02231746,-85.00308836,TRUE
PK95-SC-176,PK95-SC-176,34,5838,Data_3615 IPL-17O-5838 PK95-SC-176-R34-02 1,,13.784,13.69,0.004,26.645,26.296,0.002,-0.194,0.004,3.449,0.004,6.218,0.002,8.303,0.137,111.283,0.06,0.083,0.078,16.05163384,30.67644559,-145.5294324,11.78835898,22.51553577,-84.71120196,TRUE
PK95-SC-31,PK95-SC-31,34,5843,Data_3620 IPL-17O-5843 PK95-SC-31-R34-01 1,,12.24723433,12.1728435,0.003466061,23.77035459,23.49223831,0.001758994,-0.23105833,0.00355025,1.927382294,0.00343072,3.401308036,0.001723997,2.921231655,0.150693533,111.8237517,0.051373413,0.02893778,0.027369219,14.17154167,27.19412764,-186.9577272,9.908266814,19.03321782,-126.1394968,TRUE
PK95-SC-31,PK95-SC-31,34,5850,Data_3627 IPL-17O-5850 PK95-SC-31-R34-02 1,,12.62788316,12.54881611,0.003751469,24.45929089,24.16495229,0.001348248,-0.210278694,0.00373947,2.304150413,0.00371322,4.076537186,0.001321423,3.537350395,0.18766586,327.5466728,0.181078979,0.029345216,0.030954059,14.63511193,28.0297704,-164.606846,10.37183707,19.86886058,-103.7886156,TRUE
PK95-SC-43,PK95-SC-43,34,5845,Data_3622 IPL-17O-5845 PK95-SC-43-R34-01 1,,13.22176713,13.13512205,0.004653555,25.57365288,25.2521173,0.002055118,-0.197995887,0.004820977,2.891979737,0.00460611,5.168727704,0.002014229,6.480564665,0.123264258,125.1144454,0.051112548,0.027311014,0.031280597,15.36199483,29.38019067,-150.7458448,11.09871997,21.21928085,-89.92761436,TRUE
PK95-SC-49,PK95-SC-49,34,5830,Data_3607 IPL-17O-5830 Pk95-SC-49-R34-01 1,,11.13907728,11.07749109,0.014232355,21.46052156,21.23348648,0.005515812,-0.14205465,0.01397769,0.81752346,0.01510451,1.136129308,0.005420665,11.70247209,0.512205295,724.6386294,0.268495427,0.097715006,0.097565911,12.77591116,24.38651883,-100.1707784,8.512636306,16.225609,-39.35254796,TRUE
PK95-SC-50,PK95-SC-50,34,5844,Data_3621 IPL-17O-5844 PK95-SC-50-R34-01 1,,11.65625647,11.58884539,0.003707612,22.66083622,22.40789353,0.001893202,-0.2425224,0.003619478,1.342429449,0.00366981,2.313864765,0.001855534,2.189276421,0.147294638,126.238759,0.071044257,0.006621984,0.00615957,13.44733181,25.84710686,-199.9406132,9.184056953,17.68619704,-139.1223828,TRUE
PK95-SC-54,PK95-SC-54,34,5832,Data_3609 IPL-17O-5832 PK95-SC-54-R34-01 1,,13.52383188,13.43320066,0.004660094,26.12965527,25.79410834,0.002100899,-0.18608855,0.004976374,3.190964941,0.00461258,5.713667817,0.002059099,7.699232519,0.138186298,96.36017744,0.06151045,0.043105982,0.049662941,15.73041125,30.05339986,-137.78388,11.46713639,21.89249004,-76.96564956,TRUE
PK95-SC-54,PK95-SC-54,34,5837,Data_3614 IPL-17O-5837 PK95-SC-54-R34-02 1,,13.48336006,13.39326814,0.004251561,26.09062793,25.75607411,0.001587395,-0.205938996,0.004319484,3.150905728,0.00420822,5.675416962,0.001555812,7.650855182,0.132449031,106.2398745,0.056954236,0.0000917,0.0000654,15.68467712,30.00615795,-158.5742772,11.42140227,21.84524813,-97.75604676,TRUE
PK95-SC-56,PK95-SC-56,34,5841,Data_3618 IPL-17O-5841 PK95-SC-56-R34-01 1,,9.274175008,9.231430488,0.013711745,18.0942982,17.93254414,0.005547653,-0.245634398,0.012946549,-1.021633419,0.01373686,-2.161816915,0.005437276,-5.139598806,0.467643925,688.8491573,0.239038759,0.140207612,0.140073285,10.50686178,20.28695222,-204.6489872,6.243586928,12.1260424,-143.8307568,TRUE
PB-00-01-09D,PB-00-01-09D,35,6160,Data_3926 IPL-17O-6160 PB-00-01-09D-R35-01 1,,11.69240182,11.62457351,0.004482787,22.65956301,22.40664858,0.000978645,-0.206136945,0.004554441,1.378206292,0.004437085,2.312616885,0.000959174,0.408057018,0.152976351,296.2913946,0.09681749,0.011291176,0.006579471,14.324,27.442,-165,10.074,19.281,-106,FALSE
PB-00-01-09D,PB-00-01-09D,35,6161,Data_3927 IPL-17O-6161 PB-00-01-09D-R35-02 1,,13.21757308,13.13098294,0.003157191,25.54366252,25.2228744,0.001527459,-0.186694738,0.00305756,2.887828447,0.003125004,5.139334043,0.001497069,4.35454432,0.138925408,243.9503216,0.085244806,0.017849151,0.020492895,15.956,30.49,-143,11.706,22.329,-83,FALSE
PB-00-01-09D,PB-00-01-09D,35,6162,Data_3928 IPL-17O-6162 PB-00-01-09D-R35-03 1,,12.50011954,12.4226379,0.002915618,24.18417615,23.89636992,0.001563394,-0.194645419,0.003146024,2.177689336,0.002885894,3.806896153,0.001532288,3.64560892,0.130918824,316.4138693,0.110076346,0.000106863,0.000215014,15.189,29.054,-152,10.939,20.893,-93,FALSE
PB-00-02-07D,PB-00-02-07D,35,6163,Data_3929 IPL-17O-6163 PB-00-02-07d-R35-01 1,,13.61327016,13.52144174,0.003991973,26.32362161,25.98311765,0.00138078,-0.197644374,0.004015977,3.279491399,0.003951275,5.903774974,0.001353308,6.444248136,0.147170874,356.3230302,0.071938996,0.060265803,0.063726165,16.379,31.312,-153,12.13,23.151,-94,FALSE
PB-00-02-07D,PB-00-02-07D,35,6164,Data_3930 IPL-17O-6164 PB-00-02-07d-R35-02 1,,14.00883677,13.91161955,0.004278414,27.08116839,26.72096224,0.00149295,-0.197048517,0.004408114,3.671025211,0.004234796,6.646249527,0.001463246,7.754246511,0.127945155,426.9877774,0.145076447,0.005257904,0.004091997,16.802,32.111,-152,12.552,23.95,-93,FALSE
PK95-SC-49,PK95-SC-49,35,6157,Data_3923 IPL-17O-6157 PK95-SC-49-R35-01 1,,15.17119445,15.05725736,0.018075679,29.19427604,28.77623802,0.010685541,-0.159927134,0.012626721,4.821019724,0.018634128,8.720262643,0.009595324,10.43832802,0.521018463,3588.67098,0.438104316,0.034727496,0.034739009,18.041,34.338,-89,13.791,26.177,-30,FALSE
PK95-SC-49,PK95-SC-49,35,6158,Data_3924 IPL-17O-6158 PK95-SC-49-R35-02 1,,12.89633311,12.81387913,0.015809296,24.78931745,24.48704663,0.007148956,-0.121932077,0.01369968,2.570351009,0.016532337,4.394960016,0.008187677,21.07111427,0.464975773,2815.228338,0.592108725,6.45E-05,6.72E-05,15.611,29.688,-64,11.361,21.527,-5,FALSE
PK95-SC-279,PK95-SC-279,36,6260,,,,,,,,,,,,,,,,,,,,,13.2,25.3,-154,9.40946,18.00452,-220,FALSE
PK95-SC-279,PK95-SC-279,36,6261,,,,,,,,,,,,,,,,,,,,,12.9,24.6,-143,9.13007,17.35044,-209,FALSE
PK95-SC-246,PK95-SC-246,36,6262,,,,,,,,,,,,,,,,,,,,,12.5,23.9,-151.3,8.75755,16.69636,-216,FALSE
PK95-SC-246,PK95-SC-246,36,6263,,,,,,,,,,,,,,,,,,,,,12.9,24.8,-154.3,9.13007,17.53732,-220,FALSE
PK95-SC-133,PK95-SC-133,36,6264,,,,,,,,,,,,,,,,,,,,,13.1,25,-146.6,9.31633,17.7242,-212,FALSE
PK95-SC-133,PK95-SC-133,36,6265,,,,,,,,,,,,,,,,,,,,,13.3,25.4,-145.5,,,,
