'Order','Type1','Type2','User','Status','SampleID','AnalyID','Order'2,'Date_Time','AcidTemp','d13CPDBraw','d18OPDBgasraw','d45vref','d46vref','d47vref','d48vref','d9vref','D47vref'3,'D48vref'4,'D49vref','D47@d47=0','D48@d487=0','D49@d49=0','d13CPDB','d18OPDBmin','D47_90 CDES','D47_90 iCDES+','D47_90_iCDES','D48_90 CDES','D48_90 iCDES+','D48_90_iCDES','D49_90 CDES','D49_90 iCDES+','D47_90_iCDES'5,'T(D47)CDES','TD47iCDES+','T(D47)iCDES',mean,SE_1sigma
4378,'Sample','Matthew''s BHB Carbs','wmn','include','PK95-SC-185-03','IPL-CI-4744 PK95-SC-185-03',4378,'2/27/2026 8:51:23 AM',90,-8.760731821,-0.350232645,1.683966109,-1.483480924,-0.057626308,-3.092717002,-22.01952515,-0.347166387,-0.1350584,-20.95597662,-0.347102322,-0.132814799,-13.69777364,-9.043081611,-8.342816449,0.5847129,0.579113624,0.575095291,0.232163858,0.232646613,0.235934724,-0.061440378,1.007551389,1.292247918,30.64074489,32.71111905,34.22329195,31.39649252,1.549784729
4255,'Sample','Matthew''s BHB Carbs','wmn','include','PK95-SC-187-01','IPL-CI-4610 PK95-SC-187-01',4255,'1/9/2026 2:51:19 PM',90,-6.983772022,-0.141879265,3.367716833,-1.271843743,1.872023248,-2.63718507,-26.13211985,-0.357870304,-0.114828947,-27.2069904,-0.360129929,-0.117129924,-18.53910978,-7.266121813,-8.136143031,0.558695157,0.561486845,0.562938826,0.245950617,0.244817721,0.24277733,13.34007507,0.515907059,-0.344433558,40.63605395,39.516077,38.93828789,,
4402,'Sample','Matthew''s BHB Carbs','wmn','include','PK95-SC-187-02',IPL-CI-4775 PK95-SC-187-02',4402,'3/10/2026 11:45:21 AM',90,-7.464720581,-0.328356219,2.907226646,-1.458935157,1.227234841,-3.024422813,-24.95968175,-0.340119806,-0.120392693,-25.19288268,-0.341507791,-0.117384842,-17.02943379,-7.746298475,-8.321850669,0.592884888,0.586237572,0.581575862,0.25078736,0.250186201,0.258100758,3.734132366,1.36324576,0.179904696,27.69316334,30.08423037,31.79548799,35.36688794,3.57139995
4338,'Sample','Matthew''s BHB Carbs','euf','include','PK95-SC-23-01','IPL-CI-4702 PK95-SC-23-01',4338,'2/17/2026 9:36:55 AM',90,-8.285186218,-0.436148219,2.130723078,-1.568194809,0.316362296,-3.190396647,-21.08505919,-0.362145974,-0.09958046,-20.3804395,-0.362507492,-0.098923924,-13.41607541,-8.567536008,-8.428039282,0.564366446,0.561417994,0.559011707,0.269854149,0.269991057,0.273001515,-0.75906505,1.06787525,1.312725312,38.37330483,39.54355491,40.50845412,,
4375,'Sample','Matthew''s BHB Carbs','wmn','include','PK95-SC-23-02','IPL-CI-4741 PK95-SC-23-02',4375,'2/26/2026 11:50:57 AM',90,-8.242535655,-0.436648122,2.165410043,-1.568624257,0.37476866,-3.288640262,-16.96472204,-0.342941456,-0.157546028,-16.26822708,-0.343358973,-0.155288469,-10.67536149,-8.524885445,-8.428535155,0.588438233,0.583054675,0.579209757,0.206091103,0.206345188,0.207622984,-3.909163857,0.78352089,2.304642804,29.28634158,31.24949923,32.67521513,,
4383,'Sample','Matthew''s BHB Carbs','wmn','include','PK95-SC-23-03','IPL-CI-4749 PK95-SC-23-03',4383,'2/28/2026 7:40:06 PM',90,-8.262254387,-0.443344659,2.151056162,-1.575347575,0.330239562,-3.290901226,-13.48919818,-0.349581764,-0.164748948,-12.72840233,-0.349947625,-0.162147806,-8.283149336,-8.544604177,-8.435177698,0.582137759,0.576192203,0.571923915,0.198419428,0.198696598,0.199568655,-6.640073634,0.513014179,3.14158998,31.58768574,33.80827951,35.43270491,36.20545805,2.294033482
4339,'Sample','Matthew''s BHB Carbs','euf','include','PK95-SC-246-01','IPL-CI-4703 PK95-SC-246-01',4339,'2/17/2026 12:32:22 PM',90,-6.888166255,-1.344455724,3.416422238,-2.471660433,0.742933077,-5.110963018,-26.35797271,-0.371883035,-0.188723326,-25.21804713,-0.372731434,-0.187605167,-16.51249077,-7.170516045,-9.329023068,0.553442546,0.550404484,0.547897138,0.167680808,0.167388739,0.166234321,4.023082467,1.100103548,0.312098992,42.77634652,44.03444202,45.08416097,,
4405,'Sample','Matthew''s BHB Carbs','wmn','include','PK95-SC-246-02','IPL-CI-4778 PK95-SC-246-02',4405,'3/11/2026 12:45:46 PM',90,-6.663479051,-1.541623108,3.620759648,-2.667952068,0.734856351,-5.462678341,-20.91712086,-0.375155931,-0.146209499,-19.56265216,-0.375985631,-0.140566343,-12.7229298,-6.945056944,-9.525334938,0.556528279,0.549508382,0.544151198,0.224048048,0.22311977,0.226878435,-1.058996644,0.840259699,1.670468289,41.5137129,44.40840779,46.6720253,,
4407,'Sample','Matthew''s BHB Carbs','wmn','include','PK95-SC-246-03','IPL-CI-4780 PK95-SC-246-03',4407,'3/12/2026 9:06:19 AM',90,-6.708902116,-1.53798985,3.578075982,-2.664421291,0.676459928,-5.45709681,-25.03279024,-0.382763447,-0.15055456,-23.64929216,-0.383526349,-0.144777039,-15.46501294,-6.990480009,-9.521730976,0.548717456,0.541525904,0.535947406,0.219238128,0.218256543,0.221301712,1.96201386,1.181987375,0.724973169,44.7395823,47.7991329,50.23423974,47.330142,1.522680315
4333,'Sample','Matthew''s BHB Carbs','mam','include','PK95-SC-27-01','IPL-CI-4696 PK95-SC-27-01',4333,'2/14/2026 8:37:10 PM',90,-9.947985942,-1.749587599,0.513066291,-2.882341781,-2.669679103,-5.860964878,-36.42241681,-0.384592724,-0.116358568,-31.55773051,-0.381531645,-0.115533183,-19.52439678,-10.23033573,-9.730888348,0.543339746,0.540700767,0.538444752,0.250534743,0.250517679,0.252454822,8.949064791,1.078136574,-0.66094552,47.01913403,48.15585468,49.13727589,,
