Koch_Sample,section,Locality,MLA_sample_id,MLA_horizon_id,strat_height_m,d13C_VPDB,d18Ocarb_VPDB,d18Ocarb_VSMOW
SC 279-1,CFB,SC 279,PK95-SC-279,PK95-SC-279,680,-7.45,-9.96,20.64
,CFB,SC 27,PK95-SC-27,PK95-SC-27,1525,,,
SC 295-1,CFB,SC 295,PK95-SC-295,PK95-SC-295,2210,-10.11,-8.24,22.42
SC 295-2,CFB,SC 295,PK95-SC-295,PK95-SC-295,2210,-10.14,-8.21,22.45
SC 3-1A,CFB,SC 3,PK95-SC-3,PK95-SC-3,1935,-8.27,-8.33,22.32
SC 3-1B,CFB,SC 3,PK95-SC-3,PK95-SC-3,1935,-8.05,-8.55,22.1
SC 3-2A,CFB,SC 3,PK95-SC-3,PK95-SC-3,1935,-8.17,-8.67,21.97
SC 3-2B,CFB,SC 3,PK95-SC-3,PK95-SC-3,1935,-8.42,-8.92,21.71
SC 3-2C,CFB,SC 3,PK95-SC-3-SPAR,PK95-SC-3,1935,-10.3,,17.7
SC 303-1A,CFB,SC 303,PK95-SC-303,PK95-SC-303,2110,-8.37,-8.61,22.03
SC 303-1B,CFB,SC 303,PK95-SC-303,PK95-SC-303,2110,-8.52,-8.7,21.94
SC 31-1,CFB,SC 31,PK95-SC-31,PK95-SC-31,1760,-9.04,-8.82,21.82
SC 31-2,CFB,SC 31,PK95-SC-31,PK95-SC-31,1760,-8.92,-8.81,21.83
SC-318-1A,CFB,SC 318,PK95-SC-318,PK95-SC-318,1725,-9.1,,21.7
SC-318-1B,CFB,SC 318,PK95-SC-318-SPAR,PK95-SC-318,1725,-5.8,,12.5
SC 33-1A,CFB,SC 33,PK95-SC-33,PK95-SC-33,1840,-7.44,-8.96,21.67
SC 33-1B,CFB,SC 33,PK95-SC-33,PK95-SC-33,1840,-7.43,-8.76,21.88
SC 33-1C,CFB,SC 33,PK95-SC-33-SPAR,PK95-SC-33,1840,-6.8,,14.4
SC 33-2B,CFB,SC 33,PK95-SC-33-SPAR,PK95-SC-33,1840,-8.2,,21.9
SC 33-2B,CFB,SC 33,PK95-SC-33-SPAR,PK95-SC-33,1840,-7.5,,21.5
SC 349-1-1,CFB,SC 349,PK95-SC-349-1,PK95-SC-349-1,1521.3,-14.66,-7.73,22.94
