experiment,month,soil_layer_center_m,d18O_soil_water_permil_vsmow
3x_orbmod,1,0.3660658001899719,-11.251553535461426
3x_orbmod,2,0.3660658001899719,-11.703998565673828
3x_orbmod,3,0.3660658001899719,-12.128576278686523
3x_orbmod,4,0.3660658001899719,-12.302056312561035
3x_orbmod,5,0.3660658001899719,-12.091354370117188
3x_orbmod,6,0.3660658001899719,-11.518552780151367
3x_orbmod,7,0.3660658001899719,-11.199071884155273
3x_orbmod,8,0.3660658001899719,-10.756387710571289
3x_orbmod,9,0.3660658001899719,-10.257184982299805
3x_orbmod,10,0.3660658001899719,-10.437995910644531
3x_orbmod,11,0.3660658001899719,-10.70997142791748
3x_orbmod,12,0.3660658001899719,-10.939240455627441
3x_orbmin,1,0.3660658001899719,-11.120319366455078
3x_orbmin,2,0.3660658001899719,-11.447802543640137
3x_orbmin,3,0.3660658001899719,-11.817336082458496
3x_orbmin,4,0.3660658001899719,-12.0106782913208
3x_orbmin,5,0.3660658001899719,-11.762574195861816
3x_orbmin,6,0.3660658001899719,-11.109992980957031
3x_orbmin,7,0.3660658001899719,-10.558337211608887
3x_orbmin,8,0.3660658001899719,-9.994104385375977
3x_orbmin,9,0.3660658001899719,-9.973272323608398
3x_orbmin,10,0.3660658001899719,-10.473698616027832
3x_orbmin,11,0.3660658001899719,-10.713129997253418
3x_orbmin,12,0.3660658001899719,-10.889142990112305
3x_orbmaxn,1,0.3660658001899719,-10.642022132873535
3x_orbmaxn,2,0.3660658001899719,-10.964944839477539
3x_orbmaxn,3,0.3660658001899719,-11.427924156188965
3x_orbmaxn,4,0.3660658001899719,-11.824533462524414
3x_orbmaxn,5,0.3660658001899719,-11.759668350219727
3x_orbmaxn,6,0.3660658001899719,-11.426671981811523
3x_orbmaxn,7,0.3660658001899719,-11.34119987487793
3x_orbmaxn,8,0.3660658001899719,-11.148959159851074
3x_orbmaxn,9,0.3660658001899719,-10.163679122924805
3x_orbmaxn,10,0.3660658001899719,-10.221883773803711
3x_orbmaxn,11,0.3660658001899719,-10.373324394226074
3x_orbmaxn,12,0.3660658001899719,-10.490745544433594
3x_orbmaxs,1,0.3660658001899719,-11.57197380065918
3x_orbmaxs,2,0.3660658001899719,-11.898130416870117
3x_orbmaxs,3,0.3660658001899719,-12.190759658813477
3x_orbmaxs,4,0.3660658001899719,-12.2300386428833
3x_orbmaxs,5,0.3660658001899719,-11.853397369384766
3x_orbmaxs,6,0.3660658001899719,-11.258125305175781
3x_orbmaxs,7,0.3660658001899719,-10.860576629638672
3x_orbmaxs,8,0.3660658001899719,-10.617107391357422
3x_orbmaxs,9,0.3660658001899719,-10.40947437286377
3x_orbmaxs,10,0.3660658001899719,-10.764345169067383
3x_orbmaxs,11,0.3660658001899719,-11.16517162322998
3x_orbmaxs,12,0.3660658001899719,-11.341705322265625
6x_orbmod,1,0.3660658001899719,-10.881081581115723
6x_orbmod,2,0.3660658001899719,-11.019915580749512
6x_orbmod,3,0.3660658001899719,-11.111125946044922
6x_orbmod,4,0.3660658001899719,-11.095061302185059
6x_orbmod,5,0.3660658001899719,-10.6639404296875
6x_orbmod,6,0.3660658001899719,-10.146110534667969
6x_orbmod,7,0.3660658001899719,-10.196834564208984
6x_orbmod,8,0.3660658001899719,-10.262996673583984
6x_orbmod,9,0.3660658001899719,-9.98060417175293
6x_orbmod,10,0.3660658001899719,-10.10395622253418
6x_orbmod,11,0.3660658001899719,-10.451078414916992
6x_orbmod,12,0.3660658001899719,-10.702089309692383
6x_orbmin,1,0.3660658001899719,-10.614828109741211
6x_orbmin,2,0.3660658001899719,-10.730460166931152
6x_orbmin,3,0.3660658001899719,-10.812908172607422
6x_orbmin,4,0.3660658001899719,-10.823637962341309
6x_orbmin,5,0.3660658001899719,-10.514303207397461
6x_orbmin,6,0.3660658001899719,-9.986087799072266
6x_orbmin,7,0.3660658001899719,-9.9409818649292
6x_orbmin,8,0.3660658001899719,-9.976923942565918
6x_orbmin,9,0.3660658001899719,-9.691744804382324
6x_orbmin,10,0.3660658001899719,-10.012149810791016
6x_orbmin,11,0.3660658001899719,-10.320931434631348
6x_orbmin,12,0.3660658001899719,-10.46934700012207
6x_orbmaxn,1,0.3660658001899719,-10.082439422607422
6x_orbmaxn,2,0.3660658001899719,-10.372519493103027
6x_orbmaxn,3,0.3660658001899719,-10.711326599121094
6x_orbmaxn,4,0.3660658001899719,-10.805010795593262
6x_orbmaxn,5,0.3660658001899719,-10.661378860473633
6x_orbmaxn,6,0.3660658001899719,-10.451272964477539
6x_orbmaxn,7,0.3660658001899719,-10.39365005493164
6x_orbmaxn,8,0.3660658001899719,-10.312080383300781
6x_orbmaxn,9,0.3660658001899719,-9.709060668945312
6x_orbmaxn,10,0.3660658001899719,-9.657487869262695
6x_orbmaxn,11,0.3660658001899719,-9.794727325439453
6x_orbmaxn,12,0.3660658001899719,-9.894355773925781
6x_orbmaxs,1,0.3660658001899719,-10.954245567321777
6x_orbmaxs,2,0.3660658001899719,-11.124223709106445
6x_orbmaxs,3,0.3660658001899719,-11.187255859375
6x_orbmaxs,4,0.3660658001899719,-11.110485076904297
6x_orbmaxs,5,0.3660658001899719,-10.610982894897461
6x_orbmaxs,6,0.3660658001899719,-9.914667129516602
6x_orbmaxs,7,0.3660658001899719,-9.888261795043945
6x_orbmaxs,8,0.3660658001899719,-10.020240783691406
6x_orbmaxs,9,0.3660658001899719,-9.960532188415527
6x_orbmaxs,10,0.3660658001899719,-9.903461456298828
6x_orbmaxs,11,0.3660658001899719,-10.37035846710205
6x_orbmaxs,12,0.3660658001899719,-10.75717830657959
