Bowen_Soil_ID,Bowen_Sample_ID,MLA_sample_id,MLA_horizon_id,strat_height_m,d13C_VPDB,d18Ocarb_VPDB,d18Ocarb_VSMOW
PB-00-03-13,2A,PB-00-03-13-2A,PB-00-03-13,1500.3,-10,-8.3,22.363364
PB-00-03-13,2B,PB-00-03-13-2B,PB-00-03-13,1500.3,-10.1,-8.5,22.15718
PB-00-03-14,1A,PB-00-03-14-1A,PB-00-03-14,1504.9,-12.9,-8.6,22.054088
PB-00-03-14,1B,PB-00-03-14-1B,PB-00-03-14,1504.9,-12.9,-8.7,21.950996
PB-00-03-14,2A,PB-00-03-14-2A,PB-00-03-14,1504.9,-12.7,-8,22.67264
PB-00-03-14,2B,PB-00-03-14-2B,PB-00-03-14,1504.9,-13,-8.8,21.847904
PB-00-03-15,1A,PB-00-03-15-1A,PB-00-03-15,1506.8,-14.3,-7.9,22.775732
PB-00-03-15,1B,PB-00-03-15-1B,PB-00-03-15,1506.8,-14.5,-7.7,22.981916
PB-00-03-15,2A,PB-00-03-15-2A,PB-00-03-15,1506.8,-14.5,-8.2,22.466456
PB-00-03-15,2B,PB-00-03-15-2B,PB-00-03-15,1506.8,-14.2,-7.7,22.981916
PB-00-03-16,1A,PB-00-03-16-1A,PB-00-03-16,1507.4,-14.1,-8.2,22.466456
PB-00-03-16,1B,PB-00-03-16-1B,PB-00-03-16,1507.4,-14.1,-7.9,22.775732
PB-00-03-16,2A,PB-00-03-16-2A,PB-00-03-16,1507.4,-14.5,-8.5,22.15718
PB-00-03-16,2B,PB-00-03-16-2B,PB-00-03-16,1507.4,-14.4,-8.3,22.363364
PB-00-03-17,1A,PB-00-03-17-1A,PB-00-03-17,1507.8,-15.5,-9.2,21.435536
PB-00-03-17,1B,PB-00-03-17-1B,PB-00-03-17,1507.8,-15.5,-9.3,21.322537
PB-00-03-17,2A,PB-00-03-17-2A,PB-00-03-17,1507.8,-15.6,-9.3,21.332444
PB-00-03-17,2B,PB-00-03-17-2B,PB-00-03-17,1507.8,-15.4,-9,21.64172
PB-00-03-18,1A,PB-00-03-18-1A,PB-00-03-18,1508.5,-13.6,-7.6,23.085008
PB-00-03-18,1B,PB-00-03-18-1B,PB-00-03-18,1508.5,-13.5,-7.4,23.291192
PB-00-03-18,2A,PB-00-03-18-2A,PB-00-03-18,1508.5,-14.1,-7.6,23.085008
PB-00-03-18,2B,PB-00-03-18-2B,PB-00-03-18,1508.5,-14.3,-7.9,22.775732
PB-00-03-19,1A,PB-00-03-19-1A,PB-00-03-19,1510.1,-14,-9.3,21.332444
PB-00-03-19,1B,PB-00-03-19-1B,PB-00-03-19,1510.1,-14.6,-9.2,21.435536
PB-00-03-19,2A,PB-00-03-19-2A,PB-00-03-19,1510.1,-14.6,-8.4,22.260272
PB-00-03-19,2B,PB-00-03-19-2B,PB-00-03-19,1510.1,-14.8,-8.5,22.15718
PB-00-03-20,1A,PB-00-03-20-1A,PB-00-03-20,1512.3,-14.9,-9.9,20.713892
PB-00-03-20,1B,PB-00-03-20-1B,PB-00-03-20,1512.3,-14.9,-8.8,21.847904
PB-00-03-20,2A,PB-00-03-20-2A,PB-00-03-20,1512.3,-14.9,-8.6,22.054088
PB-00-03-20,2B,PB-00-03-20-2B,PB-00-03-20,1512.3,-14.8,-8.7,21.950996
PB-00-03-21,1A,PB-00-03-21-1A,PB-00-03-21,1513.9,-15.2,-8.6,22.054088
PB-00-03-21,1B,PB-00-03-21-1B,PB-00-03-21,1513.9,-15.2,-8.4,22.260272
PB-00-03-21,2A,PB-00-03-21-2A,PB-00-03-21,1513.9,-15.1,-8.8,21.847904
PB-00-03-21,2B,PB-00-03-21-2B,PB-00-03-21,1513.9,-15.2,-8.3,22.363364
PB-00-03-22,1A,PB-00-03-22-1A,PB-00-03-22,1516.1,-12.9,-8.7,21.950996
PB-00-03-22,1B,PB-00-03-22-1B,PB-00-03-22,1516.1,-13.8,-8.3,22.363364
PB-00-03-22,2A,PB-00-03-22-2A,PB-00-03-22,1516.1,-13.2,-9.1,21.538628
PB-00-03-22,2B,PB-00-03-22-2B,PB-00-03-22,1516.1,-13.7,-8.7,21.950996
PB-00-03-23,1A,PB-00-03-23-1A,PB-00-03-23,1517.7,-14.4,-8.6,22.054088
PB-00-03-23,1B,PB-00-03-23-1B,PB-00-03-23,1517.7,-14.3,-8.7,21.950996
PB-00-03-23,2A,PB-00-03-23-2A,PB-00-03-23,1517.7,-13.6,-8.8,21.847904
PB-00-03-23,2B,PB-00-03-23-2B,PB-00-03-23,1517.7,-13.5,-8.8,21.847904
PB-00-03-24,1A,PB-00-03-24-1A,PB-00-03-24,1519.3,-14,-8.9,21.744812
PB-00-03-24,1B,PB-00-03-24-1B,PB-00-03-24,1519.3,-13.9,-9.2,21.435536
PB-00-03-24,2A,PB-00-03-24-2A,PB-00-03-24,1519.3,-14.3,-8.7,21.950996
PB-00-03-24,2B,PB-00-03-24-2B,PB-00-03-24,1519.3,-14.9,-7.7,22.981916
PB-00-04-01,1A,PB-00-04-01-1A,PB-00-04-01,1541,-10.6,-8.5,22.15718
PB-00-04-01,1B,PB-00-04-01-1B,PB-00-04-01,1541,-10.6,-8.5,22.15718
PB-00-04-01,2A,PB-00-04-01-2A,PB-00-04-01,1541,-11.9,-8.9,21.744812
PB-00-04-01,2B,PB-00-04-01-2B,PB-00-04-01,1541,-11.3,-9.9,20.713892
PB-00-04-02,1A,PB-00-04-02-1A,PB-00-04-02,1544.5,-11.5,-15.9,14.528372
PB-00-04-02,1B,PB-00-04-02-1B,PB-00-04-02,1544.5,-10.7,-17.2,13.188176
PB-00-04-02,2A,PB-00-04-02-2A,PB-00-04-02,1544.5,-11.5,-17.4,12.981992
PB-00-04-02,2B,PB-00-04-02-2B,PB-00-04-02,1544.5,-11.4,-17.5,12.8789
PB-00-04-03,1A,PB-00-04-03-1A,PB-00-04-03,1548.4,-9.8,-8.6,22.054088
PB-00-04-03,1B,PB-00-04-03-1B,PB-00-04-03,1548.4,-9.9,-8.4,22.260272
PB-00-04-03,2A,PB-00-04-03-2A,PB-00-04-03,1548.4,-9.9,-8.5,22.15718
PB-00-04-03,2B,PB-00-04-03-2B,PB-00-04-03,1548.4,-9.9,-8.4,22.260272
PB-00-04-04,1A,PB-00-04-04-1A,PB-00-04-04,1549.5,-9.6,-9.3,21.332444
PB-00-04-04,1B,PB-00-04-04-1B,PB-00-04-04,1549.5,-9.9,-9.1,21.538628
PB-00-04-04,2A,PB-00-04-04-2A,PB-00-04-04,1549.5,-9.9,-8.4,22.260272
PB-00-04-04,2B,PB-00-04-04-2B,PB-00-04-04,1549.5,-9.9,-9.3,21.332444
PB-00-04-05,1A,PB-00-04-05-1A,PB-00-04-05,1553.7,-9.2,-8.7,21.950996
PB-00-04-05,1B,PB-00-04-05-1B,PB-00-04-05,1553.7,-8.9,-8.5,22.15718
PB-00-04-05,2A,PB-00-04-05-2A,PB-00-04-05,1553.7,-9.5,-8.5,22.15718
PB-00-04-05,2B,PB-00-04-05-2B,PB-00-04-05,1553.7,-9.5,-8.9,21.744812
PB-00-04-06,1A,PB-00-04-06-1A,PB-00-04-06,1554.3,-9.3,-8.4,22.260272
PB-00-04-06,1B,PB-00-04-06-1B,PB-00-04-06,1554.3,-9.1,-8.3,22.363364
PB-00-04-08,1A,PB-00-04-08-1A,PB-00-04-08,1558.6,-9.1,-8.4,22.260272
PB-00-04-08,1B,PB-00-04-08-1B,PB-00-04-08,1558.6,-9.5,-9.8,20.816984
PB-00-04-08,2A,PB-00-04-08-2A,PB-00-04-08,1558.6,-8.4,-9.7,20.920076
PB-00-04-08,2B,PB-00-04-08-2B,PB-00-04-08,1558.6,-8.2,-9.5,21.12626
PB-00-04-09,1A,PB-00-04-09-1A,PB-00-04-09,1559.5,-8.7,-9,21.64172
PB-00-04-09,1B,PB-00-04-09-1B,PB-00-04-09,1559.5,-8.8,-9.1,21.538628
PB-00-04-09,2A,PB-00-04-09-2A,PB-00-04-09,1559.5,-7.4,-9.2,21.435536
PB-00-04-09,2B,PB-00-04-09-2B,PB-00-04-09,1559.5,-7.2,-8.9,21.744812
PB-00-04-10,1A,PB-00-04-10-1A,PB-00-04-10,1562.4,-9.9,-8.2,22.466456
PB-00-04-10,1B,PB-00-04-10-1B,PB-00-04-10,1562.4,-8.9,-8.2,22.466456
PB-00-04-10,2A,PB-00-04-10-2A,PB-00-04-10,1562.4,-8.9,-7.9,22.775732
PB-00-04-10,2B,PB-00-04-10-2B,PB-00-04-10,1562.4,-9.6,-8.7,21.950996
PB-00-04-11,1A,PB-00-04-11-1A,PB-00-04-11,1568.2,-9,-9,21.64172
PB-00-04-11,1C,PB-00-04-11-1C,PB-00-04-11,1568.2,-8.8,-8.2,22.466456
PB-00-04-11,2B,PB-00-04-11-2B,PB-00-04-11,1568.2,-9.1,-8.3,22.363364
PB-00-04-11,2C,PB-00-04-11-2C,PB-00-04-11,1568.2,-9.2,-7.8,22.878824
PB-00-04-12,1A,PB-00-04-12-1A,PB-00-04-12,1568.6,-9.1,-8.7,21.950996
PB-00-04-12,1B,PB-00-04-12-1B,PB-00-04-12,1568.6,-9.3,-8.7,21.950996
PB-00-04-12,2A,PB-00-04-12-2A,PB-00-04-12,1568.6,-7.2,-9.4,21.229352
PB-00-04-12,2B,PB-00-04-12-2B,PB-00-04-12,1568.6,-7.7,-9.3,21.332444
PB-00-04-13,1A,PB-00-04-13-1A,PB-00-04-13,1572.8,-8.5,-9.3,21.332444
PB-00-04-13,1B,PB-00-04-13-1B,PB-00-04-13,1572.8,-8.9,-8.9,21.744812
PB-00-04-13,2A,PB-00-04-13-2A,PB-00-04-13,1572.8,-9.2,-9.4,21.229352
PB-00-04-13,2B,PB-00-04-13-2B,PB-00-04-13,1572.8,-8.7,-8.7,21.950996
PB-00-04-14,1A,PB-00-04-14-1A,PB-00-04-14,1574.7,-8.9,-9.2,21.435536
PB-00-04-14,1B,PB-00-04-14-1B,PB-00-04-14,1574.7,-8.7,-8.6,22.054088
PB-00-04-14,2A,PB-00-04-14-2A,PB-00-04-14,1574.7,-9.2,-8.8,21.847904
PB-00-04-14,2B,PB-00-04-14-2B,PB-00-04-14,1574.7,-8.3,-8.5,22.15718
PB-00-04-15,1A,PB-00-04-15-1A,PB-00-04-15,1584.7,-8.8,-8.4,22.260272
PB-00-04-15,1B,PB-00-04-15-1B,PB-00-04-15,1584.7,-8.5,-8.3,22.363364
PB-00-04-15,2A,PB-00-04-15-2A,PB-00-04-15,1584.7,-8.7,-8.4,22.260272
PB-00-04-15,2B,PB-00-04-15-2B,PB-00-04-15,1584.7,-8.7,-8.4,22.260272
PB-00-04-16,1A,PB-00-04-16-1A,PB-00-04-16,1594.2,-8.1,-8.3,22.363364
PB-00-04-16,1B,PB-00-04-16-1B,PB-00-04-16,1594.2,-8.7,-8.6,22.054088
PB-00-04-16,2A,PB-00-04-16-2A,PB-00-04-16,1594.2,-9.3,-8.4,22.260272
PB-00-04-16,2B,PB-00-04-16-2B,PB-00-04-16,1594.2,-9.3,-8.3,22.363364
PB-00-04-11,1SPAR,PB-00-04-11-SPAR-1,PB-00-04-11,1568.2,-6.8,-16.4,14.003076
PB-00-04-04,2SPAR,PB-00-04-04-SPAR-2,PB-00-04-04,1549.5,-7.5,-14.7,15.755623
PB-00-04-03,2SPAR,PB-00-04-03-SPAR-2,PB-00-04-03,1548.4,-11.5,-13.9,16.580351
PB-00-02-19,1SPAR,PB-00-02-19-SPAR-1,PB-00-02-19,1545.1,-11.3,-8.6,22.044174
PB-00-02-11,1SPAR,PB-00-02-11-SPAR-1,PB-00-02-11,1532.2,-14.8,-15.1,15.343259
PB-00-02-10,2SPAR,PB-00-02-10-SPAR-2,PB-00-02-10,1531.6,-15.4,-15.5,14.930895
PB-00-02-09,2SPAR,PB-00-02-09-SPAR-2,PB-00-02-09,1530.5,-14.4,-14.6,15.858714
PB-00-02-07,07D-1SPAR,PB-00-02-07D-SPAR-1,PB-00-02-07D,1526.3,-13.2,-16.3,14.106167
PB-00-01-12,SPAR,PB-00-01-12-SPAR,PB-00-01-12,1516.4,-12.5,-12.5,18.023625
PB-00-03-08,1SPAR,PB-00-03-08-SPAR-1,PB-00-03-08,1494.4,-11.2,-9.1,21.528719
