Bowen_Soil_ID,Bowen_Sample_ID,MLA_sample_id,MLA_horizon_id,strat_height_m,d13C_VPDB,d18Ocarb_VPDB,d18Ocarb_VSMOW
PB-00-01-09,09A-2B,PB-00-01-09A-2B,PB-00-01-09A,1512.8,-15,-8.1,22.569548
PB-00-01-10,10D-1A,PB-00-01-10D-1A,PB-00-01-10D,1513.2,-14.7,-7.9,22.775732
PB-00-01-10,10D-1B,PB-00-01-10D-1B,PB-00-01-10D,1513.2,-14.6,-7.8,22.878824
PB-00-01-10,10C-1A,PB-00-01-10C-1A,PB-00-01-10C,1513.6,-14.9,-8.5,22.15718
PB-00-01-10,10C-1B,PB-00-01-10C-1B,PB-00-01-10C,1513.6,-15,-8.4,22.260272
PB-00-01-10,10C-2A,PB-00-01-10C-2A,PB-00-01-10C,1513.6,-15.6,-8.9,21.744812
PB-00-01-10,10C-28,PB-00-01-10C-28,PB-00-01-10C,1513.6,-15.7,-9,21.64172
PB-00-01-10,10B-1A,PB-00-01-10B-1A,PB-00-01-10B,1514.1,-14.7,-7.5,23.1881
PB-00-01-10,10B-1B,PB-00-01-10B-1B,PB-00-01-10B,1514.1,-14.7,-7.6,23.085008
PB-00-01-10,10B-2A,PB-00-01-10B-2A,PB-00-01-10B,1514.1,-15.1,-8,22.67264
PB-00-01-10,10B-2B,PB-00-01-10B-2B,PB-00-01-10B,1514.1,-15,-8.1,22.569548
PB-00-01-10,10A-1A,PB-00-01-10A-1A,PB-00-01-10A,1514.3,-15,-7.8,22.878824
PB-00-01-10,10A-1B,PB-00-01-10A-1B,PB-00-01-10A,1514.3,-14.9,-7.7,22.981916
PB-00-01-10,10A-2A,PB-00-01-10A-2A,PB-00-01-10A,1514.3,-14.6,-8.1,22.569548
PB-00-01-10,10A-2B,PB-00-01-10A-2B,PB-00-01-10A,1514.3,-14.5,-8.2,22.466456
PB-00-01-11,1A,PB-00-01-11-1A,PB-00-01-11,1515.4,-13.2,-8.5,22.15718
PB-00-01-11,1B,PB-00-01-11-1B,PB-00-01-11,1515.4,-13.3,-8.3,22.363364
PB-00-01-11,2A,PB-00-01-11-2A,PB-00-01-11,1515.4,-13.2,-9.1,21.538628
PB-00-01-11,2B,PB-00-01-11-2B,PB-00-01-11,1515.4,-13,-9.2,21.435536
PB-00-01-12,1A,PB-00-01-12-1A,PB-00-01-12,1516.4,-13.9,-9.1,21.538628
PB-00-01-12,1B,PB-00-01-12-1B,PB-00-01-12,1516.4,-13.8,-9,21.64172
PB-00-01-12,2A,PB-00-01-12-2A,PB-00-01-12,1516.4,-14.8,-8.2,22.466456
PB-00-01-12,2B,PB-00-01-12-2B,PB-00-01-12,1516.4,-15.2,-8.7,21.950996
PB-00-01-13,1A,PB-00-01-13-1A,PB-00-01-13,1517.8,-12.3,-11.4,19.167512
PB-00-01-13,1B,PB-00-01-13-1B,PB-00-01-13,1517.8,-12.5,-10.4,20.198432
PB-00-01-13,2A,PB-00-01-13-2A,PB-00-01-13,1517.8,-14.1,-7.9,22.775732
PB-00-01-13,2B,PB-00-01-13-2B,PB-00-01-13,1517.8,-14,-7.8,22.878824
PB-00-01-14,14B-1A,PB-00-01-14B-1A,PB-00-01-14B,1519.3,-13.7,-10.2,20.404616
PB-00-01-14,14B-1B,PB-00-01-14B-1B,PB-00-01-14B,1519.3,-12,-13.5,17.00258
PB-00-01-14,14B-2A,PB-00-01-14B-2A,PB-00-01-14B,1519.3,-11.4,-15,15.4562
PB-00-01-14,14B-2B,PB-00-01-14B-2B,PB-00-01-14B,1519.3,-11.1,-15.2,15.250016
PB-00-01-14,14A-1A,PB-00-01-14A-1A,PB-00-01-14A,1519.7,-13.9,-8.3,22.363364
PB-00-01-14,14A-1B,PB-00-01-14A-1B,PB-00-01-14A,1519.7,-13.9,-8.6,22.054088
PB-00-01-14,14A-2A,PB-00-01-14A-2A,PB-00-01-14A,1519.7,-12.9,-9.9,20.713892
PB-00-01-14,14A-2B,PB-00-01-14A-2B,PB-00-01-14A,1519.7,-13.1,-9.9,20.713892
PB-00-01-15,15B-1A,PB-00-01-15B-1A,PB-00-01-15B,1521.2,-13.7,-8.3,22.363364
PB-00-01-15,15B-1B,PB-00-01-15B-1B,PB-00-01-15B,1521.2,-13.8,-8.5,22.15718
PB-00-01-15,15B-2A,PB-00-01-15B-2A,PB-00-01-15B,1521.2,-14.3,-8.3,22.363364
PB-00-01-15,15B-2B,PB-00-01-15B-2B,PB-00-01-15B,1521.2,-14.3,-8.1,22.569548
PB-00-01-15,15A-1A,PB-00-01-15A-1A,PB-00-01-15A,1521.9,-13.3,-7.8,22.878824
PB-00-01-15,15A-1B,PB-00-01-15A-1B,PB-00-01-15A,1521.9,-13.4,-7.6,23.085008
PB-00-02-01,1A,PB-00-02-01-1A,PB-00-02-01,1519.3,-14.9,-9.2,21.435536
PB-00-02-01,1B,PB-00-02-01-1B,PB-00-02-01,1519.3,-13.6,-11.8,18.755144
PB-00-02-01,1C,PB-00-02-01-1C,PB-00-02-01,1519.3,-12.3,-11.8,18.755144
PB-00-02-01,2A,PB-00-02-01-2A,PB-00-02-01,1519.3,-12.6,-13.1,17.414948
PB-00-02-01,2B,PB-00-02-01-2B,PB-00-02-01,1519.3,-12.9,-12.4,18.136592
PB-00-02-02,1A,PB-00-02-02-1A,PB-00-02-02,1520.5,-13.8,-7.8,22.878824
PB-00-02-02,1B,PB-00-02-02-1B,PB-00-02-02,1520.5,-13.7,-7.9,22.775732
PB-00-02-02,2A,PB-00-02-02-2A,PB-00-02-02,1520.5,-13.7,-8,22.67264
PB-00-02-02,2B,PB-00-02-02-2B,PB-00-02-02,1520.5,-13.1,-8.3,22.363364
PB-00-02-03,1A,PB-00-02-03-1A,PB-00-02-03,1522.9,-14.2,-7.9,22.775732
PB-00-02-03,1B,PB-00-02-03-1B,PB-00-02-03,1522.9,-14.3,-7.8,22.878824
PB-00-02-03,2A,PB-00-02-03-2A,PB-00-02-03,1522.9,-14.1,-8,22.67264
PB-00-02-03,2B,PB-00-02-03-2B,PB-00-02-03,1522.9,-14.2,-8.1,22.569548
PB-00-02-04,1A,PB-00-02-04-1A,PB-00-02-04,1523.8,-15.6,-8,22.67264
PB-00-02-04,1B,PB-00-02-04-1B,PB-00-02-04,1523.8,-13.9,-8.2,22.466456
PB-00-02-04,2A,PB-00-02-04-2A,PB-00-02-04,1523.8,-14,-8.3,22.363364
PB-00-02-04,2B,PB-00-02-04-2B,PB-00-02-04,1523.8,-14,-8.2,22.466456
PB-00-02-05,1A,PB-00-02-05-1A,PB-00-02-05,1524.2,-14,-8.8,21.847904
PB-00-02-05,1B,PB-00-02-05-1B,PB-00-02-05,1524.2,-13.7,-8.6,22.054088
PB-00-02-05,2A,PB-00-02-05-2A,PB-00-02-05,1524.2,-13.9,-8.9,21.744812
PB-00-02-05,2B,PB-00-02-05-2B,PB-00-02-05,1524.2,-13.9,-8.8,21.847904
PB-00-02-06,1A,PB-00-02-06-1A,PB-00-02-06,1525.3,-13.2,-9,21.64172
PB-00-02-06,1B,PB-00-02-06-1B,PB-00-02-06,1525.3,-12.8,-8.9,21.744812
PB-00-02-06,2A,PB-00-02-06-2A,PB-00-02-06,1525.3,-14,-8.9,21.744812
PB-00-02-06,2B,PB-00-02-06-2B,PB-00-02-06,1525.3,-14.4,-8.4,22.260272
PB-00-02-07,07D-1A,PB-00-02-07D-1A,PB-00-02-07D,1526.3,-14.3,-8.6,22.054088
PB-00-02-07,07D-1B,PB-00-02-07D-1B,PB-00-02-07D,1526.3,-14.3,-8.8,21.847904
PB-00-02-07,07D-2A,PB-00-02-07D-2A,PB-00-02-07D,1526.3,-14.5,-8.7,21.950996
PB-00-02-07,07D-2B,PB-00-02-07D-2B,PB-00-02-07D,1526.3,-14.4,-8.8,21.847904
PB-00-02-07,07C-1A,PB-00-02-07C-1A,PB-00-02-07C,1527,-13.5,-8.3,22.363364
PB-00-02-07,07C-1B,PB-00-02-07C-1B,PB-00-02-07C,1527,-13.5,-8.2,22.466456
