Counter,IPLnum,Sample_Name,D47_pipeline,T47_pipeline_C,D47_Ben,T47_Ben_C,D47_pipeline_minus_Ben,T47_pipeline_minus_Ben_C
4002,4814,102-GC-AZ01,0.6153953506848813,20.092252852448723,0.6153953502522103,20.092252994881107,4.3267101013100273e-10,-1.4243238410927006e-7
4003,4861,102-GC-AZ01,0.61038654845896545,21.755155198348803,0.6103865487141188,21.75515511291701,-2.5515334289849534e-10,8.543179319531191e-8
4004,4867,102-GC-AZ01,0.5879576405876152,29.564519809744922,0.5879576400573487,29.564520001773246,5.302664973783067e-10,-1.9202832390874391e-7
4005,4915,102-GC-AZ01,0.6055018668163883,23.404403013326373,0.6055018666886467,23.404403056819092,1.2774159507955574e-10,-4.349271875980776e-8
4035,4822,BHB-25-R6-262-A-1,0.592296191980167,28.00550365770249,0.5922961922582466,28.0055035585479,-2.780795593793073e-10,9.915459031617502e-8
4037,4815,BHB-25-R6-268-B,0.47982333943791816,78.444701475347415,0.4798233392157268,78.4447016014214,2.2219137640888675e-10,-1.2607398502950673e-7
4041,4916,BHB-25-TRAV-242-B,0.5934908302875677,27.580434262086214,0.5934908307193627,27.580434108772465,-4.317950441645735e-10,1.5331374925153796e-7
4045,4818,BHB-25-WDC-F6-229,0.5913172552501743,28.35517024371177,0.5913172547949543,28.355170406595164,4.5521997282804705e-10,-1.6288339566017385e-7
4049,4821,BHB-25-WDC-FS-237,0.43780371701161186,105.02349454301014,0.43780371670529333,105.02349475929088,3.06318526099858e-10,-2.1628073909596424e-7
4050,4816,BHB-25-WDC-FS-237-m,0.5857368430154282,30.371968423152623,0.5857368431075269,30.371968389532753,-9.209877305238479e-11,3.361986955496832e-8
4051,4825,BHB-25-WDC-Site3-232-A-1,0.587335825328113,29.78995270281638,0.5873358255233703,29.789952631948722,-1.95257254809178e-10,7.086765663188999e-8
4052,4832,BHB-25-WDC-SITE3-232-A-1,0.5716848345655484,35.63533703145458,0.5716848347461633,35.635336962032966,-1.806148564043042e-10,6.942161689948989e-8
4056,4819,BHB-25-WDC-Site3-233-A-12,0.5484086085160145,44.99044420542367,0.5484086089855575,44.99044400804354,-4.695430710910387e-10,1.97380131794489e-7
4095,4904,CLDQ UUUP 7227,0.5344665786825908,51.01829141257048,0.5344665789986713,51.01829127200443,-3.1608049511078207e-10,1.4056604413781315e-7
4096,4913,CLDQ UUUP 7227,0.5110719051386269,61.95153209756887,0.5110719049734495,61.95153217871194,1.6517742729149631e-10,-8.114307092910167e-8
4136,4823,Depleted Eq Gas,0.9141809111225377,-46.28885270894648,0.9141809107725467,,3.499910361526304e-10,
4137,4847,Depleted Eq Gas,0.9375112149668973,-49.763449482455115,0.9375112152059779,,-2.3908064417099695e-10,
4138,4900,Depleted Eq Gas,0.9178710878692773,-46.849238706190306,0.9178710878694876,,-2.1027624086400465e-13,
4139,4912,Depleted Eq Gas,0.9120315042547255,-45.96052143080061,0.9120315041759515,,7.877398733313612e-11,
4145,4824,ECDQ22-TS-B1,0.5150595698755889,60.0096127990563,0.5150595697126936,60.009612877695076,1.6289525284207684e-10,-7.863877726776991e-8
4185,4815,Enriched Eq Gas,0.9405339870074315,-50.20204802167328,0.9405339872807879,,-2.733563375656445e-10,
4186,4833,Enriched Eq Gas,0.9277124847678943,-48.323673016345396,0.9277125331032884,,-4.8335394131626686e-8,
4187,4864,Enriched Eq Gas,0.931441897481877,-48.8749293617268,0.931441897155567,,3.263099790373758e-10,
4188,4902,Enriched Eq Gas,0.9485275556419724,-51.349565509375964,0.9485275555648702,,7.710221350265556e-11,
4221,4803,ETH-1,0.18828992292220187,1173.9330259591284,0.18828992315099907,1173.9330169080094,-2.2879720340540644e-10,9.051118922798196e-6
4222,4817,ETH-1,0.18962789859130708,1123.7408873537593,0.18962789824888243,1123.7408995387082,3.42424644195205e-10,-1.2184948900539894e-5
4223,4830,ETH-1,0.17503978649780466,2483.5741931282,0.17503978670765313,2483.5741357354573,-2.0984847193261658e-10,5.739274274674244e-5
4224,4848,ETH-1,0.21162801364019918,686.0441974713666,0.21162801321317376,686.0442023911343,4.2702541502848135e-10,-4.9197676617041e-6
4225,4874,ETH-1,0.20718056647322386,741.7923765615006,0.20718056655343026,741.7923754667773,-8.02063970795075e-11,1.0947233022307046e-6
4226,4909,ETH-1,0.20705277305576103,743.541116286062,0.20705277328868793,743.5411130904212,-2.3292689999010463e-10,3.195640829289914e-6
4248,4845,ETH-1 HEATED,0.05437688660082191,,0.0543768871357086,,-5.348866904952843e-10,
4267,4813,ETH-2,0.22188486224596898,586.0198987025525,0.22188486229218046,586.0198983199407,-4.6211479087787666e-11,3.826118017968838e-7
