"","D17Osw","d18Osw","d17Osw","dDsw","z","z_ef","d18O_ef","d17O_ef","dD_ef","slope1","slope2","slopeD","slope1_above","slope2_above","slopeD_above","slope1_below","slope2_below","slopeD_below"
"35",-18.1725366574422,0.739965873122609,0.372454306442569,-6.74116991451356,0.34,0.109795257629666,24.9564013151111,12.8972712818487,60.9980525600893,-8.79919516093847,0.519200804839061,2.77461715207218,-6.87004519612605,0.521129954803874,3.00571633357082,-9.0135335227626,0.518986466477238,2.79724167650004
"36",-15.8881380671997,0.525002712306757,0.261274680022197,-7.34247382685984,0.35,0.109795257629666,24.9564013151111,12.8972712818487,60.9980525600893,-8.79919516093847,0.519200804839061,2.77461715207218,-6.87004519612605,0.521129954803874,3.00571633357082,-9.0135335227626,0.518986466477238,2.79724167650004
"37",-13.7566459309351,0.325440418789677,0.158060430861485,-7.90069779134375,0.36,0.109795257629666,24.9564013151111,12.8972712818487,60.9980525600893,-8.79919516093847,0.519200804839061,2.77461715207218,-6.87004519612605,0.521129954803874,3.00571633357082,-9.0135335227626,0.518986466477238,2.79724167650004
"38",-11.7644647186165,0.139792410953049,0.0620426942473307,-8.42000013602357,0.37,0.109795257629666,24.9564013151111,12.8972712818487,60.9980525600893,-8.79919516093847,0.519200804839061,2.77461715207218,-6.87004519612605,0.521129954803874,3.00571633357082,-9.0135335227626,0.518986466477238,2.79724167650004
"39",-9.89947991708155,-0.0332493442434019,-0.0274550486442884,-8.9040397454338,0.38,0.109795257629666,24.9564013151111,12.8972712818487,60.9980525600893,-8.79919516093847,0.519200804839061,2.77461715207218,-6.87004519612605,0.521129954803874,3.00571633357082,-9.0135335227626,0.518986466477238,2.79724167650004
"40",-8.15087005141629,-0.194839772039382,-0.111030128798861,-9.35604722458818,0.39,0.109795257629666,24.9564013151111,12.8972712818487,60.9980525600893,-8.79919516093847,0.519200804839061,2.77461715207218,-6.87004519612605,0.521129954803874,3.00571633357082,-9.0135335227626,0.518986466477238,2.79724167650004
"41",-6.50894552548736,-0.346001964604017,-0.189211692720958,-9.7788844095411,0.4,0.109795257629666,24.9564013151111,12.8972712818487,60.9980525600893,-8.79919516093847,0.519200804839061,2.77461715207218,-6.87004519612605,0.521129954803874,3.00571633357082,-9.0135335227626,0.518986466477238,2.79724167650004
"42",-4.96501010712341,-0.487645056238184,-0.26246994754539,-10.1750943686485,0.41,0.109795257629666,24.9564013151111,12.8972712818487,60.9980525600893,-8.79919516093847,0.519200804839061,2.77461715207218,-6.87004519612605,0.521129954803874,3.00571633357082,-9.0135335227626,0.518986466477238,2.79724167650004
"43",-3.51124156868576,-0.620579309756958,-0.331223963761915,-10.5469436028256,0.42,0.109795257629666,24.9564013151111,12.8972712818487,60.9980525600893,-8.79919516093847,0.519200804839061,2.77461715207218,-6.87004519612605,0.521129954803874,3.00571633357082,-9.0135335227626,0.518986466477238,2.79724167650004
"44",-2.14058857140348,-0.745528903485546,-0.395848288689953,-10.896457813865,0.43,0.109795257629666,24.9564013151111,12.8972712818487,60.9980525600893,-8.79919516093847,0.519200804839061,2.77461715207218,-6.87004519612605,0.521129954803874,3.00571633357082,-9.0135335227626,0.518986466477238,2.79724167650004
"45",-0.84668135359639,-0.863142813302725,-0.456678574705867,-11.2254523441417,0.44,0.109795257629666,24.9564013151111,12.8972712818487,60.9980525600893,-8.79919516093847,0.519200804839061,2.77461715207218,-6.87004519612605,0.521129954803874,3.00571633357082,-9.0135335227626,0.518986466477238,2.79724167650004
"46",0.376245819270093,-0.974004109295257,-0.514016387502017,-11.5355581816028,0.45,0.109795257629666,24.9564013151111,12.8972712818487,60.9980525600893,-8.79919516093847,0.519200804839061,2.77461715207218,-6.87004519612605,0.521129954803874,3.00571633357082,-9.0135335227626,0.518986466477238,2.79724167650004
"47",1.53342215970176,-1.07863792723714,-0.568133328961028,-11.8282442579212,0.46,0.109795257629666,24.9564013151111,12.8972712818487,60.9980525600893,-8.79919516093847,0.519200804839061,2.77461715207218,-6.87004519612605,0.521129954803874,3.00571633357082,-9.0135335227626,0.518986466477238,2.79724167650004
"48",2.62959926250006,-1.17751832780179,-0.619274584762027,-12.1048366353697,0.47,0.109795257629666,24.9564013151111,12.8972712818487,60.9980525600893,-8.79919516093847,0.519200804839061,2.77461715207218,-6.87004519612605,0.521129954803874,3.00571633357082,-9.0135335227626,0.518986466477238,2.79724167650004
"49",3.66910262821518,-1.27107421851033,-0.667661987231006,-12.3665350719417,0.48,0.109795257629666,24.9564013151111,12.8972712818487,60.9980525600893,-8.79919516093847,0.519200804839061,2.77461715207218,-6.87004519612605,0.521129954803874,3.00571633357082,-9.0135335227626,0.518986466477238,2.79724167650004
"50",4.65587683306612,-1.35969448289421,-0.713496668159963,-12.6144273688587,0.49,0.109795257629666,24.9564013151111,12.8972712818487,60.9980525600893,-8.79919516093847,0.519200804839061,2.77461715207218,-6.87004519612605,0.521129954803874,3.00571633357082,-9.0135335227626,0.518986466477238,2.79724167650004
"51",5.59352522318035,-1.44373243665084,-0.75696136354467,-12.8495018355145,0.5,0.109795257629666,24.9564013151111,12.8972712818487,60.9980525600893,-8.79919516093847,0.519200804839061,2.77461715207218,-6.87004519612605,0.521129954803874,3.00571633357082,-9.0135335227626,0.518986466477238,2.79724167650004
"52",6.48534486997465,-1.52350971049247,-0.798222421806398,-13.0726581507419,0.51,0.109795257629666,24.9564013151111,12.8972712818487,60.9980525600893,-8.79919516093847,0.519200804839061,2.77461715207218,-6.87004519612605,0.521129954803874,3.00571633357082,-9.0135335227626,0.518986466477238,2.79724167650004
"53",7.33435742344657,-1.5993196429957,-0.837431558584408,-13.2847168534326,0.52,0.109795257629666,24.9564013151111,12.8972712818487,60.9980525600893,-8.79919516093847,0.519200804839061,2.77461715207218,-6.87004519612605,0.521129954803874,3.00571633357082,-9.0135335227626,0.518986466477238,2.79724167650004
"54",8.14333639858467,-1.67143025331803,-0.874727394234361,-13.4864276579441,0.53,0.109795257629666,24.9564013151111,12.8972712818487,60.9980525600893,-8.79919516093847,0.519200804839061,2.77461715207218,-6.87004519612605,0.521129954803874,3.00571633357082,-9.0135335227626,0.518986466477238,2.79724167650004
