MLA_horizon_id,host_d18Owater_vsmow,T47_C,d18Ocarb_vsmow
PK95-SC-4,-1.3950132783205618,47.46073801798836,22.673659250159517
PK95-SC-4,-1.3950132783205618,47.77143571551856,22.617981430639816
PK95-SC-4,-1.3950132783205618,48.08213341304875,22.56241433747914
PK95-SC-4,-1.3950132783205618,48.39283111057895,22.506957640785572
PK95-SC-4,-1.3950132783205618,48.70352880810915,22.451611011975956
PK95-SC-4,-1.3950132783205618,49.01422650563934,22.396374123769533
PK95-SC-4,-1.3950132783205618,49.32492420316954,22.341246650181574
PK95-SC-4,-1.3950132783205618,49.63562190069973,22.28622826651656
PK95-SC-4,-1.3950132783205618,49.94631959822993,22.23131864936272
PK95-SC-4,-1.3950132783205618,50.25701729576013,22.17651747658465
PK95-SC-4,-1.3950132783205618,50.56771499329032,22.12182442731728
PK95-SC-4,-1.3950132783205618,50.87841269082052,22.06723918196053
PK95-SC-4,-1.3950132783205618,51.18911038835071,22.012761422171934
PK95-SC-4,-1.3950132783205618,51.49980808588091,21.95839083086105
PK95-SC-4,-1.3950132783205618,51.8105057834111,21.904127092182875
PK95-SC-4,-1.3950132783205618,52.121203480941304,21.84996989153217
PK95-SC-4,-1.3950132783205618,52.4319011784715,21.795918915537754
PK95-SC-4,-1.3950132783205618,52.74259887600169,21.741973852055253
PK95-SC-4,-1.3950132783205618,53.05329657353189,21.688134390162077
PK95-SC-4,-1.3950132783205618,53.36399427106208,21.634400220151406
PK95-SC-4,-1.3950132783205618,53.674691968592285,21.580771033525366
PK95-SC-4,-1.3950132783205618,53.98538966612248,21.527246522990595
PK95-SC-4,-1.3950132783205618,54.296087363652674,21.47382638245108
PK95-SC-4,-1.3950132783205618,54.60678506118287,21.420510307003156
PK95-SC-4,-1.3950132783205618,54.917482758713064,21.36729799292891
PK95-SC-4,-1.3950132783205618,55.22818045624326,21.314189137691073
PK95-SC-4,-1.3950132783205618,55.53887815377345,21.26118343992755
PK95-SC-4,-1.3950132783205618,55.849575851303655,21.20828059944472
PK95-SC-4,-1.3950132783205618,56.16027354883385,21.155480317212437
PK95-SC-4,-1.3950132783205618,56.470971246364044,21.10278229535868
PK95-SC-4,-1.3950132783205618,56.78166894389424,21.05018623716296
PK95-SC-4,-1.3950132783205618,57.092366641424434,20.997691847051897
PK95-SC-4,-1.3950132783205618,57.403064338954636,20.945298830592833
PK95-SC-4,-1.3950132783205618,57.71376203648483,20.893006894489076
PK95-SC-4,-1.3950132783205618,58.024459734015025,20.84081574657364
PK95-SC-4,-1.3950132783205618,58.33515743154522,20.78872509580424
PK95-SC-4,-1.3950132783205618,58.645855129075414,20.736734652257724
PK95-SC-4,-1.3950132783205618,58.95655282660561,20.684844127125075
PK95-SC-4,-1.3950132783205618,59.267250524135804,20.633053232705947
PK95-SC-4,-1.3950132783205618,59.577948221666006,20.58136168240253
PK95-SC-4,-1.3950132783205618,59.8886459191962,20.529769190716024
PK95-SC-4,-1.3950132783205618,60.199343616726395,20.478275473239023
PK95-SC-4,-1.3950132783205618,60.51004131425659,20.426880246652445
PK95-SC-4,-1.3950132783205618,60.820739011786785,20.375583228719393
PK95-SC-4,-1.3950132783205618,61.131436709316986,20.324384138279697
PK95-SC-4,-1.3950132783205618,61.44213440684718,20.273282695245598
PK95-SC-4,-1.3950132783205618,61.752832104377376,20.222278620595944
PK95-SC-4,-1.3950132783205618,62.06352980190757,20.17137163637142
PK95-SC-4,-1.3950132783205618,62.374227499437765,20.120561465669425
PK95-SC-4,-1.3950132783205618,62.68492519696797,20.069847832639425
PK95-SC-4,-1.3950132783205618,62.995622894498155,20.01923046247714
PK95-SC-4,-1.3950132783205618,63.30632059202836,19.96870908142057
PK95-SC-4,-1.3950132783205618,63.61701828955855,19.91828341674409
PK95-SC-4,-1.3950132783205618,63.927715987088746,19.867953196754343
PK95-SC-4,-1.3950132783205618,64.23841368461895,19.8177181507848
PK95-SC-4,-1.3950132783205618,64.54911138214914,19.76757800919154
PK95-SC-4,-1.3950132783205618,64.85980907967934,19.71753250334791
PK95-SC-4,-1.3950132783205618,65.17050677720954,19.66758136563942
PK95-SC-4,-1.3950132783205618,65.48120447473973,19.617724329460202
PK95-SC-4,-1.3950132783205618,65.79190217226991,19.56796112920722
PK95-SC-4,-1.3950132783205618,66.10259986980012,19.518291500275495
PK95-SC-4,-1.3950132783205618,66.41329756733032,19.468715179054016
PK95-SC-4,-1.3950132783205618,66.7239952648605,19.419231902920956
PK95-SC-4,-1.3950132783205618,67.03469296239071,19.369841410238678
PK95-SC-4,-1.3950132783205618,67.3453906599209,19.320543440349525
PK95-SC-4,-1.3950132783205618,67.6560883574511,19.27133773357116
PK95-SC-4,-1.3950132783205618,67.9667860549813,19.222224031191445
PK95-SC-4,-1.3950132783205618,68.27748375251149,19.173202075465156
PK95-SC-4,-1.3950132783205618,68.58818145004169,19.124271609607945
PK95-SC-4,-1.3950132783205618,68.89887914757188,19.07543237779305
PK95-SC-4,-1.3950132783205618,69.20957684510208,19.026684125146403
PK95-SC-4,-1.3950132783205618,69.52027454263228,18.978026597742314
PK95-SC-4,-1.3950132783205618,69.83097224016247,18.929459542598465
PK95-SC-4,-1.3950132783205618,70.14166993769267,18.880982707672388
PK95-SC-4,-1.3950132783205618,70.45236763522286,18.832595841856914
PK95-SC-4,-1.3950132783205618,70.76306533275306,18.78429869497586
PK95-SC-4,-1.3950132783205618,71.07376303028326,18.73609101777845
PK95-SC-4,-1.3950132783205618,71.38446072781345,18.687972561937272
PK95-SC-4,-1.3950132783205618,71.69515842534365,18.639943080042258
PK95-SC-4,-1.3950132783205618,72.00585612287384,18.59200232559749
PK95-SC-4,-1.3950132783205618,72.31655382040404,18.544150053016097
PK95-SC-4,-1.3950132783205618,72.62725151793424,18.496386017616828
PK95-SC-4,-1.3950132783205618,72.93794921546443,18.44870997561941
PK95-SC-4,-1.3950132783205618,73.24864691299463,18.40112168414089
PK95-SC-4,-1.3950132783205618,73.55934461052482,18.35362090119054
PK95-SC-4,-1.3950132783205618,73.87004230805502,18.30620738566722
PK95-SC-4,-1.3950132783205618,74.18074000558522,18.258880897353833
PK95-SC-4,-1.3950132783205618,74.49143770311541,18.21164119691423
PK95-SC-4,-1.3950132783205618,74.8021354006456,18.16448804588913
PK95-SC-4,-1.3950132783205618,75.1128330981758,18.117421206691347
PK95-SC-4,-1.3950132783205618,75.423530795706,18.07044044260249
PK95-SC-4,-1.3950132783205618,75.73422849323619,18.02354551776898
PK95-SC-4,-1.3950132783205618,76.04492619076639,17.97673619719808
PK95-SC-4,-1.3950132783205618,76.35562388829658,17.930012246753563
PK95-SC-4,-1.3950132783205618,76.66632158582678,17.883373433151746
PK95-SC-4,-1.3950132783205618,76.97701928335698,17.836819523959093
PK95-SC-4,-1.3950132783205618,77.28771698088717,17.790350287586193
PK95-SC-4,-1.3950132783205618,77.59841467841737,17.743965493285145
PK95-SC-4,-1.3950132783205618,77.90911237594756,17.69766491114592
PK95-SC-4,-1.3950132783205618,78.21981007347776,17.651448312092043
PK95-SC-54,-6.438850151642555,26.8529819151523,21.446473159751235
PK95-SC-54,-6.438850151642555,27.271575246777886,21.360941131378013
PK95-SC-54,-6.438850151642555,27.69016857840347,21.275654256247776
PK95-SC-54,-6.438850151642555,28.108761910029056,21.190611482171903
