T47_C,d18Owater_vsmow,d18Ocarb_vsmow,contour_label
18,-10,19.647017349047132,starting d18Ow = -10 per mil
18,-5,24.796749759900877,starting d18Ow = -5 per mil
18,0,29.946482170754734,starting d18Ow = 0 per mil
18,5,35.096214581608365,starting d18Ow = 5 per mil
18,10,40.24594699246222,starting d18Ow = 10 per mil
18.5,-15,14.38958516433263,starting d18Ow = -15 per mil
18.5,-10,19.538770875826685,starting d18Ow = -10 per mil
18.5,-5,24.68795658732074,starting d18Ow = -5 per mil
18.5,0,29.837142298814797,starting d18Ow = 0 per mil
18.5,5,34.98632801030885,starting d18Ow = 5 per mil
18.5,10,40.13551372180291,starting d18Ow = 10 per mil
19,-15,14.282265410792661,starting d18Ow = -15 per mil
19,-10,19.430906351964154,starting d18Ow = -10 per mil
19,-5,24.579547293135647,starting d18Ow = -5 per mil
19,0,29.728188234307254,starting d18Ow = 0 per mil
19,5,34.87682917547886,starting d18Ow = 5 per mil
19,10,40.02547011665024,starting d18Ow = 10 per mil
19.5,-15,14.175323670351986,starting d18Ow = -15 per mil
19.5,-10,19.3234217600492,starting d18Ow = -10 per mil
19.5,-5,24.471519849746528,starting d18Ow = -5 per mil
19.5,0,29.619617939443742,starting d18Ow = 0 per mil
19.5,5,34.767716029140956,starting d18Ow = 5 per mil
19.5,10,39.91581411883817,starting d18Ow = 10 per mil
20,-15,14.068757949896053,starting d18Ow = -15 per mil
20,-10,19.21631509684994,starting d18Ow = -10 per mil
20,-5,24.3638722438036,starting d18Ow = -5 per mil
20,0,29.511429390757485,starting d18Ow = 0 per mil
20,5,34.658986537711144,starting d18Ow = 5 per mil
20,10,39.80654368466503,starting d18Ow = 10 per mil
20.5,-15,13.962566270293792,starting d18Ow = -15 per mil
20.5,-10,19.10958437318868,starting d18Ow = -10 per mil
20.5,-5,24.25660247608357,starting d18Ow = -5 per mil
20.5,0,29.40362057897846,starting d18Ow = 0 per mil
20.5,5,34.55063868187335,starting d18Ow = 5 per mil
20.5,10,39.69765678476824,starting d18Ow = 10 per mil
21,-15,13.85674666627449,starting d18Ow = -15 per mil
21,-10,19.003227613819035,starting d18Ow = -10 per mil
21,-5,24.149708561363468,starting d18Ow = -5 per mil
21,0,29.296189508908128,starting d18Ow = 0 per mil
21,5,34.44267045645256,starting d18Ow = 5 per mil
21,10,39.58915140399722,starting d18Ow = 10 per mil
21.5,-15,13.751297186307738,starting d18Ow = -15 per mil
21.5,-10,18.89724285730415,starting d18Ow = -10 per mil
21.5,-5,24.04318852830056,starting d18Ow = -5 per mil
21.5,0,29.189134199297087,starting d18Ow = 0 per mil
21.5,5,34.33507987029361,starting d18Ow = 5 per mil
21.5,10,39.48102554129014,starting d18Ow = 10 per mil
22,-15,13.6462158924827,starting d18Ow = -15 per mil
22,-10,18.79162815589632,starting d18Ow = -10 per mil
22,-5,23.937040419309938,starting d18Ow = -5 per mil
22,0,29.08245268272367,starting d18Ow = 0 per mil
22,5,34.22786494613729,starting d18Ow = 5 per mil
22,10,39.373277209550906,starting d18Ow = 10 per mil
