section_id,MLA_horizon_id,strat_height_m,alteration_likelihood,exclude_from_temp_model,scenario,n_trials,n_valid,fraction_valid,dp18Osoil_mean_permil,D17Osoil_mean_permeg,lambda_mean,d18Oinput_mean_vsmow,d18Oinput_median_vsmow,d18Oinput_sd_vsmow,d18Oinput_lower95_vsmow,d18Oinput_upper95_vsmow
CFB,PB-00-03-08,1494.4,no_indication,FALSE,ben_lake_adjusted,20000,19998,0.9999,-7.7171268362907215,-24.32311259127147,0.5232380800499657,-19.30826539925317,-19.29463037294593,2.8946954947548433,-25.06987179865569,-13.676930266355868
CFB,PB-00-03-08,1494.4,no_indication,FALSE,passey_ji_lake_published,20000,19998,0.9999,-7.7171268362907215,-24.32311259127147,0.5225380800499657,-17.802399795796305,-17.810112874120655,2.672832481997017,-23.09052819466676,-12.517843775310402
CFB,PB-00-03-08,1494.4,no_indication,FALSE,soil_slope_prior,20000,19998,0.9999,-7.7171268362907215,-24.32311259127147,0.5202469236630028,-15.0849965500536,-14.911892195136499,2.9129396051977037,-21.2750415634753,-9.752135342673013
CFB,PB-00-03-16,1507.4,no_indication,FALSE,ben_lake_adjusted,20000,19938,0.9969,-3.449978840203335,-8.619582898980436,0.523915623961112,-13.182305274655734,-13.202094137242659,2.6198888013695125,-18.32998790649903,-7.9077726967217625
CFB,PB-00-03-16,1507.4,no_indication,FALSE,passey_ji_lake_published,20000,19941,0.99705,-3.449978840203335,-8.619582898980436,0.5232162666262958,-11.727130757047883,-11.778376049751959,2.3102385649028316,-16.16110107722707,-6.990045819801615
CFB,PB-00-03-16,1507.4,no_indication,FALSE,soil_slope_prior,20000,19941,0.99705,-3.449978840203335,-8.619582898980436,0.520251639731432,-8.825472951960021,-8.664732740691793,2.2504444521308042,-13.731397192923934,-4.8392241380143535
CFB,PB-00-04-16,1594.2,no_indication,FALSE,ben_lake_adjusted,20000,19996,0.9998,-7.192915008874685,-24.90482563634682,0.5232223696669076,-18.860470949943245,-18.79869241707238,2.481587618655274,-23.954049705503245,-14.04788210717432
CFB,PB-00-04-16,1594.2,no_indication,FALSE,passey_ji_lake_published,20000,19996,0.9998,-7.192915008874685,-24.90482563634682,0.5225223696669076,-17.350789191585694,-17.317663041200415,2.2041454324379477,-21.81841343259458,-13.015748583694421
CFB,PB-00-04-16,1594.2,no_indication,FALSE,soil_slope_prior,20000,19996,0.9998,-7.192915008874685,-24.90482563634682,0.52025716068284,-14.65317902065152,-14.388785353679655,2.5080606004084602,-20.23357893364115,-10.43651661847024
CFB,PK95-SC-111,2005,no_indication,FALSE,ben_lake_adjusted,20000,18873,0.94365,-9.083163114929889,8.471532109018018,0.52484041883952115,-16.742095429259283,-16.71874239498883,4.390460036974723,-22.532788884064182,-10.602244531521142
CFB,PK95-SC-111,2005,no_indication,FALSE,passey_ji_lake_published,20000,18888,0.9444,-9.083163114929889,8.471532109018018,0.524143114788369,-15.24134304481831,-15.314669818217386,2.783262025870753,-19.92532918962508,-10.14852710756974
CFB,PK95-SC-111,2005,no_indication,FALSE,soil_slope_prior,20000,18888,0.9444,-9.083163114929889,8.471532109018018,0.5202663660334643,-12.367675681335177,-12.202711921169174,1.9091215328176598,-16.53775494095722,-9.181363095229411
CFB,PK95-SC-118up,1325,moderate,FALSE,ben_lake_adjusted,20000,19976,0.9988,-4.173135452662763,-11.96110139169955,0.5237524755351615,-14.315640865046362,-14.325876252205106,2.659986762949303,-19.498402744447876,-8.97169579266334
CFB,PK95-SC-118up,1325,moderate,FALSE,passey_ji_lake_published,20000,19976,0.9988,-4.173135452662763,-11.96110139169955,0.5230524755351614,-12.851677595150386,-12.883514561434273,2.3841556767590255,-17.456870155273485,-8.03047689811369
CFB,PK95-SC-118up,1325,moderate,FALSE,soil_slope_prior,20000,19976,0.9988,-4.173135452662763,-11.96110139169955,0.5202620285311841,-9.979360227694237,-9.823792105684014,2.420095449739019,-15.241714893541314,-5.608307742884469
CFB,PK95-SC-133,1750,no_indication,FALSE,ben_lake_adjusted,20000,19946,0.9973,-8.232670216962775,-9.869424837654305,0.5238602829841895,-18.057422813761164,-18.07820553585826,2.5994678178762034,-23.11836143500473,-12.748152585208686
CFB,PK95-SC-133,1750,no_indication,FALSE,passey_ji_lake_published,20000,19948,0.9974,-8.232670216962775,-9.869424837654305,0.5231607307606444,-16.597179595975977,-16.64501595155271,2.2889784500539676,-20.991931762363166,-11.840696294850533
