scenario,n_samples,d18Oinput_mean_vsmow,d18Oinput_median_vsmow,d18Oinput_sd_vsmow,d18Oinput_lower95_vsmow,d18Oinput_upper95_vsmow
ben_lake_adjusted,25,-16.99416025960096,-16.98239577952043,3.633982919313613,-24.06841850533474,-9.898479859265791
passey_ji_lake_published,25,-15.48275187309978,-15.526523138903347,3.318167342857829,-21.984447925729242,-8.711507034086369
soil_slope_prior,25,-12.737702284671299,-12.617344960073883,3.4816030920263903,-20.003287545335972,-5.88935825003872
