standard_key,n,mean_measured,accepted,offset,sd,reactor_id
IAEAC1,17,-122.85315999446249,-100,22.853159994462487,13.521544904495137,31
102GCAZ01,7,-109.6834112077196,-67,42.6834112077196,18.330862113583176,32
IAEAC1,9,-142.32525973396113,-100,42.32525973396113,12.546000184113861,32
102GCAZ01,6,-92.55024697213858,-67,25.55024697213858,16.95744861349586,33
IAEAC1,22,-132.74348213457785,-100,32.743482134577846,11.705753031439636,33
102GCAZ01,8,-75.57559051334218,-67,8.575590513342178,14.39709337236232,34
IAEAC1,17,-116.97462722472326,-100,16.974627224723264,11.292170109316679,34
102GCAZ01,7,-81.21769737679253,-67,14.217697376792529,7.87150289580243,35
IAEAC1,11,-114.8992686108558,-100,14.899268610855799,7.516349199747016,35
102GCAZ01,6,-67.22639367089774,-67,0.22639367089773543,10.968569039283853,36
IAEAC1,6,-109.11560604553146,-100,9.115606045531464,5.674194888540435,36
