co2_multiple,experiment_label,experiment,d18O_annual_precip_weighted,d18O_annual_unweighted,annual_precip_mm
3,3x PI CO2,3x_orbmaxn,-11.61781892986191,-13.056905103782546,757.7336569350371
3,3x PI CO2,3x_orbmaxs,-12.403165363832933,-13.264755720024446,996.0875985944716
3,3x PI CO2,3x_orbmin,-12.107568885850855,-13.301339152874617,1021.203211315928
3,3x PI CO2,3x_orbmod,-12.248681501595637,-13.228688169149533,986.6687473133352
6,6x PI CO2,6x_orbmaxn,-10.40573017743901,-11.830714592574047,739.079909960803
6,6x PI CO2,6x_orbmaxs,-11.02411695815494,-11.853320434581427,887.5866500826404
6,6x PI CO2,6x_orbmin,-10.81319087494368,-11.788726704086715,813.737386195909
6,6x PI CO2,6x_orbmod,-10.990332593594657,-11.94656351694992,789.5470431675627
