site,basin,sample_label,depth_mbsf,depth_composite_rmcd,Age_Ma,d13C_benthic_vpdb,d18O_benthic_vpdb,source_record,dataset_doi,article_doi
ODP Site 1209,Pacific,"198-1209B-22H-1,86-86",195.96,217.508,55.79011,0.66,-0.144,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-22H-1,88-88",195.98,217.53,55.794443,0.579,-0.114,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-21H-6,125-127",197.45,217.536,55.795625,0.402,-0.162,Westerhold et al. 2011_SantaCruz,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-22H-1,90-90",196,217.551,55.798579,0.688,-0.159,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-11H-3,85-87",196.85,217.56,55.800352,0.376,-0.209,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-22H-1,91-91",196.01,217.562,55.800746,0.499,-0.371,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-22H-1,92-92",196.02,217.573,55.802912,0.411,-0.166,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-22H-1,93-93",196.03,217.583,55.804881,0.525,0.064,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-22H-1,94-94",196.04,217.594,55.807048,0.568,-0.228,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-22H-1,96-96",196.06,217.615,55.811184000000004,0.44,-0.239,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-21H-6,135-137",197.55,217.623,55.812759,0.326,-0.241,Westerhold et al. 2011_SantaCruz,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-22H-1,98-98",196.08,217.637,55.815517,0.364,-0.361,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-22H-1,99-99",196.09,217.647,55.817485999999995,-0.253,-0.257,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-22H-1,100-100",196.1,217.658,55.820982,0.257,0.028,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-11H-3,95-97",196.95,217.66,55.821618,0.167,-0.27,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-22H-1,101-101",196.11,217.669,55.824478000000006,0.149,-0.177,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-22H-1,102-102",196.12,217.679,55.827656000000005,0.455,-0.186,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-22H-1,103-103",196.13,217.69,55.831153,0.055,-0.434,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-21H-6,145-147",197.65,217.71,55.837509,0.05,-0.349,Westerhold et al. 2011_SantaCruz,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-22H-1,109-109",196.19,217.754,55.851493999999995,0.04,-0.501,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-11H-3,105-107",197.05,217.76,55.8534,0.052,-0.431,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-22H-1,110-110",196.2,217.765,55.85499,-0.134,-0.391,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-22H-1,111-111",196.21,217.776,55.858486,0.07,-0.438,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-22H-1,112-112",196.22,217.786,55.861664,0.068,-0.43,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-22H-1,113-113",196.23,217.797,55.86516,0.165,-0.433,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-21H-7,5-7",197.75,217.797,55.86516,-0.004,-0.582,Westerhold et al. 2011_SantaCruz,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-22H-1,114-114",196.24,217.808,55.868656,0.179,-0.557,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-22H-1,115-115",196.25,217.818,55.871834,0.156,-0.354,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-22H-1,116-116",196.26,217.829,55.875330999999996,-0.12,-0.516,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-22H-1,117-117",196.27,217.84,55.878826999999994,-0.079,-0.61,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-22H-1,118-118",196.28,217.85,55.882005,-0.078,-0.624,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-11H-3,115-117",197.15,217.86,55.885183,0.15,-0.331,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-22H-1,119-119",196.29,217.861,55.885501,-0.118,-0.519,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-22H-1,120-120",196.3,217.872,55.888997,-0.261,-0.784,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-22H-1,121-121",196.31,217.882,55.892175,-0.381,-0.71,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-21H-7,15-17",197.85,217.885,55.893129,0.649,-0.024,Westerhold et al. 2011_SantaCruz,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-22H-1,122-122",196.32,217.893,55.895671,-0.595,-0.959,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-22H-1,123-123",196.33,217.904,55.899167999999996,-0.185,-0.649,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-22H-1,124-124",196.34,217.915,55.902663999999994,0.481,-0.39,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-22H-1,125-125",196.35,217.925,55.905842,-0.367,0.009,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-22H-1,126-126",196.36,217.936,55.909338000000005,-0.379,-0.835,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-22H-1,127-127",196.37,217.947,55.912834000000004,-0.464,-0.889,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-22H-1,128-128",196.38,217.957,55.916012,0.375,-0.263,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-11H-3,125-127",197.25,217.96,55.916966,0.588,-0.215,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-22H-1,129-129",196.39,217.968,55.919509,1.008,-0.13,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-22H-1,130-130",196.4,217.979,55.923004999999996,1.871,0.853,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-22H-1,131-131",196.41,217.989,55.926182999999995,1.253,-0.15,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-22H-1,132-132",196.42,218,55.92967899999999,1.205,-0.17,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-11H-3,131-133",197.32,218.03,55.935686000000004,0.5367,-0.3672,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-11H-3,135-137",197.35,218.06,55.94157,0.528,-0.165,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-21H-7,35-37",198.05,218.068,55.943139,1.325,0.056,Westerhold et al. 2011_SantaCruz,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-11H-3,145-147",197.45,218.16,55.961183,0.859,-0.163,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-11H-4,5-7",197.55,218.26,55.980796000000005,0.991,-0.26,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-11H-4,9-11",197.6,218.31,55.990601999999996,1.0901,-0.0106,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-11H-4,14-16",197.65,218.36,56.000409,0.7994,-0.1777,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-11H-4,19-21",197.7,218.41,56.010216,1.0479,-0.1098,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-11H-4,25-27",197.75,218.46,56.020022,1.337,-0.001,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-11H-4,44-46",197.95,218.66,56.059248,0.8369,-0.0913,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-11H-4,59-61",198.1,218.81,56.088668,0.5562,-0.2332,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-11H-4,69-71",198.2,218.91,56.108281000000005,0.8296,-0.1998,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-11H-4,79-81",198.3,219.01,56.127894,0.9219,-0.1121,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-11H-4,83-85",198.34,219.05,56.135739,0.7043,-0.2015,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-11H-4,89-91",198.4,219.11,56.147507,0.7176,-0.3653,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-11H-4,95-97",198.45,219.16,56.163818,1.532,-0.001,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-11H-4,99-101",198.5,219.21,56.180127999999996,1.4378,0.0287,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-11H-4,105-107",198.55,219.26,56.196439,1.366,-0.024,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-11H-4,109-111",198.6,219.31,56.212749,1.1228,-0.0823,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-11H-4,115-117",198.65,219.36,56.22906,0.675,-0.224,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-11H-4,119-121",198.7,219.41,56.24537,1.004,-0.1797,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-11H-4,125-127",198.75,219.46,56.261680999999996,1.49,0.115,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-11H-4,129-131",198.8,219.51,56.277991,1.2215,-0.1014,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-11H-4,135-137",198.85,219.56,56.294302,1.534,-0.013,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-11H-4,139-141",198.9,219.61,56.310612,1.4932,0.1096,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-11H-4,145-147",198.95,219.66,56.326923,1.585,-0.051,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-11H-4,148-149",198.99,219.695,56.339971,1.374,-0.0193,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-11H-5,5-7",199.05,219.76,56.359544,1.777,-0.001,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-11H-5,8-9",199.09,219.795,56.372592,1.0852,0.0203,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-11H-5,15-17",199.15,219.86,56.392165,1.623,-0.019,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-11H-5,19-21",199.2,219.91,56.408474999999996,1.188,-0.031,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-11H-5,25-27",199.25,219.96,56.424786,1.562,-0.09,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-11H-5,29-31",199.3,220.01,56.441095999999995,1.0619,-0.0313,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-11H-5,35-37",199.35,220.06,56.457406999999996,1.66,0.024,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-11H-5,38-40",199.39,220.1,56.470455,1.3135,-0.0446,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-11H-5,45-47",199.45,220.16,56.490027999999995,1.109,-0.071,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-11H-5,49-51",199.5,220.21,56.50633800000001,1.3607,-0.0593,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-11H-5,55-57",199.55,220.26,56.522648999999994,1.714,0.174,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-11H-5,61-62",199.62,220.325,56.545483,0.5919,-0.2252,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-11H-5,65-67",199.65,220.36,56.55527,0.869,-0.218,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-11H-5,75-77",199.75,220.46,56.587891000000006,1.455,0.135,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-11H-5,79-81",199.8,220.51,56.604201,1.3479,-0.1121,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-11H-5,85-87",199.85,220.56,56.620512000000005,1.676,0.1,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-11H-5,94-96",199.95,220.66,56.653133000000004,1.522,-0.0148,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-11H-5,105-107",200.05,220.76,56.685754,1.788,0.128,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-11H-5,108-109",200.09,220.795,56.698802,1.4686,-0.0744,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-11H-5,115-117",200.15,220.86,56.718375,1.147,-0.77,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-11H-5,125-127",200.25,220.96,56.750996,1.281,-0.129,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-11H-5,129-131",200.3,221.01,56.768497000000004,1.6223,-0.0287,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-11H-5,135-137",200.35,221.06,56.785998,1.471,-0.094,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-11H-5,145-147",200.45,221.16,56.821,1.451,-0.117,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-11H-6,5-7",200.55,221.26,56.856,1.104,-0.44,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-11H-6,11-13",200.62,221.33,56.864569,1.1967,-0.1745,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-11H-6,25-27",200.75,221.478,56.882684999999995,1.655,-0.101,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-22H-2,33-35",200.04,221.48,56.88293,1.5599,0.0286,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-22H-2,38-40",200.09,221.53,56.889050000000005,1.5638,0.1124,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-22H-2,43-45",200.14,221.58,56.89517,1.5071,0.0225,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-22H-2,68-70",200.39,221.83,56.925771999999995,NA,NA,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-22H-2,73-75",200.44,221.88,56.931892,1.5505,0.1577,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-22H-2,77-79",200.48,221.92,56.936789,1.5804,0.1265,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-22H-2,88-90",200.59,222.03,56.950253,1.4384,0.001,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-22H-2,93-95",200.64,222.08,56.956374000000004,1.4755,0.3288,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-22H-2,98-100",200.69,222.13,56.962494,1.4357,0.149,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-22H-2,103-105",200.74,222.18,56.97093,1.5435,0.3806,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-22H-2,108-110",200.79,222.23,56.979366999999996,1.6458,0.3502,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-22H-2,113-115",200.84,222.28,56.987803,1.6553,0.4089,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-22H-2,118-120",200.89,222.33,56.99624,1.8633,0.1322,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-22H-2,123-125",200.94,222.38,57.004675999999996,1.804,0.22,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-22H-2,128-130",200.99,222.43,57.013113,1.6174,0.1453,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-22H-2,133-135",201.04,222.48,57.021549,1.6916,0.2982,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-22H-2,138-140",201.09,222.53,57.029985999999994,1.7274,0.0985,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-22H-2,142-144",201.13,222.57,57.036735,1.7192,0.1194,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-22H-2,145-147",201.15,222.59,57.04011,1.74,0.058,Westerhold et al. 2011_SantaCruz,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-22H-2,148-150",201.19,222.63,57.046859,1.7796,0.2344,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-22H-3,5-7",201.25,222.69,57.056983,1.887,0.12,Westerhold et al. 2011_SantaCruz,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-22H-3,9-11",201.3,222.74,57.065419,1.5056,0.3238,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-22H-3,15-17",201.35,222.79,57.073856,NA,NA,Westerhold et al. 2011_SantaCruz,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-22H-3,19-21",201.4,222.84,57.082292,1.5084,0.296,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-22H-3,25-27",201.45,222.89,57.090728999999996,1.915,0.054,Westerhold et al. 2011_SantaCruz,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-22H-3,29-31",201.5,222.94,57.099165,1.5819,0.301,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-22H-3,35-37",201.55,222.99,57.107602,1.906,0.04,Westerhold et al. 2011_SantaCruz,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-22H-3,39-41",201.6,223.04,57.116038,1.7673,0.1145,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-22H-3,45-47",201.65,223.09,57.124475,1.747,0.089,Westerhold et al. 2011_SantaCruz,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-22H-3,47-49",201.68,223.12,57.129537,1.7047,0.1687,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-22H-3,52-54",201.73,223.17,57.137972999999995,1.644,0.2811,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-22H-3,55-57",201.75,223.19,57.141348,1.884,-0.006,Westerhold et al. 2011_SantaCruz,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-22H-3,59-61",201.8,223.24,57.149784,1.6916,0.1624,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-22H-3,65-67",201.85,223.29,57.158221,1.778,-0.067,Westerhold et al. 2011_SantaCruz,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-22H-3,69-71",201.9,223.34,57.166657,1.5904,0.5269,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-22H-3,75-77",201.95,223.39,57.175093999999994,1.819,0.184,Westerhold et al. 2011_SantaCruz,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-22H-3,76-78",201.97,223.41,57.178468,1.6046,0.4279,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-22H-3,81-83",202.02,223.46,57.186904999999996,1.6653,0.526,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-22H-3,86-88",202.07,223.51,57.195341,1.4408,0.1632,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-22H-3,91-93",202.12,223.56,57.203778,1.5652,0.3701,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-22H-3,96-98",202.17,223.61,57.212214,1.612,0.4736,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-22H-3,101-103",202.22,223.66,57.220651,1.535,0.0878,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-22H-3,111-113",202.32,223.76,57.237524,1.4566,0.411,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-22H-3,115-117",202.35,223.79,57.242307999999994,1.578,-0.03,Westerhold et al. 2011_SantaCruz,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-22H-3,141-143",202.62,224.06,57.285364,1.6661,0.0925,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-22H-3,145-147",202.65,224.09,57.290148,1.981,0.107,Westerhold et al. 2011_SantaCruz,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-22H-3,146-148",202.67,224.11,57.293338000000006,1.783,0.0633,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-22H-4,1-3",202.72,224.16,57.301311,1.7385,0.0599,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-22H-4,25-27",202.95,224.39,57.337989,1.699,0.027,Westerhold et al. 2011_SantaCruz,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-22H-4,35-37",203.05,224.49,57.353936000000004,1.539,-0.048,Westerhold et al. 2011_SantaCruz,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-22H-4,45-47",203.15,224.59,57.368504,1.667,0.131,Westerhold et al. 2011_SantaCruz,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-22H-4,49-51",203.2,224.64,57.375099,1.6781,0.058,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-22H-4,55-57",203.25,224.69,57.381694,2.063,0.231,Westerhold et al. 2011_SantaCruz,10.1594/PANGAEA.883334,10.1029/2017PA003306
