site,basin,sample_label,depth_mbsf,depth_composite_rmcd,Age_Ma,d13C_benthic_vpdb,d18O_benthic_vpdb,source_record,dataset_doi,article_doi
ODP Site 1209,Pacific,"198-1209A-20H-4,79-81",184.5,203.66,52.278942,-0.1779,-0.7889,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-10H-1,35-37",183.85,203.701,52.286103000000004,0.215,-0.283,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-20H-4,85-87",184.55,203.71,52.287675,0.083,-0.347,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-20H-4,86-88",184.57,203.73,52.291168,-0.105,-0.8058,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-20H-4,89-91",184.6,203.76,52.296407,-0.0797,-0.6807,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-10H-1,45-47",183.95,203.8,52.303393,-0.187,0.079,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-20H-4,95-97",184.65,203.81,52.30514,0.136,-0.291,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-20H-4,96-98",184.67,203.83,52.308631999999996,-0.0339,-0.7192,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-10H-1,55-57",184.05,203.9,52.320858,0.065,-0.633,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-20H-4,105-107",184.75,203.91,52.322604,0.03,-0.512,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-20H-4,107-109",184.78,203.94,52.327844,-0.247,-1.1753,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-10H-1,65-67",184.15,204.001,52.338497000000004,-0.582,-0.276,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-20H-4,115-117",184.85,204.01,52.340069,-0.466,-0.918,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-20H-4,125-127",184.95,204.11,52.357534,0.089,-0.611,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-10H-1,75-77",184.25,204.118,52.358931,-0.789,-0.467,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-20H-4,135-137",185.05,204.21,52.374998,-0.016,-0.545,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-10H-1,85-87",184.35,204.249,52.382382,-0.128,-0.671,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-20H-4,145-147",185.15,204.31,52.393930999999995,-0.075,-0.481,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-10H-1,95-97",184.45,204.388,52.408699,-0.229,-0.785,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-20H-5,2-4",185.23,204.39,52.409078,-0.166,-0.6318,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-20H-5,5-7",185.25,204.41,52.412865,-0.087,-0.513,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-20H-5,8-10",185.29,204.45,52.420438000000004,-0.1774,-0.6971,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-20H-5,15-17",185.35,204.51,52.431798,0.011,-0.578,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-10H-1,105-107",184.55,204.527,52.435016000000005,-0.297,-0.704,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-20H-5,19-21",185.4,204.56,52.441264000000004,-0.3059,-0.8038,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-20H-5,25-27",185.45,204.61,52.450731,0.034,-0.442,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-10H-1,115-117",184.65,204.647,52.457736,-0.097,-0.76,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-20H-5,30-32",185.51,204.67,52.462091,-0.1812,-0.8652,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-20H-5,35-37",185.55,204.71,52.469663999999995,-0.315,-0.704,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
