temperature_model,locality_id,n_measurements,mean_temp_c,sd_temp_c,min_temp_c,max_temp_c,depth_locality_m,depth_source,se_temp_c,two_se_temp_c,ci95_half_width_c
Anderson,SC-246-PK95,5,45.276,3.70771223263079,39.74,48.95,520,SandCoulee_Polecat_nodules.csv,1.658139318633992,3.316278637267984,4.603732794957351
Anderson,SC-242-PK95,2,33.855000000000004,5.296229791087242,30.11,37.6,590,SandCoulee_Polecat_nodules.csv,3.7450000000000006,7.490000000000001,47.58473673697423
Anderson,SC-279-PK95,2,32.105000000000004,1.407142494561231,31.11,33.1,680,SandCoulee_Polecat_nodules.csv,0.9950000000000009,1.9900000000000018,12.64267371249383
Anderson,SC-187-PK95,2,35.52,5.614427842621188,31.55,39.49,700,SandCoulee_Polecat_nodules.csv,3.97,7.94,50.44363280261353
Anderson,SC-165-PK95,4,36.5325,8.623797983873848,26.62,45.87,820,SandCoulee_Polecat_nodules.csv,4.311898991936924,8.623797983873848,13.722387015646207
Anderson,SC-185-PK95,3,34.04333333333333,3.8660876003180946,30.75,38.3,940,SandCoulee_Polecat_nodules.csv,2.2320867167543263,4.464173433508653,9.603894004880516
Anderson,SC-179-PK95,6,24.735,16.437880337805115,-6.75,41.84,1080,SandCoulee_Polecat_nodules.csv,6.710736546758486,13.421473093516973,17.25049747083813
Anderson,SC-92-PK95,3,30.573333333333334,4.147485181809975,25.85,33.62,1210,SandCoulee_Polecat_nodules.csv,2.394551686177973,4.789103372355946,10.302924349059833
Anderson,SC-118 upper-PK95,4,32.0525,7.250895921654556,23.14,38.15,1325,SandCoulee_Polecat_nodules.csv,3.625447960827278,7.250895921654556,11.537793467933124
Anderson,SC-176-PK95,2,25.95,2.4748737341529163,24.2,27.7,1355,SandCoulee_Polecat_nodules.csv,1.7499999999999998,3.4999999999999996,22.23585828830571
Anderson,SC-50-PK95,3,27.65,10.561420359023685,16.99,38.11,1425,SandCoulee_Polecat_nodules.csv,6.097638887307119,12.195277774614238,26.236022603498448
Anderson,SC-23-PK95,3,23.14,13.830271147016603,7.64,34.22,1495,SandCoulee_Polecat_nodules.csv,7.98491076969555,15.9698215393911,34.356298120036435
Anderson,SC-80-PK95,4,25.392500000000002,3.502450332743254,22.26,29.26,1495,Koch_SC_nodules_isotopes.csv (SC-80 override),1.751225166371627,3.502450332743254,5.57318006043923
Anderson,SC-27-PK95,3,54.916666666666664,4.763132722624189,50.64,60.05,1525,SandCoulee_Polecat_nodules.csv,2.7499959595929906,5.499991919185981,11.832277622342772
Anderson,SC-4-PK95,2,76.75999999999999,2.2910259710444105,75.14,78.38,1570,SandCoulee_Polecat_nodules.csv,1.6199999999999974,3.239999999999995,20.584051672602968
Anderson,SC-43-PK95,3,31.806666666666665,7.2455526589303965,25.56,39.75,1600,SandCoulee_Polecat_nodules.csv,4.183221778061073,8.366443556122146,17.998950602521873
Peterson,SC-246-PK95,5,43.946,8.847882797596268,30.14,52.62,520,SandCoulee_Polecat_nodules.csv,3.9568934784752536,7.913786956950507,10.986097530101688
Peterson,SC-242-PK95,2,34.24,35.19977556746634,9.35,59.13,590,SandCoulee_Polecat_nodules.csv,24.89,49.78,316.2574358833881
Peterson,SC-279-PK95,2,56.22,2.5597265478953055,54.41,58.03,680,SandCoulee_Polecat_nodules.csv,1.8100000000000023,3.6200000000000045,22.99823057247622
Peterson,SC-187-PK95,2,37.44,5.600285706997457,33.48,41.4,700,SandCoulee_Polecat_nodules.csv,3.9600000000000004,7.920000000000001,50.31657075525179
Peterson,SC-165-PK95,4,30.439999999999998,4.140780924737102,25.51,35.3,820,SandCoulee_Polecat_nodules.csv,2.070390462368551,4.140780924737102,6.588906477459423
Peterson,SC-185-PK95,3,33.346666666666664,2.621246522808059,30.68,35.92,940,SandCoulee_Polecat_nodules.csv,1.5133773855556034,3.026754771111207,6.5115373391019205
Peterson,SC-179-PK95,6,26.013333333333332,16.841436597471922,-5.57,45.12,1080,SandCoulee_Polecat_nodules.csv,6.87548769987345,13.7509753997469,17.674003792435595
Peterson,SC-92-PK95,3,30.996666666666666,6.008446832030168,24.58,36.49,1210,SandCoulee_Polecat_nodules.csv,3.4689783958841716,6.937956791768343,14.92580936449294
Peterson,SC-118 upper-PK95,4,38.8725,4.050484538916301,32.81,41.24,1325,SandCoulee_Polecat_nodules.csv,2.0252422694581504,4.050484538916301,6.445224777741482
Peterson,SC-176-PK95,2,46.89,3.5213917703090094,44.4,49.38,1355,SandCoulee_Polecat_nodules.csv,2.4900000000000015,4.980000000000003,31.638449793075004
Peterson,SC-50-PK95,3,38.98,5.420691837763886,32.8,42.93,1425,SandCoulee_Polecat_nodules.csv,3.129637891726987,6.259275783453974,13.465745017966473
Peterson,SC-23-PK95,3,38.026666666666664,4.249803917045269,34.31,42.66,1495,SandCoulee_Polecat_nodules.csv,2.4536254355092124,4.907250871018425,10.557098177876425
Peterson,SC-80-PK95,4,26.122500000000002,5.313055461157293,19.09,30.44,1495,Koch_SC_nodules_isotopes.csv (SC-80 override),2.6565277305786466,5.313055461157293,8.454256861063726
Peterson,SC-27-PK95,3,53.08,10.77532366103218,42.92,64.38,1525,SandCoulee_Polecat_nodules.csv,6.221136016302274,12.442272032604548,26.76738786268567
Peterson,SC-4-PK95,2,34.894999999999996,1.4778531726798818,33.85,35.94,1570,SandCoulee_Polecat_nodules.csv,1.0449999999999982,2.0899999999999963,13.27798394930253
Peterson,SC-43-PK95,3,25.413333333333334,3.249143476877149,21.78,28.04,1600,SandCoulee_Polecat_nodules.csv,1.8758938610107387,3.7517877220214775,8.071319841798113
