co2_multiple,experiment_label,d18O_mean,d18O_min,d18O_max,d18O_range
3,3x PI CO2,-11.148181160291037,-11.346733808517456,-10.982129732767742,0.364604075749714
6,6x PI CO2,-10.399089634418488,-10.551232894261679,-10.237109184265137,0.31412370999654193
