co2_multiple,experiment_label,experiment,d18O_annual_mean,d18O_min,d18O_max,d18O_range
3,3x PI CO2,3x_orbmaxn,-10.982129732767742,-11.824533462524414,-10.163679122924805,1.6608543395996094
3,3x PI CO2,3x_orbmaxs,-11.346733808517456,-12.2300386428833,-10.40947437286377,1.8205642700195312
3,3x PI CO2,3x_orbmin,-10.98919908205668,-12.0106782913208,-9.973272323608398,2.0374059677124023
3,3x PI CO2,3x_orbmod,-11.274662017822266,-12.302056312561035,-10.257184982299805,2.0448713302612305
6,6x PI CO2,6x_orbmaxn,-10.237109184265137,-10.805010795593262,-9.657487869262695,1.1475229263305664
6,6x PI CO2,6x_orbmaxs,-10.48349110285441,-11.187255859375,-9.888261795043944,1.2989940643310565
6,6x PI CO2,6x_orbmin,-10.324525356292725,-10.823637962341309,-9.691744804382324,1.1318931579589844
6,6x PI CO2,6x_orbmod,-10.551232894261679,-11.111125946044922,-9.98060417175293,1.1305217742919922
