section_id,dataset,study_status,MLA_horizon_id,Age_Ma,temperature_C,temperature_se_C,d18Ocarb_vsmow,p_altered_preservation,age_uncertainty_status,probability_model_version,temperature_se_imputed,passes_d18Ocarb_screen,passes_temperature_screen,used_in_temperature_model,temperature_model_exclusion_reason,inverse_variance_weight,age_bin_ma
CFB,U-M CFB Delta47,This study,PB-00-03-16,55.88920893854748,32.3,1.4364307617610157,22.965054073333334,0.05,not propagated,BHB_d18O_trajectory_index_v2,FALSE,TRUE,TRUE,TRUE,NA,0.48465266558966114,55.900000000000006
CFB,CU CFB Delta47,Published data,PB-00-03-16,55.88920893854748,34.4,1.8,22.84709299992032,0.05,not propagated,BHB_d18O_trajectory_index_v2,FALSE,TRUE,TRUE,TRUE,NA,0.30864197530864196,55.900000000000006
CFB,CU CFB Delta47,Published data,PB-00-03-17,55.888227932960895,36.6,2.4,22.977075465654323,0.05,not propagated,BHB_d18O_trajectory_index_v2,FALSE,TRUE,TRUE,TRUE,NA,0.1736111111111111,55.900000000000006
CFB,CU CFB Delta47,Published data,PB-00-01-07,55.88602067039106,33.4,1.9,22.894971528824243,0.05,not propagated,BHB_d18O_trajectory_index_v2,FALSE,TRUE,TRUE,TRUE,NA,0.2770083102493075,55.900000000000006
CFB,CU CFB Delta47,Published data,PB-00-03-20,55.87719162011173,35.3,1.9,22.6599222925316,0.05,not propagated,BHB_d18O_trajectory_index_v2,FALSE,TRUE,TRUE,TRUE,NA,0.2770083102493075,55.900000000000006
CFB,Caltech CFB Delta47,Published data,PB-00-02-02,55.85708100558659,36.8,2.5,22.4,0.05,not propagated,BHB_d18O_trajectory_index_v2,FALSE,TRUE,TRUE,TRUE,NA,0.16,55.85
CFB,Caltech CFB Delta47,Published data,SNELL-SC-351-n1,55.84849720670391,40.4,6.4,23,0.05,not propagated,BHB_d18O_trajectory_index_v2,FALSE,TRUE,TRUE,TRUE,NA,0.024414062499999997,55.85
CFB,U-M CFB Delta47,This study,PK95-SC-27,55.84604469273743,42.51428571428571,2.9178782711830484,20.66934256857143,0.6827964583232249,not propagated,BHB_d18O_trajectory_index_v2,FALSE,TRUE,TRUE,TRUE,NA,0.11745341813416858,55.85
CFB,CU CFB Delta47,Published data,PB-00-02-07D,55.842856424581,32.4,2.2,23.15594138770628,0.05,not propagated,BHB_d18O_trajectory_index_v2,FALSE,TRUE,TRUE,TRUE,NA,0.20661157024793386,55.85
CFB,U-M CFB Delta47,This study,PK95-SC-6,55.83378212290503,42.4,2.1444346574330497,22.77350649,0.05,not propagated,BHB_d18O_trajectory_index_v2,FALSE,TRUE,TRUE,TRUE,NA,0.21745748706127946,55.85
CFB,CU CFB Delta47,Published data,PB-00-02-09L,55.83255586592178,27.2,1.8,22.808913397304003,0.05,not propagated,BHB_d18O_trajectory_index_v2,FALSE,TRUE,TRUE,TRUE,NA,0.30864197530864196,55.85
CFB,CU CFB Delta47,Published data,PB-00-02-19,55.796749162011174,25.1,2.5,22.2702923052884,0.05,not propagated,BHB_d18O_trajectory_index_v2,FALSE,TRUE,TRUE,TRUE,NA,0.16,55.800000000000004
CFB,CU CFB Delta47,Published data,PB-00-02-21,55.787184357541896,31.7,2.1444346574330497,22.14389544941696,0.09415056808418215,not propagated,BHB_d18O_trajectory_index_v2,FALSE,TRUE,TRUE,TRUE,NA,0.21745748706127946,55.800000000000004
CFB,U-M CFB Delta47,This study,PK95-SC-4,55.73568156424581,54.35,11.1091928899748,22.660551765,0.05,not propagated,BHB_d18O_trajectory_index_v2,FALSE,TRUE,FALSE,FALSE,T > 50 C,0.008102797490833712,55.75
CFB,U-M CFB Delta47,This study,PB-00-04-14,55.724154748603354,24.6,0.9000000000000002,22.5044691,0.05,not propagated,BHB_d18O_trajectory_index_v2,FALSE,TRUE,TRUE,TRUE,NA,1.2345679012345674,55.7
CFB,CU CFB Delta47,Published data,PB-00-04-14,55.724154748603354,22.4,1.6,22.45990935697136,0.05,not propagated,BHB_d18O_trajectory_index_v2,FALSE,TRUE,TRUE,TRUE,NA,0.39062499999999994,55.7
CFB,U-M CFB Delta47,This study,PB-00-04-16,55.67633072625698,20.166666666666668,2.0739120307069703,22.33753012,0.05,not propagated,BHB_d18O_trajectory_index_v2,FALSE,TRUE,TRUE,TRUE,NA,0.2324980625161458,55.7
CFB,CU CFB Delta47,Published data,PB-00-04-16,55.67633072625698,17.5,1.7,21.95890589658536,0.167998947091816,not propagated,BHB_d18O_trajectory_index_v2,FALSE,TRUE,TRUE,TRUE,NA,0.34602076124567477,55.7
CFB,U-M CFB Delta47,This study,PK95-SC-43,55.66210614525139,25.7,1.8583146486355135,22.138661776666662,0.09623986579288946,not propagated,BHB_d18O_trajectory_index_v2,FALSE,TRUE,TRUE,TRUE,NA,0.28957528957528966,55.650000000000006
CFB,Caltech CFB Delta47,Published data,SNELL-SC-15,55.588530726256984,36.9,3.2,21.8,0.23143465304363348,not propagated,BHB_d18O_trajectory_index_v2,FALSE,TRUE,TRUE,TRUE,NA,0.09765624999999999,55.6
CFB,U-M CFB Delta47,This study,PK95-SC-160,55.36780446927374,41.7,1.873499399519519,21.928358916666667,0.1801933922161187,not propagated,BHB_d18O_trajectory_index_v2,FALSE,TRUE,TRUE,TRUE,NA,0.284900284900285,55.35
CFB,U-M CFB Delta47,This study,PK95-SC-133,55.29422905027933,21.425,1.2058019461475975,22.31118248,0.05,not propagated,BHB_d18O_trajectory_index_v2,FALSE,TRUE,TRUE,TRUE,NA,0.6877776185699955,55.300000000000004
CFB,U-M CFB Delta47,This study,PK95-SC-31,55.26970391061453,30.74,2.1444346574330497,22.240902542,0.05542504856242582,not propagated,BHB_d18O_trajectory_index_v2,FALSE,TRUE,TRUE,TRUE,NA,0.21745748706127946,55.25
CFB,Caltech CFB Delta47,Published data,SNELL-SC-33,55.073502793296086,26.8,5.2,21.8,0.23143465304363348,not propagated,BHB_d18O_trajectory_index_v2,FALSE,TRUE,TRUE,TRUE,NA,0.036982248520710054,55.050000000000004
CFB,U-M CFB Delta47,This study,PK95-SC-63,54.90182681564246,31.85,1.7731798179165768,21.5352032,0.33714232219081947,not propagated,BHB_d18O_trajectory_index_v2,FALSE,TRUE,TRUE,TRUE,NA,0.3180492976411346,54.900000000000006
