taxon,specimen_id,analysis_id,lmz,published_age_Ma,within_specimen_height_mm,d13Ccarb_VPDB,d18Ocarb_VSMOW,d18Ophosphate_VSMOW,regional_setting,possible_section,source,dataset,proxy_type,geographic_scope,stratigraphic_section,section_note
Coryphodon,88232,88232-4,Wa-6,53.01,61,13,22,16.6,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Coryphodon,88232,88232-5,Wa-6,53.01,52,13.3,21,15.2,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Coryphodon,88232,88232-6,Wa-6,53.01,43,13.2,19.4,13.9,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Coryphodon,88232,88232-7,Wa-6,53.01,34,12.2,20.3,14.8,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Coryphodon,88232,88232-7.5,Wa-6,53.01,29,NA,NA,15.3,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Coryphodon,88232,88232-8,Wa-6,53.01,24,11.8,22.2,16.1,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Coryphodon,88232,88232-8.5,Wa-6,53.01,20.5,NA,NA,15.5,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Coryphodon,88232,88232-9,Wa-6,53.01,17,12.6,20.7,15.2,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Coryphodon,88232,88232-9.5,Wa-6,53.01,12.5,NA,NA,14.2,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Coryphodon,88232,88232-10,Wa-6,53.01,8,12.8,18.9,13.5,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Gar,60816,60816,Tiffanian,56.83,7,NA,19.5,13.7,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Gar,87213-1,87213-1,CF-3,55.57,3.3,NA,19.8,14,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Gar,68043-1,68043-1,CF-3,55.56,5,NA,19.3,13,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Gar,65078-1,65078-1,CF-3,55.55,7,NA,18.3,12.2,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Gar,67243-1,67243-1,CF-3,55.52,8.8,NA,18.7,13.9,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Gar,68786-1,68786-1,CF-3,55.52,9.1,NA,18.1,13,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Gar,98427-1,98427-1,Wa-0,55.5,15.5,NA,NA,NA,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),NA,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Gar,98427-2,98427-2,Wa-0,55.5,9.9,NA,20.9,16.6,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Gar,98427-3,98427-3,Wa-0,55.5,9,NA,21.5,15.8,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Gar,86137-1,86137-1,Wa-0,55.5,14,NA,NA,NA,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),NA,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Gar,86137-2,86137-2,Wa-0,55.5,7.6,NA,20.9,14.5,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Gar,79893-1,79893-1,Wa-0,55.5,8.7,NA,20.8,15.3,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Gar,83478-1,83478-1,Wa-0,55.5,9.7,NA,20.9,15,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Gar,83478-2,83478-2,Wa-0,55.5,8.4,NA,21.6,15.4,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Gar,83569-1,83569-1,Wa-0,55.5,9.1,NA,21.1,15.6,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Gar,76454-1,76454-1,Wa-1,55.45,9.1,NA,19.4,14.1,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Gar,68779-1,68779-1,Wa-1,55.42,9.2,NA,20.8,14.1,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Gar,85435-1,85435-1,Wa-1,55.36,12.6,NA,19.8,14.3,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Gar,85435-2,85435-2,Wa-1,55.36,12.9,NA,21.3,14.4,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Gar,85218-1,85218-1,Wa-1,55.31,11.8,NA,19.6,13.8,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Gar,85988-1,85988-1,Wa-3,54.85,11,NA,19.1,NA,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),NA,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Gar,93427-1,93427-1,Wa-4,53.68,10.4,NA,17.6,13.4,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Gar,93386-1,93386-1,Wa-4,53.68,10.2,NA,18,11.9,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Gar,94647-1,94647-1,Wa-4,53.68,12.9,NA,NA,NA,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),NA,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Gar,83371-1,83371-1,Wa-4,53.68,NA,NA,NA,NA,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),NA,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Gar,91995-1,91995-1,Wa-5,53.24,9.6,NA,18.3,13.6,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Gar,91513-1,91513-1,Wa-6,52.83,8.9,NA,19.3,13.6,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Gar,92116,92116,Wa-6,52.83,12.8,NA,NA,NA,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),NA,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Gar,96510,96510,Wa-6,52.83,13.4,NA,NA,NA,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),NA,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
