locality_id,n_measurements,mean_temp_c,sd_temp_c,min_temp_c,max_temp_c,depth_locality_m,depth_source,se_temp_c,two_se_temp_c,ci95_half_width_c
SC-246-PK95,3,47.330142003333336,2.637359670334315,45.08416097,50.23423974,520,SandCoulee_Polecat_nodules.csv,1.5226803156173796,3.045360631234759,6.551564616526891
SC-242-PK95,1,56.32744164,NA,56.32744164,56.32744164,590,SandCoulee_Polecat_nodules.csv,NA,NA,NA
SC-279-PK95,2,53.19685727,2.8929439010150397,51.15123702,55.24247752,680,SandCoulee_Polecat_nodules.csv,2.045620249999999,4.091240499999998,25.992069708964845
SC-187-PK95,2,35.36688794,5.050722245948591,31.79548799,38.93828789,700,SandCoulee_Polecat_nodules.csv,3.5713999499999978,7.1427998999999955,45.37893895946403
SC-165-PK95,3,30.411610106666664,2.5987647971988364,27.79522955,32.99239343,820,SandCoulee_Polecat_nodules.csv,1.5003975552232716,3.000795110446543,6.4556896366908285
SC-185-PK95,3,31.39649251333333,2.6843058940967546,28.88200159,34.22329195,940,SandCoulee_Polecat_nodules.csv,1.5497847305440604,3.099569461088121,6.668185501399436
SC-179-PK95,2,36.594565185,9.045004043473707,30.19878149,42.99034888,1080,SandCoulee_Polecat_nodules.csv,6.3957836949999995,12.791567389999999,81.26613707695788
SC-92-PK95,2,32.40734323,3.1419222090784658,30.18566873,34.62901773,1210,SandCoulee_Polecat_nodules.csv,2.2216745000000007,4.443349000000001,28.22905105413855
SC-118 upper-PK95,2,39.020246725,8.576498148701268e-5,39.02018608,39.02030737,1325,SandCoulee_Polecat_nodules.csv,6.064499999780537e-5,1.2128999999561074e-4,7.705677861974288e-4
SC-176-PK95,2,44.285717025,2.9442181724046574,42.20384039,46.36759366,1355,SandCoulee_Polecat_nodules.csv,2.081876634999997,4.163753269999994,26.452750759768392
SC-50-PK95,2,39.972480239999996,0.952713505122322,39.29881006,40.64615042,1425,SandCoulee_Polecat_nodules.csv,0.6736701799999985,1.347340359999997,8.559791231735637
SC-23-PK95,3,36.20545805333333,3.9733825431252825,32.67521513,40.50845412,1495,SandCoulee_Polecat_nodules.csv,2.2940334808667417,4.5880669617334835,9.870429418587946
SC-80-PK95,3,23.016995696666665,4.978137941399332,17.93798654,27.8877246,1495,Koch_SC_nodules_isotopes.csv (SC-80 override),2.874129280529994,5.748258561059988,12.366380194525235
SC-27-PK95,3,50.378063493333336,10.247734466056633,40.80721614,61.18969845,1525,SandCoulee_Polecat_nodules.csv,5.916532252561603,11.833064505123206,25.456783647134912
