section_id,MLA_horizon_id,strat_height_m,source,carbonate_type,T47_C,T47_se_C,d18Ocarb_vsmow,d18Ocarb_se_vsmow,alteration_likelihood,temperature_plausibility,passes_primary_temperature_screen,passes_caution_inclusive_screen,temperature_screen_reason
CFB,PK95-SC-63,1910,U-M micrite,Pedogenic micrite,23.206434789487417,1.642494047805838,21.54072328660748,NA,no_horizon_exclusion,pass,TRUE,TRUE,At or below 40 C; physically plausible soil temperature
CFB,PK95-SC-3,1935,U-M micrite,Pedogenic micrite,29.577472024110364,NA,22.206054942492297,NA,no_horizon_exclusion,pass,TRUE,TRUE,At or below 40 C; physically plausible soil temperature
CFB,PK95-SC-111,2005,U-M micrite,Pedogenic micrite,29.790504319200178,2.0765877511284287,22.780253665861117,NA,no_horizon_exclusion,pass,TRUE,TRUE,At or below 40 C; physically plausible soil temperature
CFB,PK95-SC-148lwr,2047,U-M micrite,Pedogenic micrite,10.186228379790862,6.012394033831299,22.91624306845599,NA,no_horizon_exclusion,pass,TRUE,TRUE,At or below 40 C; physically plausible soil temperature
CFB,PK95-SC-303,2110,U-M micrite,Pedogenic micrite,19.404670367922108,NA,22.38518288716712,NA,no_horizon_exclusion,pass,TRUE,TRUE,At or below 40 C; physically plausible soil temperature
CFB,PB-00-03-08,1494.4,CU micrite,Pedogenic micrite,16.8,2.3,22.99827102209264,0.07240898750903,no_horizon_exclusion,pass,TRUE,TRUE,At or below 40 C; physically plausible soil temperature
CFB,PB-00-03-10,1495.4,CU micrite,Pedogenic micrite,29.6,1.7,22.31819670822248,0.0443068520349,no_horizon_exclusion,pass,TRUE,TRUE,At or below 40 C; physically plausible soil temperature
CFB,PB-00-03-11,1498.5,CU micrite,Pedogenic micrite,27.7,2.1,22.48393763208704,0.034093474090220004,no_horizon_exclusion,pass,TRUE,TRUE,At or below 40 C; physically plausible soil temperature
CFB,PB-00-03-13,1500.3,CU micrite,Pedogenic micrite,28.2,1.8,22.886886569651843,0.07774046743778,no_horizon_exclusion,pass,TRUE,TRUE,At or below 40 C; physically plausible soil temperature
CFB,PB-00-03-14,1504.9,CU micrite,Pedogenic micrite,31.8,1.9,22.29263648289404,0.10808950424602999,no_horizon_exclusion,pass,TRUE,TRUE,At or below 40 C; physically plausible soil temperature
CFB,PB-00-03-16,1507.4,CU micrite,Pedogenic micrite,34.4,1.8,22.84709299992032,0.12185413003141,no_horizon_exclusion,pass,TRUE,TRUE,At or below 40 C; physically plausible soil temperature
CFB,PB-00-03-17,1507.8,CU micrite,Pedogenic micrite,36.6,2.4,22.977075465654323,0.10005525561206999,no_horizon_exclusion,pass,TRUE,TRUE,At or below 40 C; physically plausible soil temperature
CFB,PB-00-01-07,1508.7,CU micrite,Pedogenic micrite,33.4,1.9,22.894971528824243,0.06909933136501,no_horizon_exclusion,pass,TRUE,TRUE,At or below 40 C; physically plausible soil temperature
CFB,PB-00-03-20,1512.3,CU micrite,Pedogenic micrite,35.3,1.9,22.6599222925316,0.01075303768057,no_horizon_exclusion,pass,TRUE,TRUE,At or below 40 C; physically plausible soil temperature
CFB,PB-00-02-07D,1526.3,CU micrite,Pedogenic micrite,32.4,2.2,23.15594138770628,0.03401245074968,no_horizon_exclusion,pass,TRUE,TRUE,At or below 40 C; physically plausible soil temperature
CFB,PB-00-02-09L,1530.5,CU micrite,Pedogenic micrite,27.2,1.8,22.808913397304003,0.07475785615125,no_horizon_exclusion,pass,TRUE,TRUE,At or below 40 C; physically plausible soil temperature
CFB,PB-00-02-19,1545.1,CU micrite,Pedogenic micrite,25.1,2.5,22.2702923052884,0.0307459938583,no_horizon_exclusion,pass,TRUE,TRUE,At or below 40 C; physically plausible soil temperature
CFB,PB-00-02-21,1549,CU micrite,Pedogenic micrite,31.7,NA,22.14389544941696,NA,no_horizon_exclusion,pass,TRUE,TRUE,At or below 40 C; physically plausible soil temperature
CFB,PB-00-04-14,1574.7,CU micrite,Pedogenic micrite,22.4,1.6,22.45990935697136,0.05567427805544,no_horizon_exclusion,pass,TRUE,TRUE,At or below 40 C; physically plausible soil temperature
CFB,PB-00-04-16,1594.2,CU micrite,Pedogenic micrite,17.5,1.7,21.95890589658536,0.06855180681673,no_horizon_exclusion,pass,TRUE,TRUE,At or below 40 C; physically plausible soil temperature
CFB,SNELL-PB-00-02-32,1120,Caltech micrite,Pedogenic micrite,36,3.8,22.3,NA,no_horizon_exclusion,pass,TRUE,TRUE,At or below 40 C; physically plausible soil temperature
CFB,SNELL-PB-00-02-32-2,1120,Caltech micrite,Pedogenic micrite,39.7,3.2,22.6,NA,no_horizon_exclusion,pass,TRUE,TRUE,At or below 40 C; physically plausible soil temperature
CFB,SNELL-SC-188,1280,Caltech micrite,Pedogenic micrite,31.4,6.1,21.4,NA,no_horizon_exclusion,pass,TRUE,TRUE,At or below 40 C; physically plausible soil temperature
