section_id,MLA_horizon_id,IPL17O_mean_dp17Ocarb,IPL17O_sd_dp17Ocarb,IPL17O_se_dp17Ocarb,IPL17O_n_dp17Ocarb,IPL17O_mean_dp18Ocarb,IPL17O_sd_dp18Ocarb,IPL17O_se_dp18Ocarb,IPL17O_n_dp18Ocarb,IPL17O_mean_Dp17Ocarb,IPL17O_sd_Dp17Ocarb,IPL17O_se_Dp17Ocarb,IPL17O_n_Dp17Ocarb,IPL17O_n_analyses,D17O_n_attempted,D17O_n_analysis_excluded,D17O_pending_replicates,D17O_n_retained,D17O_replicate_range_permeg,D17O_replicate_status,D17O_primary_use,strat_height_m,IPL17O_sd_Dp17Ocarb_adj,IPL17O_se_Dp17Ocarb_adj,IPL17O_ci95_Dp17Ocarb_adj,D17O_sd_used_permeg,D17O_se_used_permeg,IPL17O_mean_d17Ocarb,IPL17O_mean_d18Ocarb
CFB,PB-00-01-07,12.244618615,0.6596533612890689,0.4664453650000002,2,23.38279018,1.2414450170128,0.8778341899999996,2,-101.494603755,4.170388579857262,2.948910045000005,2,2,2,0,FALSE,2,5.89782009000001,replicated_concordant,primary,1508.7,12,8.48528137423857,16.631151493507595,12,8.48528137423857,12.319890870455152,23.658310908409863
CFB,PB-00-01-09D,11.1402437675,0.8143104901249798,0.4071552450624899,4,21.286362812500002,1.5381771341060526,0.7690885670530263,4,-91.4350268375,10.939458439416025,5.469729219708013,4,4,4,0,FALSE,4,23.330655159999992,replicated_concordant,primary,1511.7,12,6,11.76,12,6,11.202527353001424,21.514533532392967
CFB,PB-00-02-07D,12.2621257475,0.213056129274126,0.106528064637063,4,23.4122924125,0.38901079973511293,0.19450539986755647,4,-99.564642855,13.447321414925307,6.7236607074626535,4,4,4,0,FALSE,4,28.586804560000004,replicated_heterogeneous,sensitivity_only,1526.3,13.447321414925307,6.7236607074626535,13.178374986626801,13.447321414925307,6.7236607074626535,12.337613844055628,23.68851155938989
CFB,PB-00-02-09L,10.77847295,NA,NA,1,20.63433014,NA,NA,1,-116.453365,NA,NA,1,1,2,1,TRUE,1,0,pending_replicates,exclude,1530.5,12,12,23.52,12,12,10.836769952188963,20.848689780626817
CFB,PB-00-02-19,11.776805105000001,0.29303190198841583,0.20720484500000058,2,22.4848903,0.5735167881143705,0.40553760999999966,2,-95.216972605,9.784962440028755,6.919013294999998,2,2,2,0,FALSE,2,13.838026589999998,replicated_concordant,primary,1545.1,12,8.48528137423857,16.631151493507595,12,8.48528137423857,11.846424704633485,22.73958075945459
CFB,PB-00-03-08,10.7464615815,1.2224566663743446,0.8644073984999999,2,20.560055375,2.3226823284653366,1.6423844249999995,2,-109.247656,3.919600934033199,2.7715764000000007,2,2,2,0,FALSE,2,5.543152800000001,replicated_concordant,primary,1494.4,12,8.48528137423857,16.631151493507595,12,8.48528137423857,10.804412201763203,20.772869299901853
CFB,PB-00-03-14,11.704975739999998,0.06839792982729223,0.04836463999999996,2,22.401761829999998,0.12867814652734264,0.09098919000000016,2,-93.071422265,0.4558668415809753,0.3223465350000012,2,2,2,0,FALSE,2,0.6446930700000024,replicated_concordant,primary,1504.9,12,8.48528137423857,16.631151493507595,12,8.48528137423857,11.773747028696269,22.654565516540217
CFB,PB-00-03-16,12.056953,0.23077924627758345,0.16318556999999956,2,23.0019247,0.4084951915116735,0.28884972000000175,2,-88.06323903500001,15.093787075681135,10.672919194999999,2,2,2,0,FALSE,2,21.345838389999997,replicated_concordant,primary,1507.4,15.093787075681135,10.672919194999999,20.918921622199996,15.093787075681135,10.672919194999999,12.129931060578025,23.268509030221374
CFB,PB-00-04-11,11.564196095,0.033748092416757546,0.02386350499999956,2,22.10225158,0.06166410952364506,0.04360310999999938,2,-105.79274145,1.189439236586977,0.8410605500000017,2,2,2,0,FALSE,2,1.6821211000000034,replicated_concordant,primary,1568.2,12,8.48528137423857,16.631151493507595,12,8.48528137423857,11.63131990542432,22.34831585670416
CFB,PB-00-04-16,11.604436490000001,0.1095621510940675,0.07747214000000024,2,22.192114529999998,0.22356658740385343,0.15808544999999974,2,-112.99998155,8.481007267299688,5.996977749999999,2,2,2,0,FALSE,2,11.993955499999998,replicated_concordant,primary,1594.2,12,8.48528137423857,16.631151493507595,12,8.48528137423857,11.672029168404707,22.440191220328252
CFB,PK95-SC-111,8.567023808,NA,NA,1,16.35404001,NA,NA,1,-67.90931795,NA,NA,1,1,1,0,FALSE,1,0,singleton_provisional,sensitivity_only,2005,12,12,23.52,12,12,8.603825775836516,16.488499306537285
CFB,PK95-SC-118up,11.311104145,0.661216321833932,0.4675505449999999,2,21.591287780000002,1.2619874023872208,0.8923598500000001,2,-89.09580313500001,5.113024498129056,3.615454294999999,2,2,2,0,FALSE,2,7.2309085899999985,replicated_concordant,primary,1325,12,8.48528137423857,16.631151493507595,12,8.48528137423857,11.375316559548043,21.82606631297879
CFB,PK95-SC-133,10.75449956,0.12515484556872364,0.0884978399999996,2,20.550576765,0.2354660843735768,0.1664996649999999,2,-96.204968655,0.828752262871317,0.5860163450000044,2,2,2,0,FALSE,2,1.1720326900000089,replicated_concordant,primary,1750,12,8.48528137423857,16.631151493507595,12,8.48528137423857,10.812537058549898,20.763193837830094
CFB,PK95-SC-148lwr,11.04875045,0.3499935604983396,0.24748282000000008,2,21.113243105000002,0.665462059648753,0.470552735,2,-99.04190993,1.370405567846411,0.9690230699999985,2,2,2,0,FALSE,2,1.9380461399999973,replicated_concordant,primary,2047,12,8.48528137423857,16.631151493507595,12,8.48528137423857,11.110013311382172,21.33770454187389
CFB,PK95-SC-160,11.45995784,0.2593059799819937,0.14971037734508377,3,21.911647666666667,0.48010952468439466,0.27719136331703853,3,-109.39212958666667,15.27734825981636,8.820381130308636,3,3,3,0,FALSE,3,29.355931440000006,replicated_heterogeneous,sensitivity_only,1720,15.27734825981636,8.820381130308636,17.287947015404928,15.27734825981636,8.820381130308636,11.525874717740692,22.153470836613565
CFB,PK95-SC-161,11.399439465,0.8846791357884448,0.4423395678942224,4,21.789172219999998,1.6908917229386458,0.8454458614693229,4,-105.2434650375,22.145957612671182,11.072978806335591,4,4,4,0,FALSE,4,47.460889760000015,replicated_heterogeneous,sensitivity_only,1665,22.145957612671182,11.072978806335591,21.70303846041776,22.145957612671182,11.072978806335591,11.464660667838578,22.02828979966931
CFB,PK95-SC-165,11.02057991,NA,NA,1,21.06189842,NA,NA,1,-100.1024491,NA,NA,1,1,1,0,FALSE,1,0,singleton_provisional,sensitivity_only,820,12,12,23.52,12,12,11.08153019750202,21.28526562539701
CFB,PK95-SC-176,12.23592025,0.15448004870877025,0.1092338899999996,2,23.33171675,0.29213006507075706,0.2065671499999997,2,-83.22619893,0.2353763171677037,0.16643618999999887,2,2,2,0,FALSE,2,0.33287237999999775,replicated_concordant,primary,1355,12,8.48528137423857,16.631151493507595,12,8.48528137423857,12.311085380844355,23.606030502405062
CFB,PK95-SC-179,10.70388752,0.4523611546522747,0.31986764,2,20.448900015,0.8406944761616866,0.5944607650000009,2,-93.131688035,8.474471429823707,5.992356215,2,2,2,0,FALSE,2,11.984712430000002,replicated_concordant,primary,1080,12,8.48528137423857,16.631151493507595,12,8.48528137423857,10.761379068607857,20.6594112299896
CFB,PK95-SC-185,10.80595196,NA,NA,1,20.64325,NA,NA,1,-93.68403914,NA,NA,1,1,1,0,FALSE,1,0,singleton_provisional,sensitivity_only,940,12,12,23.52,12,12,10.864547127541702,20.857795648632216
CFB,PK95-SC-187,10.659890315,0.4498037827699611,0.3180593050000002,2,20.382110285000003,0.8324337153326096,0.5886195250000003,2,-101.863913985,10.27878236834858,7.268196715000001,2,2,2,0,FALSE,2,14.536393430000004,replicated_concordant,primary,700,12,8.48528137423857,16.631151493507595,12,8.48528137423857,10.716909371285332,20.591243939954484
CFB,PK95-SC-22,11.18651953,1.0673936243879407,0.7547612699999995,2,21.388648775,2.0402062649988997,1.4426436850000002,2,-106.687022085,9.8352800454409,6.954593214999995,2,2,3,1,FALSE,2,13.909186429999991,replicated_concordant,primary,1460,12,8.48528137423857,16.631151493507595,12,8.48528137423857,11.249322603731127,21.619025473601283
