MLA_horizon_id,strat_height_m,n_datasets,mean_d18Ocarb,sd_d18Ocarb,range_d18Ocarb,sources
PB-00-03-17,1507.8,2,22.20506735782716,1.0917843363511632,1.5440162156543238,"Bowen, CU"
PB-00-03-11,1498.5,2,21.727779816043522,1.069368638743167,1.5123156320870415,"Bowen, CU"
PB-00-02-09L,1530.5,2,22.070678698652003,1.0440215230480765,1.4764693973040046,"Bowen, CU"
PB-00-03-08,1494.4,2,22.26844951104632,1.032123479033333,1.4596430220926422,"Bowen, CU"
PB-00-02-07D,1526.3,2,22.54058219385314,0.870249317678087,1.2307183877062826,"Bowen, CU"
PB-00-02-21,1549,2,21.57064522470848,0.8106982424161556,1.1465004494169584,"Bowen, CU"
PB-00-03-20,1512.3,2,22.1508211462658,0.7199777456687839,1.0182022925316012,"Bowen, CU"
PB-00-03-13,1500.3,2,22.44471428482592,0.6253260421063183,0.8843445696518444,"Bowen, CU"
PB-00-02-19,1545.1,2,21.9302331526442,0.48091626567852963,0.6801183052883992,"Bowen, CU"
PB-00-04-14,1574.7,2,22.16679317848568,0.4145288749654202,0.5862323569713581,"Bowen, CU"
PB-00-03-16,1507.4,2,22.64388799996016,0.28737526688568305,0.4064099999203208,"Bowen, CU"
PB-00-04-16,1594.2,2,22.109588948292682,0.21309801534425846,0.3013661034146402,"Bowen, CU"
PB-00-02-02,1520.5,2,22.53632,0.1927855928227022,0.27264000000000266,"Bowen, Snell"
PB-00-01-07,1508.7,2,22.783805764412122,0.15721213170319373,0.2223315288242418,"Bowen, CU"
PB-00-03-14,1504.9,2,22.212021741447018,0.1140064606815761,0.16122948289403993,"Bowen, CU"
PB-00-03-10,1495.4,2,22.27634785411124,0.05918321705388907,0.08369770822248057,"Bowen, CU"
