reactor_id,smow_d33,smow_d34,slap_slope17,slap_slope18,lambda,d18_slope,d18_intercept,d18_method,standard_offset,n_calibration,n_102,n_IAEA_C1
31,-10.336227612773605,-20.103439042646638,1.031015285480717,1.0298195031993853,0.528,1,3.7908025497043023,one-standard intercept-only transfer,22.853159994462487,17,0,17
32,-10.5152590122753,-20.437262443007146,1.0439812928769792,1.0436105656054835,0.528,1.2345177534893406,-1.549643076200614,two-standard linear transfer,42.50433547084037,16,7,9
33,-10.689031038761826,-20.769954226757875,1.0330592924517954,1.0321447346722359,0.528,1.1631752287199986,-2.8077174720269906,two-standard linear transfer,29.146864553358213,28,6,22
34,-10.768557986904442,-20.902884518792327,1.0606267586809424,1.0594011764803208,0.528,0.9785080546566717,3.2632596378258043,two-standard linear transfer,12.77510886903272,25,8,17
35,-10.516023171930668,-20.431192271253284,1.0552078641188918,1.0544348487537614,0.528,1.0335646277545545,2.358990141107562,two-standard linear transfer,14.558482993824164,18,7,11
36,-10.668770751603342,-20.729151331400214,1.0654038686415637,1.064286460350762,0.528,0.8649731983502833,6.183942916612592,two-standard linear transfer,4.6709998582146,12,6,6
