co2_multiple,experiment_label,d18O_mean,d18O_min,d18O_max,d18O_range,annual_precip_mean_mm
3,3x PI CO2,-12.094308670285333,-12.403165363832933,-11.61781892986191,0.7853464339710232,940.4233035396929
6,6x PI CO2,-10.808342651033072,-11.02411695815494,-10.40573017743901,0.6183867807159302,807.4877473517288
