age_bin_ma,Age_Ma,temperature_C,temperature_se_C,n_observations,n_sections,sections
53.45,53.42875,33.8,2,1,1,MCP
53.75,53.73953125,30,2.3,1,1,MCP
54.150000000000006,54.16607262569831,35.6,1.8,1,1,CFB
54.400000000000006,54.41132402234636,19.40467036792211,2.105188877329795,1,1,CFB
54.550000000000004,54.56583240223463,10.186228379790862,6.012394033831299,1,1,CFB
54.650000000000006,54.668837988826816,29.790504319200178,2.0765877511284287,1,1,CFB
54.75,54.75467597765363,36.2,1.5,1,1,CFB
54.85,54.84051396648045,29.577472024110364,2.105188877329795,1,1,CFB
54.900000000000006,54.901826815642465,23.20643478948742,1.642494047805838,1,1,CFB
55,54.99992737430168,27.603067336714872,4.397036221169657,1,1,CFB
55.050000000000004,55.07350279329609,26.8,5.2,1,1,CFB
55.150000000000006,55.13481564245809,23.30241868399509,3.546965785145403,1,1,CFB
55.25,55.26970391061454,22.709061643189425,1.8092036329818588,1,1,CFB
55.300000000000004,55.29422905027933,17.65185248920784,2.3048669254313356,1,1,CFB
55.35,55.36780446927374,32.84699444929132,1.752747169955413,1,1,CFB
55.400000000000006,55.41685474860335,26.8529819151523,0.3942442013648417,1,1,CFB
55.6,55.588530726256984,36.9,3.2,1,1,CFB
55.650000000000006,55.66210614525139,25.452639668371205,1.7742316676596095,1,1,CFB
55.7,55.71028529664207,22.123255343698705,0.5902601571742773,4,1,CFB
55.800000000000004,55.79115273492646,28.96170139470655,1.610306120111106,2,1,CFB
55.85,55.840386293372475,32.54442149160362,0.985758353920589,5,1,CFB
55.900000000000006,55.90865857492816,28.427465605049413,0.42317365317337446,15,1,CFB
56.1,56.09129608938547,31.78470434115952,2.297637917542472,1,1,CFB
56.25,56.26297206703911,39.42707902288216,2.5586652932149594,1,1,CFB
56.35,56.336547486033524,35.97504151196699,1.6559871493799625,1,1,CFB
56.400000000000006,56.38559776536313,31.2,4.3,1,1,CFB
56.45,56.44691061452514,31.399999999999995,6.1,1,1,CFB
56.6,56.61858659217877,27.49504772685278,1.4895988291597029,1,1,CFB
56.85,56.83931284916201,38.16482982171799,2.447715833974563,2,1,CFB
56.95,56.937413407821225,31.48245957566337,2.672892296893606,1,1,CFB
57.300000000000004,57.28076536312849,27.35974799348268,2.105188877329795,1,1,CFB
57.6,57.57506703910614,27.808091341669183,1.2383373781235163,1,1,CFB
58,58.01360567823344,35.208298250022864,8.63939927995304,1,1,CFB
58.75,58.75347949526814,38.86174954939444,2.1126525679063968,1,1,CFB
