site,event,sample_label,depth_mbsf,depth_composite_mcd,Age_Ma,d13C_benthic_vpdb,d18O_benthic_vpdb,d18O_corrected_vpdb,bottom_water_temperature_C,source_record,dataset_doi,article_doi
ODP Site 1262,208-1262A,"208-1262A-10H-2,76-78",87.77,103.8807,52.35504,-0.1,-0.84,-0.831,14.08,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-2,79-81",87.8,103.9103,52.35953,-0.23,-0.91,-0.91,14.44,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-2,82-84",87.83,103.94,52.3643,-0.1,-0.84,-0.831,14.08,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-2,85-87",87.86,103.97,52.36884,-0.2,-0.99,-1,14.85,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-2,88-90",87.89,104,52.37338,-0.22,-0.99,-1,14.85,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-2,91-93",87.92,104.03,52.37791,0.01,-0.85,-0.843,14.13,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-2,94-96",87.95,104.06,52.38245,-0.07,-0.87,-0.865,14.24,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-2,97-99",87.98,104.09,52.38698,0.11,-0.87,-0.865,14.24,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-2,100-102",88.01,104.12,52.39152,0.23,-0.57,-0.528,12.71,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-2,103-105",88.04,104.15,52.39606,0.08,-0.78,-0.764,13.78,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-2,106-108",88.07,104.18,52.400589999999994,0.25,-0.66,-0.629,13.16,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-2,109-111",88.1,104.21,52.40513,0.3,-0.53,-0.483,12.5,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-2,112-114",88.13,104.24,52.40966,0.29,-0.52,-0.472,12.45,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-2,115-117",88.16,104.27,52.414199999999994,0.26,-0.67,-0.64,13.21,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-2,118-120",88.19,104.3,52.41874,0.2,-0.62,-0.584,12.96,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-2,121-123",88.22,104.33,52.423269999999995,0.07,-0.72,-0.697,13.47,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-2,124-126",88.25,104.36,52.42781,-0.1,-0.84,-0.831,14.08,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-2,127-129",88.28,104.39,52.43235,0.12,-0.6,-0.562,12.86,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-2,130-132",88.31,104.42,52.436879999999995,0.08,-0.7,-0.674,13.37,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-2,133-135",88.34,104.45,52.44142,-0.13,-0.83,-0.82,14.03,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-2,136-138",88.37,104.48,52.445949999999996,-0.11,-0.77,-0.753,13.72,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-2,139-141",88.4,104.51,52.450489999999995,-0.21,-0.91,-0.91,14.44,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-2,142-144",88.43,104.54,52.45503,-0.37,-0.99,-1,14.85,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-2,145-147",88.46,104.57,52.459559999999996,-0.3,-1.03,-1.045,15.06,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-2,148-150",88.49,104.6,52.46401,-0.36,-1.14,-1.169,15.63,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-3,1-2",88.515,104.625,52.46767,0.01,-0.72,-0.697,13.47,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-3,4-5",88.545,104.655,52.47207,-0.16,-1.03,-1.045,15.06,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-3,7-8",88.575,104.685,52.47647,0.21,-0.65,-0.618,13.11,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-3,10-11",88.605,104.715,52.48087,0.2,-0.76,-0.742,13.67,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-3,13-14",88.635,104.745,52.485260000000004,0.12,-0.72,-0.697,13.47,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-3,16-17",88.665,104.775,52.48966,0.34,-0.69,-0.663,13.32,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-3,19-20",88.695,104.805,52.49406,0.31,-0.62,-0.584,12.96,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-3,22-23",88.725,104.835,52.49846,0.54,-0.47,-0.416,12.2,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-3,25-26",88.755,104.865,52.502849999999995,0.22,-0.67,-0.64,13.21,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-3,28-29",88.785,104.895,52.50725,0.3,-0.66,-0.629,13.16,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-3,31-32",88.815,104.925,52.51165,0.11,-0.72,-0.697,13.47,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-3,34-35",88.845,104.955,52.51605,0.12,-0.78,-0.764,13.78,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-3,37-38",88.875,104.985,52.52045,0.1,-0.79,-0.775,13.83,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-3,40-41",88.905,105.015,52.52484,0.2,-0.63,-0.596,13.01,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-3,43-44",88.935,105.045,52.52924,0.23,-0.66,-0.629,13.16,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-3,46-47",88.965,105.075,52.53364,0.17,-0.61,-0.573,12.91,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-3,49-50",88.995,105.105,52.53804,0.35,-0.59,-0.551,12.81,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-3,52-53",89.025,105.135,52.54244,0.14,-0.66,-0.629,13.16,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-3,55-56",89.055,105.165,52.54683,0.27,-0.59,-0.551,12.81,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-3,58-59",89.085,105.195,52.551230000000004,0.24,-0.65,-0.618,13.11,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-3,61-62",89.115,105.225,52.55563,0.22,-0.65,-0.618,13.11,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-3,64-65",89.145,105.255,52.56003,0.12,-0.65,-0.618,13.11,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-3,67-68",89.175,105.285,52.56442,0.1,-0.77,-0.753,13.72,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-3,70-71",89.205,105.315,52.56882,0.1,-0.77,-0.753,13.72,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-3,73-74",89.235,105.345,52.57322,0.14,-0.73,-0.708,13.52,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-3,76-77",89.265,105.375,52.57762,0.04,-0.84,-0.831,14.08,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-3,79-80",89.295,105.405,52.58202,0.08,-0.8,-0.787,13.88,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-3,82-83",89.325,105.435,52.58641,0.21,-0.7,-0.674,13.37,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-3,85-86",89.355,105.465,52.59081,0.11,-0.82,-0.809,13.98,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-3,88-89",89.385,105.495,52.59521,0.19,-0.74,-0.719,13.57,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-3,91-92",89.415,105.525,52.59961,0.12,-0.84,-0.831,14.08,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-3,94-95",89.445,105.555,52.60401,0.27,-0.69,-0.663,13.32,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-3,97-98",89.475,105.585,52.6084,0.2,-0.7,-0.674,13.37,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-3,100-101",89.505,105.615,52.6128,0.11,-0.81,-0.798,13.93,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-3,103-104",89.535,105.645,52.6172,0.3,-0.59,-0.551,12.81,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-3,106-107",89.565,105.675,52.6216,0.33,-0.56,-0.517,12.66,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-3,109-110",89.595,105.705,52.625989999999994,0.15,-0.54,-0.494,12.56,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-3,112-113",89.625,105.735,52.63039,0.18,-0.66,-0.629,13.16,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-3,115-116",89.655,105.765,52.63479,0.21,-0.7,-0.674,13.37,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-3,118-119",89.685,105.795,52.63919,0.2,-0.59,-0.551,12.81,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-3,121-122",89.715,105.825,52.643589999999996,0.28,-0.6,-0.562,12.86,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-3,124-125",89.745,105.855,52.647980000000004,0.28,-0.6,-0.562,12.86,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-3,127-128",89.775,105.885,52.65238,0.26,-0.61,-0.573,12.91,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-3,130-131",89.805,105.915,52.65678,0.25,-0.67,-0.64,13.21,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-3,133-134",89.835,105.945,52.66118,0.25,-0.7,-0.674,13.37,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-3,136-137",89.865,105.975,52.66558,0.28,-0.63,-0.596,13.01,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-3,142-143",89.925,106.035,52.67437,0.4,-0.59,-0.551,12.81,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-3,145-146",89.955,106.065,52.67877,0.4,-0.62,-0.584,12.96,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-3,148-149",89.985,106.095,52.68317,0.36,-0.6,-0.562,12.86,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-4,1-2",90.015,106.125,52.68756,0.22,-0.77,-0.753,13.72,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-4,4-5",90.045,106.155,52.69196,0.17,-0.74,-0.719,13.57,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-4,7-8",90.075,106.185,52.69636,0.06,-0.81,-0.798,13.93,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-4,10-11",90.105,106.215,52.70076,0.11,-0.67,-0.64,13.21,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-4,16-17",90.165,106.275,52.70955,0.18,-0.67,-0.64,13.21,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-4,19-20",90.195,106.305,52.71395,0.14,-0.6,-0.562,12.86,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-4,25-26",90.255,106.365,52.72275,0.07,-0.61,-0.573,12.91,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-4,28-29",90.285,106.395,52.72715,-0.11,-0.83,-0.82,14.03,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-4,31-32",90.315,106.425,52.73154,-0.27,-0.84,-0.831,14.08,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-4,34-35",90.345,106.455,52.73594,-0.34,-1.05,-1.067,15.16,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-4,37-38",90.375,106.485,52.740339999999996,-0.51,-1.19,-1.225,15.89,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-4,40-41",90.405,106.515,52.744690000000006,-0.39,-1.02,-1.034,15.01,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-4,43-44",90.435,106.545,52.749010000000006,-0.17,-0.85,-0.843,14.13,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-4,46-47",90.465,106.575,52.75332,0.03,-0.62,-0.584,12.96,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-4,49-50",90.495,106.605,52.75763,0.14,-0.61,-0.573,12.91,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-4,52-53",90.525,106.635,52.76194,0.19,-0.6,-0.562,12.86,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-4,55-56",90.555,106.665,52.76625,0.04,-0.67,-0.64,13.21,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-4,58-59",90.585,106.695,52.77057,0.09,-0.69,-0.663,13.32,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-4,61-62",90.615,106.725,52.774879999999996,0.19,-0.61,-0.573,12.91,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-4,64-65",90.645,106.755,52.77919,0.17,-0.58,-0.539,12.76,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-4,67-68",90.675,106.785,52.7835,0.08,-0.68,-0.652,13.27,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-4,70-71",90.705,106.815,52.787819999999996,-0.01,-0.61,-0.573,12.91,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-4,73-74",90.735,106.845,52.79213,-0.03,-0.71,-0.685,13.42,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-4,76-77",90.765,106.875,52.796440000000004,0.09,-0.65,-0.618,13.11,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-4,79-80",90.795,106.905,52.80075,0.11,-0.6,-0.562,12.86,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262B,"208-1262B-12H-1,61-62",96.515,107.1333,52.83356,0.15,-0.65,-0.618,13.11,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262B,"208-1262B-12H-1,64-65",96.545,107.1719,52.83912,0.14,-0.58,-0.539,12.76,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262B,"208-1262B-12H-1,67-68",96.575,107.2107,52.84543,-0.18,-0.92,-0.921,14.49,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262B,"208-1262B-12H-1,70-71",96.605,107.245,52.85275,-0.01,-0.74,-0.719,13.57,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262B,"208-1262B-12H-1,73-74",96.635,107.275,52.85915,-0.45,-0.9,-0.899,14.39,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262B,"208-1262B-12H-1,85-86",96.755,107.395,52.884730000000005,-0.53,-0.95,-0.955,14.65,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262B,"208-1262B-12H-1,88-89",96.785,107.425,52.89113,-0.63,-1.11,-1.135,15.47,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262B,"208-1262B-12H-1,91-92",96.815,107.455,52.89752,-0.66,-1.09,-1.112,15.37,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262B,"208-1262B-12H-1,94-95",91.405,107.4758,52.90195,-0.46,-0.89,-0.888,14.34,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-4,140-141",96.845,107.485,52.90392,-0.21,-0.99,-1,14.85,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-4,143-144",91.435,107.5016,52.907470000000004,-0.21,-0.96,-0.966,14.7,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-4,146-147",91.465,107.5275,52.912980000000005,-0.13,-1.01,-1.022,14.96,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262A,"208-1262A-10H-4,149-150",91.495,107.5534,52.9185,-0.11,-0.9,-0.899,14.39,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262B,"208-1262B-12H-1,130-131",97.205,107.845,52.97543,0.13,-0.82,-0.809,13.98,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262B,"208-1262B-12H-1,133-134",97.235,107.875,52.97941,0.08,-0.86,-0.854,14.19,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262B,"208-1262B-12H-1,136-137",97.265,107.905,52.98338,0.3,-0.72,-0.697,13.47,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262B,"208-1262B-12H-1,139-140",97.295,107.935,52.98735,0.21,-0.75,-0.73,13.62,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262B,"208-1262B-12H-1,142-143",97.325,107.965,52.991330000000005,0.27,-0.73,-0.708,13.52,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262B,"208-1262B-12H-1,145-146",97.355,107.995,52.9953,0.12,-0.78,-0.764,13.78,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262B,"208-1262B-12H-1,148-149",97.385,108.025,52.99928,0.16,-0.52,-0.472,12.45,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262B,"208-1262B-12H-2,1-2",97.415,108.055,53.00325,0.04,-0.83,-0.82,14.03,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262B,"208-1262B-12H-2,4-6",97.45,108.09,53.007889999999996,0.08,-0.73,-0.708,13.52,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262B,"208-1262B-12H-2,7-8",97.475,108.115,53.011199999999995,0.1,-0.7,-0.674,13.37,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262B,"208-1262B-12H-2,10-11",97.505,108.145,53.01518,0.03,-0.84,-0.831,14.08,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262B,"208-1262B-12H-2,13-14",97.535,108.175,53.01915,0.14,-0.63,-0.596,13.01,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262B,"208-1262B-12H-2,16-17",97.565,108.205,53.023120000000006,0.08,-0.73,-0.708,13.52,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262B,"208-1262B-12H-2,19-20",97.595,108.235,53.0271,-0.01,-0.77,-0.753,13.72,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262B,"208-1262B-12H-2,22-23",97.625,108.265,53.03107,-0.14,-0.9,-0.899,14.39,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262B,"208-1262B-12H-2,25-26",97.655,108.295,53.035050000000005,-0.2,-0.92,-0.921,14.49,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262B,"208-1262B-12H-2,28-29",97.685,108.325,53.039019999999994,0.01,-0.77,-0.753,13.72,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262B,"208-1262B-12H-2,31-32",97.715,108.355,53.043,0.17,-0.82,-0.809,13.98,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262B,"208-1262B-12H-2,34-35",97.745,108.385,53.045970000000004,0.12,-0.77,-0.753,13.72,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262B,"208-1262B-12H-2,37-38",97.775,108.415,53.048739999999995,0.18,-0.8,-0.787,13.88,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262B,"208-1262B-12H-2,40-41",97.805,108.445,53.05151,0.22,-0.74,-0.719,13.57,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262B,"208-1262B-12H-2,43-44",97.835,108.475,53.05428,0.28,-0.78,-0.764,13.78,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262B,"208-1262B-12H-2,46-47",97.865,108.505,53.057050000000004,0.16,-0.71,-0.685,13.42,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262B,"208-1262B-12H-2,49-50",97.895,108.535,53.059830000000005,0.29,-0.83,-0.82,14.03,Lauretano et al. (2015),10.1594/PANGAEA.884585,10.1029/2019PA003556
