site,event,sample_label,depth_mbsf,depth_composite_mcd,Age_Ma,d13C_benthic_vpdb,d18O_benthic_vpdb,d18O_corrected_vpdb,bottom_water_temperature_C,source_record,dataset_doi,article_doi
ODP Site 1262,208-1262B,"208-1262B-21H-2,38-39",183.285,203.225,63.24106,1.02,0.01,0.12,9.82,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262B,"208-1262B-21H-2,41-42",183.315,203.255,63.24741,0.96,-0.12,-0.024,10.46,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262B,"208-1262B-21H-2,44-45",183.345,203.285,63.253769999999996,0.94,-0.03,0.082,9.99,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262B,"208-1262B-21H-2,47-48",183.375,203.315,63.26012,0.99,-0.04,0.071,10.04,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262B,"208-1262B-21H-2,50-51",183.405,203.345,63.26647,0.97,-0.08,0.027,10.23,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262B,"208-1262B-21H-2,53-54",183.435,203.375,63.27282,0.99,-0.24,-0.158,11.05,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262B,"208-1262B-21H-2,57-58",183.475,203.415,63.2813,1.1,0,0.115,9.85,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262B,"208-1262B-21H-2,59-60",183.495,203.435,63.28553,1.18,0.03,0.145,9.71,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-1,68-69",184.685,203.465,63.29188,1.09,-0.01,0.099,9.92,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-1,71-72",184.715,203.495,63.29824,1.29,0.04,0.159,9.65,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-1,74-75",184.745,203.525,63.30459,1.12,0.04,0.156,9.67,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-1,77-78",184.775,203.555,63.31094,1.16,-0.03,0.074,10.03,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-1,80-81",184.805,203.585,63.31729,1.14,0.03,0.143,9.73,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
