region,sample_id,dataset,study_status,Age_Ma,stage_group,paleolatitude_deg_n,temperature_C,temperature_se_C,passed_BHB_screen,display_paleolatitude_deg_n
Bighorn Basin,PB-00-04-16,CU CFB Delta47,Published data,55.67633072625698,Ypresian,48,17.5,1.7,TRUE,47.59468352696858
Bighorn Basin,PK95-SC-43,U-M CFB Delta47,This study,55.66210614525139,Ypresian,48,25.452639668371205,1.7742316676596095,TRUE,47.657784766773695
Bighorn Basin,SNELL-SC-15,Caltech CFB Delta47,Published data,55.588530726256984,Ypresian,48,36.9,3.2,TRUE,47.52644408475608
Bighorn Basin,PK95-SC-54,U-M CFB Delta47,This study,55.41685474860335,Ypresian,48,26.8529819151523,0.3942442013648417,TRUE,47.83629876815248
Bighorn Basin,PK95-SC-160,U-M CFB Delta47,This study,55.36780446927374,Ypresian,48,32.84699444929132,1.752747169955413,TRUE,47.45516645736061
Bighorn Basin,PK95-SC-133,U-M CFB Delta47,This study,55.29422905027933,Ypresian,48,17.65185248920784,2.3048669254313356,TRUE,47.41394982088823
Bighorn Basin,PK95-SC-31,U-M CFB Delta47,This study,55.26970391061453,Ypresian,48,22.709061643189425,1.8092036329818588,TRUE,47.690566224697974
Bighorn Basin,PK95-SC-224,U-M CFB Delta47,This study,55.1348156424581,Ypresian,48,23.30241868399509,3.546965785145403,TRUE,48.15792730129324
Bighorn Basin,SNELL-SC-33,Caltech CFB Delta47,Published data,55.073502793296086,Ypresian,48,26.8,5.2,TRUE,47.73202958367765
Bighorn Basin,PK95-SC-35,U-M CFB Delta47,This study,54.99992737430168,Ypresian,48,27.603067336714872,4.397036221169657,TRUE,48.64472405314446
Bighorn Basin,PK95-SC-63,U-M CFB Delta47,This study,54.90182681564246,Ypresian,48,23.206434789487417,1.642494047805838,TRUE,48.61636506333016
Bighorn Basin,PK95-SC-3,U-M CFB Delta47,This study,54.84051396648045,Ypresian,48,29.577472024110364,2.105188877329795,TRUE,48.39843810673337
Bighorn Basin,SNELL-SC-64,Caltech CFB Delta47,Published data,54.75467597765363,Ypresian,48,36.2,1.5,TRUE,48.22104398987722
