section_id,MLA_horizon_id,strat_height_m,Koch_mean_d13Ccarb_vpdb,Koch_se_d13Ccarb_vpdb,Koch_n_d13Ccarb,Koch_mean_d18Ocarb_vpdb,Koch_se_d18Ocarb_vpdb,Koch_n_d18Ocarb_vpdb,Koch_mean_d18Ocarb_vsmow,Koch_se_d18Ocarb_vsmow,Koch_n_d18Ocarb_vsmow,Age_Ma,age_model_position,distance_to_nearest_prior_m,age_control_distance_index,age_model_id
CFB,PK95-SC-279,680,-7.45,NA,1,-9.96,NA,1,20.64,NA,1,58.09581388012619,interpolated,107,0.8944262556100668,BHB_section_linear_GTS2020_v1
CFB,PK95-SC-295,2210,-10.125,0.01500000000000056,2,-8.225000000000001,0.01499999999999967,2,22.435,0.01499999999999879,2,54.16607262569832,extrapolated_above,707,0.9874301675977654,BHB_section_linear_GTS2020_v1
CFB,PK95-SC-3,1935,-8.2275,0.07835549331944319,4,-8.6175,0.12297526851634295,4,22.025,0.12744279762570604,4,54.840513966480444,extrapolated_above,432,0.6033519553072626,BHB_section_linear_GTS2020_v1
CFB,PK95-SC-303,2110,-8.445,0.07500000000000018,2,-8.655,0.04499999999999993,2,21.985,0.04499999999999993,2,54.41132402234636,extrapolated_above,607,0.8477653631284916,BHB_section_linear_GTS2020_v1
CFB,PK95-SC-31,1760,-8.98,0.05999999999999961,2,-8.815000000000001,0.00499999999999989,2,21.825,0.004999999999999,2,55.269703910614524,extrapolated_above,257,0.35893854748603354,BHB_section_linear_GTS2020_v1
CFB,PK95-SC-318,1725,-9.1,NA,1,NA,NA,0,21.7,NA,1,55.35554189944134,extrapolated_above,222,0.3100558659217877,BHB_section_linear_GTS2020_v1
CFB,PK95-SC-33,1840,-7.435,0.00500000000000033,2,-8.86,0.10000000000000052,2,21.775,0.10499999999999864,2,55.073502793296086,extrapolated_above,337,0.47067039106145253,BHB_section_linear_GTS2020_v1
CFB,PK95-SC-349-1,1521.3,-14.575,0.08499999999999996,2,-7.745,0.01499999999999967,2,22.925,0.01500000000000056,2,55.85511899441341,extrapolated_above,18.299999999999955,0.02555865921787703,BHB_section_linear_GTS2020_v1
CFB,PK95-SC-349-2,1531,-12.24,NA,1,-8.12,NA,1,22.54,NA,1,55.831329608938546,extrapolated_above,28,0.03910614525139665,BHB_section_linear_GTS2020_v1
CFB,PK95-SC-349-3,1534,-12.8,0.05999999999999961,2,-7.92,0.07000000000000027,2,22.745,0.07499999999999928,2,55.82397206703911,extrapolated_above,31,0.04329608938547486,BHB_section_linear_GTS2020_v1
CFB,PK95-SC-35,1870,-8.01,0.02999999999999935,2,-8.57,0.06000000000000049,2,22.075000000000003,0.0649999999999995,2,54.99992737430168,extrapolated_above,367,0.5125698324022346,BHB_section_linear_GTS2020_v1
CFB,PK95-SC-351-1,1525,-14.6,NA,1,-7.82,NA,1,22.85,NA,1,55.84604469273743,extrapolated_above,22,0.030726256983240222,BHB_section_linear_GTS2020_v1
CFB,PK95-SC-351-2,1525,-14.67,NA,1,-7.88,NA,1,22.79,NA,1,55.84604469273743,extrapolated_above,22,0.030726256983240222,BHB_section_linear_GTS2020_v1
CFB,PK95-SC-351-3,1528.7,-13.98,NA,1,-7.7,NA,1,22.97,NA,1,55.83697039106145,extrapolated_above,25.700000000000045,0.03589385474860342,BHB_section_linear_GTS2020_v1
CFB,PK95-SC-351-4,1532.3,-13.83,0.05000000000000071,2,-7.84,0.04000000000000003,2,22.83,0.04000000000000092,2,55.828141340782125,extrapolated_above,29.299999999999955,0.04092178770949714,BHB_section_linear_GTS2020_v1
CFB,PK95-SC-351-5,1534,-13.56,NA,1,-8.04,NA,1,22.62,NA,1,55.82397206703911,extrapolated_above,31,0.04329608938547486,BHB_section_linear_GTS2020_v1
CFB,PK95-SC-351-6,1537.8,-13.49,0.07000000000000027,2,-7.915,0.00499999999999989,2,22.755000000000003,0.00500000000000078,2,55.81465251396648,extrapolated_above,34.799999999999955,0.0486033519553072,BHB_section_linear_GTS2020_v1
CFB,PK95-SC-351-?,1524,-14.66,NA,1,-7.51,NA,1,23.17,NA,1,55.84849720670391,extrapolated_above,21,0.029329608938547486,BHB_section_linear_GTS2020_v1
CFB,PK95-SC-4,1570,-8.37,0.12489995996796786,3,-8.003333333333334,0.07535103036971563,3,22.66,0.07810249675906648,3,55.73568156424581,extrapolated_above,67,0.0935754189944134,BHB_section_linear_GTS2020_v1
CFB,PK95-SC-43,1600,-7.49,NA,1,-8.9,NA,1,21.73,NA,1,55.66210614525139,extrapolated_above,97,0.13547486033519554,BHB_section_linear_GTS2020_v1
