Age_Ma,Harper2024_mean_CO2_ppm,Harper2024_CO2_lower95_ppm,Harper2024_CO2_upper95_ppm,Harper2024_mean_SST_C,Harper2024_SST_lower95_C,Harper2024_SST_upper95_C
58.208,889.3158906,674.722245,1149.893481,36.93621249,36.02615975,37.62866348
58.202,887.8097574,672.2251462,1149.439162,37.22472088,36.18510993,38.11730137
58.197,884.9712782,671.8637867,1140.952043,37.80656494,36.74891777,38.6905559
58.192,885.1809371,674.6894824,1134.786135,37.57778601,36.57612401,38.39901413
58.191,880.8380151,669.6638791,1134.195508,38.21409007,37.25641015,38.9905312
58.189,886.46817,679.215185,1138.958586,37.18918496,36.2783845,37.89378189
58.179,881.8973054,674.7796151,1128.911005,37.93440209,36.87077273,38.85125564
58.173,879.0967745,677.7788725,1121.036916,38.13569968,37.12524824,38.97889308
58.171,882.9419407,681.922776,1123.463695,37.46665327,36.51049256,38.24626041
58.169,883.8046597,684.7210802,1126.913068,36.99248494,36.0700342,37.68153144
58.162,879.4084827,684.8834674,1110.090733,37.90838505,36.85766568,38.80122455
58.154,875.6756083,692.522679,1088.029283,38.46230297,37.44787683,39.30570504
58.153,878.7455171,694.4228866,1093.295216,37.99499812,37.00701287,38.80341115
58.15,881.1006281,701.4984942,1094.772065,37.55083616,36.6403412,38.24505558
58.149,879.7710176,702.1860008,1085.454316,37.62292819,36.69158814,38.36192763
58.136,882.0927218,726.717585,1056.537057,37.38300555,36.36458313,38.23902567
58.133,884.7545438,736.9235309,1053.959636,37.01226303,36.03110016,37.80456301
58.131,885.4511684,734.3474283,1057.961769,37.24409477,36.32016765,37.9445919
58.128,883.2499066,731.2767995,1057.323551,38.0879875,37.09912108,38.87771799
58.119,895.1154915,741.6047842,1066.912028,37.42834746,36.41433277,38.30610487
58.116,895.3492085,745.5489757,1064.837882,37.56492393,36.57895007,38.37364345
58.113,900.5625824,754.136062,1067.220377,37.04088241,36.15385099,37.71930615
58.112,899.5639465,754.0770503,1064.220907,37.36794738,36.42979424,38.10139612
58.11,901.9669165,759.1600662,1062.631514,37.54820755,36.54824748,38.37861355
58.102,911.0698063,786.3439907,1049.005803,37.61768302,36.6177308,38.44527476
58.101,915.4576545,791.4716152,1051.366804,37.58754936,36.61133962,38.37204289
58.099,951.9976377,820.4793776,1096.163435,37.02848774,36.1186995,37.71146265
58.096,1000.694685,859.784219,1159.212855,37.33572722,36.36228873,38.15932154
58.091,1083.188138,925.1270213,1256.767777,37.97893964,36.97218353,38.82951715
58.086,1172.10538,1011.112337,1352.257362,38.16909734,37.25725875,38.82875312
58.081,1204.752646,1036.163237,1388.408149,38.42338898,37.40399852,39.28445043
58.074,1098.61071,937.7206165,1279.874799,37.87275898,36.86766339,38.67038822
58.073,1080.69412,922.8751979,1257.329448,38.35824775,37.39074596,39.13866813
