IPL_num,MLA_sample_id,MLA_horizon_id,reactor_id,Dp17Ocarb_permeg_ACCEPTED,X33_mismatch,X34_mismatch,d17O.err,d18O.err,CAP17O.err,D17O_qc_mismatch_max,D17O_qc_mismatch_flag,D17O_qc_precision_flag,D17O_qc_value_flag,D17O_qc_manual_decision,D17O_qc_decision,D17O_qc_reason
5831,PK95-SC-176,PK95-SC-176,34,-85.00308836,0.033144024,0.025995664,0.004502681,0.001727322,0.004586046,0.033144024,pass,pass,pass,retain,retain_for_summary,no analytical exclusion
5838,PK95-SC-176,PK95-SC-176,34,-84.71120196,0.0827764,0.077568542,0.004018477,0.001530703,0.003759618,0.0827764,review,pass,pass,retain,retain_for_summary,no analytical exclusion
5843,PK95-SC-31,PK95-SC-31,34,-126.1394968,0.02893778,0.027369219,0.003466061,0.001758994,0.00355025,0.02893778,pass,pass,pass,retain,retain_for_summary,no analytical exclusion
5850,PK95-SC-31,PK95-SC-31,34,-103.7886156,0.029345216,0.030954059,0.003751469,0.001348248,0.00373947,0.030954059,pass,pass,pass,retain,retain_for_summary,no analytical exclusion
5845,PK95-SC-43,PK95-SC-43,34,-89.92761436,0.027311014,0.031280597,0.004653555,0.002055118,0.004820977,0.031280597,pass,pass,pass,retain,retain_for_summary,no analytical exclusion
5830,PK95-SC-49,PK95-SC-49,34,-39.35254796,0.097715006,0.097565911,0.014232355,0.005515812,0.01397769,0.097715006,review,review,pass,retain,retain_for_summary,no analytical exclusion
5844,PK95-SC-50,PK95-SC-50,34,-139.1223828,0.006621984,0.00615957,0.003707612,0.001893202,0.003619478,0.006621984,pass,pass,pass,retain,retain_for_summary,no analytical exclusion
5832,PK95-SC-54,PK95-SC-54,34,-76.96564956,0.043105982,0.049662941,0.004660094,0.002100899,0.004976374,0.049662941,pass,pass,pass,retain,retain_for_summary,no analytical exclusion
5837,PK95-SC-54,PK95-SC-54,34,-97.75604676,9.17e-5,6.54e-5,0.004251561,0.001587395,0.004319484,9.17e-5,pass,pass,pass,retain,retain_for_summary,no analytical exclusion
5841,PK95-SC-56,PK95-SC-56,34,-143.8307568,0.140207612,0.140073285,0.013711745,0.005547653,0.012946549,0.140207612,exclude,review,pass,exclude,exclude,high mismatch and poor analytical precision
6160,PB-00-01-09D,PB-00-01-09D,35,-106.3269885,0.011291176,0.006579471,0.004482787,9.79e-4,0.004554441,0.011291176,pass,pass,pass,retain,retain_for_summary,no analytical exclusion
6161,PB-00-01-09D,PB-00-01-09D,35,-83.4538766,0.017849151,0.020492895,0.003157191,0.0015274590000000001,0.00305756,0.020492895,pass,pass,pass,retain,retain_for_summary,no analytical exclusion
6162,PB-00-01-09D,PB-00-01-09D,35,-92.96290891,1.07e-4,2.15e-4,0.002915618,0.001563394,0.003146024,2.15e-4,pass,pass,pass,retain,retain_for_summary,no analytical exclusion
6163,PB-00-02-07D,PB-00-02-07D,35,-94.42320802,0.060265803,0.063726165,0.003991973,0.00138078,0.004015977,0.063726165,review,pass,pass,retain,retain_for_summary,no analytical exclusion
6164,PB-00-02-07D,PB-00-02-07D,35,-93.16908296,0.005257904,0.004091997,0.004278414,0.00149295,0.004408114,0.005257904,pass,pass,pass,retain,retain_for_summary,no analytical exclusion
6157,PK95-SC-49,PK95-SC-49,35,-29.51087121,0.034727496,0.034739009,0.018075679,0.010685541,0.012626721,0.034739009,pass,review,pass,retain,retain_for_summary,no analytical exclusion
6158,PK95-SC-49,PK95-SC-49,35,-5.063288583,6.45e-5,6.72e-5,0.015809296,0.007148956,0.01369968,6.72e-5,pass,review,pass,retain,retain_for_summary,no analytical exclusion
6260,PK95-SC-279,PK95-SC-279,36,-104.2912361,0.003082513,0.001973199,0.004002908,0.001407941,0.003865734,0.003082513,pass,pass,pass,retain,retain_for_summary,no analytical exclusion
6261,PK95-SC-279,PK95-SC-279,36,-93.94966455,0.014804005,0.012423324,0.004853344,0.001538702,0.004957456,0.014804005,pass,pass,pass,retain,retain_for_summary,no analytical exclusion
6262,PK95-SC-246,PK95-SC-246,36,-101.5660349,0.009244783,0.009987775,0.003564295,0.001631839,0.003422709,0.009987775,pass,pass,pass,retain,retain_for_summary,no analytical exclusion
6263,PK95-SC-246,PK95-SC-246,36,-104.5076983,0.001751768,8.85e-4,0.004571356,0.001952316,0.005067776,0.001751768,pass,pass,pass,retain,retain_for_summary,no analytical exclusion
6264,PK95-SC-133,PK95-SC-133,36,-96.790985,0.027226318,0.028397542,0.005224736,0.001502873,0.005273042,0.028397542,pass,pass,pass,retain,retain_for_summary,no analytical exclusion
6265,PK95-SC-133,PK95-SC-133,36,-95.61895231,0.002060358,0.00156733,0.003593721,0.001833014,0.003576782,0.002060358,pass,pass,pass,retain,retain_for_summary,no analytical exclusion
6266,PK95-SC-303,PK95-SC-303,36,-98.74397965,0.018027771,0.023709373,0.003692323,0.001556966,0.003698179,0.023709373,pass,pass,pass,retain,retain_for_summary,no analytical exclusion
6267,PK95-SC-303,PK95-SC-303,36,-108.5322468,0.002243874,0.001616482,0.004319529,0.001201932,0.004218642,0.002243874,pass,pass,pass,retain,retain_for_summary,no analytical exclusion
6268,PK95-SC-187,PK95-SC-187,36,-109.1321107,0.02817838,0.029618461,0.003846309,0.001332546,0.004034921,0.029618461,pass,pass,pass,retain,retain_for_summary,no analytical exclusion
6269,PK95-SC-187,PK95-SC-187,36,-94.59571727,0.001306903,0.001991231,0.004297031,0.001425258,0.004298188,0.001991231,pass,pass,pass,retain,retain_for_summary,no analytical exclusion
6270,PK95-SC-224,PK95-SC-224,36,-98.4088726,0.035200395,0.0321935,0.005549256,0.001788143,0.005199839,0.035200395,pass,pass,pass,retain,retain_for_summary,no analytical exclusion
6271,PK95-SC-224,PK95-SC-224,36,-100.5169223,0.029389165,0.026616911,0.003482554,0.001855787,0.003640893,0.029389165,pass,pass,pass,retain,retain_for_summary,no analytical exclusion
6272,PK95-SC-35,PK95-SC-35,36,-115.4160384,0.073244404,0.076208687,0.0047671,0.001345448,0.004680488,0.076208687,review,pass,pass,retain,retain_for_summary,no analytical exclusion
6273,PK95-SC-35,PK95-SC-35,36,-107.3465669,5.93e-4,0.00102394,0.003661962,0.0012179,0.003647117,0.00102394,pass,pass,pass,retain,retain_for_summary,no analytical exclusion
6274,PK95-SC-165,PK95-SC-165,36,-100.1024491,0.024995443,0.027974827,0.004597828,0.00176744,0.004637089,0.027974827,pass,pass,pass,retain,retain_for_summary,no analytical exclusion
6276,PK95-SC-179,PK95-SC-179,36,-87.13933182,0.005242359,0.003904749,0.003948787,0.001261925,0.003913203,0.005242359,pass,pass,pass,retain,retain_for_summary,no analytical exclusion
6277,PK95-SC-179,PK95-SC-179,36,-99.12404425,0.003029093,0.003614298,0.00371652,0.001495953,0.003740949,0.003614298,pass,pass,pass,retain,retain_for_summary,no analytical exclusion
6323,PK95-SC-92,PK95-SC-92,36,-87.75001147,7.7e-5,4.01e-5,0.004259659,0.001354462,0.004440928,7.7e-5,pass,pass,pass,retain,retain_for_summary,no analytical exclusion
6324,PK95-SC-92,PK95-SC-92,36,-122.5523559,0.001085137,0.001119161,0.004778589,0.001407209,0.004781503,0.001119161,pass,pass,pass,retain,retain_for_summary,no analytical exclusion
6325,PK95-SC-4,PK95-SC-4,36,-94.38922022,0.293628857,0.297596711,0.004964839,0.001532483,0.004834368,0.297596711,exclude,pass,pass,exclude,exclude,high mass-33/34 mismatch
6326,PK95-SC-4,PK95-SC-4,36,-118.1078065,0.00387927,0.003520115,0.004611314,0.0045524,0.003405878,0.00387927,pass,pass,pass,retain,retain_for_summary,no analytical exclusion
6327,PK95-SC-148lwr,PK95-SC-148lwr,36,-98.07288686,5.18e-5,1.76e-4,0.003877785,0.001518671,0.00391142,1.76e-4,pass,pass,pass,retain,retain_for_summary,no analytical exclusion
6328,PK95-SC-148lwr,PK95-SC-148lwr,36,-100.010933,0.014026372,0.009062617,0.003981236,0.001629343,0.003664524,0.014026372,pass,pass,pass,retain,retain_for_summary,no analytical exclusion
6329,PK95-SC-185,PK95-SC-185,36,-93.68403914,0.109111214,0.102613629,0.003981334,0.001671476,0.003930065,0.109111214,review,pass,pass,retain,retain_for_summary,no analytical exclusion
6330,PK95-SC-43,PK95-SC-43,36,-93.03346763,0.138027391,0.140889688,0.004580188,0.001514675,0.004452072,0.140889688,exclude,pass,pass,retain,retain_for_summary,high mismatch flag; retained pending contextual review
6331,PK95-SC-43,PK95-SC-43,36,-116.6166785,0.050373448,0.051948119,0.003788781,0.001392858,0.003764459,0.051948119,review,pass,pass,retain,retain_for_summary,no analytical exclusion
6332,PK95-SC-56,PK95-SC-56,36,48.42975446,0.064961544,0.065002719,0.012326903,0.004004593,0.011160241,0.065002719,review,review,pass,exclude,exclude,poor analytical precision
6333,PK95-SC-3,PK95-SC-3,36,-96.27885506,0.017249633,0.013924437,0.004009749,0.001520193,0.004132922,0.017249633,pass,pass,pass,retain,retain_for_summary,no analytical exclusion
6334,PK95-SC-3,PK95-SC-3,36,-81.34816936,0.036279785,0.038122476,0.005177298,0.001691829,0.005024566,0.038122476,pass,pass,pass,retain,retain_for_summary,no analytical exclusion
6335,PK95-SC-23,PK95-SC-23,36,-93.7408735,6.45e-4,8.57e-4,0.003544188,0.001688063,0.003590623,8.57e-4,pass,pass,pass,retain,retain_for_summary,no analytical exclusion
6336,PK95-SC-23,PK95-SC-23,36,-94.55473428,0.073335121,0.065265077,0.004315253,0.001659308,0.004246127,0.073335121,review,pass,pass,retain,retain_for_summary,no analytical exclusion
6337,PK95-SC-161,PK95-SC-161,36,-137.9226269,1.09e-10,4.99e-4,0.014670525,0.009134956,0.011752248,4.99e-4,pass,review,pass,retain,retain_for_summary,no analytical exclusion
6338,PK95-SC-161,PK95-SC-161,36,-90.46173714,0.114408332,0.119289608,0.004125513,0.00146999,0.004209181,0.119289608,review,pass,pass,retain,retain_for_summary,no analytical exclusion
6339,PK95-SC-6,PK95-SC-6,36,-106.692122,8.99e-4,4.24e-4,0.004354689,0.001285225,0.004321888,8.99e-4,pass,pass,pass,retain,retain_for_summary,no analytical exclusion
6340,PK95-SC-6,PK95-SC-6,36,-87.87001757,0.025975837,0.029586768,0.004437181,0.001496911,0.004281945,0.029586768,pass,pass,pass,retain,retain_for_summary,no analytical exclusion
6341,PK95-SC-111-SPAR,PK95-SC-111,36,-67.90931795,0.054301069,0.050613923,0.003252473,0.001425898,0.00338847,0.054301069,review,pass,pass,retain,retain_for_summary,no analytical exclusion
6342,PK95-SC-54-SPAR,PK95-SC-54,36,-81.63888653,4.23e-6,5.67e-5,0.003778159,0.001585859,0.003847255,5.67e-5,pass,pass,pass,retain,retain_for_summary,no analytical exclusion
6343,PK95-SC-54-SPAR,PK95-SC-54,36,-80.40286701,0.001199586,0.0021634,0.004312933,0.001349966,0.004281897,0.0021634,pass,pass,pass,retain,retain_for_summary,no analytical exclusion
6344,PK95-SC-22-SPAR,PK95-SC-22,36,-123.1548261,0.144175244,0.134016163,0.003932654,0.001308864,0.003906343,0.144175244,exclude,pass,pass,exclude,exclude,high mass-33/34 mismatch
6345,PK95-SC-22-SPAR,PK95-SC-22,36,-99.73242887,0.007876953,0.005205497,0.00364737,0.001410235,0.003539702,0.007876953,pass,pass,pass,retain,retain_for_summary,no analytical exclusion
6348,PK95-SC-23,PK95-SC-23,36,-109.3085156,0.013627276,0.011393906,0.004172498,0.001463906,0.004069957,0.013627276,pass,pass,pass,retain,retain_for_summary,no analytical exclusion
6349,PK95-SC-23,PK95-SC-23,36,-102.8364889,0.065852255,0.062903901,0.003893038,0.001208866,0.003733978,0.065852255,review,pass,pass,retain,retain_for_summary,no analytical exclusion
6350,PK95-SC-63,PK95-SC-63,36,-97.64414561,0.012414157,0.01134426,0.004989239,0.0013517,0.005070288,0.012414157,pass,pass,pass,retain,retain_for_summary,no analytical exclusion
