petm_phase,mean_c,median_c,lower50_c,upper50_c,lower80_c,upper80_c,lower95_c,upper95_c,n_horizons
Post-PETM,30.631657491553987,31.06909363855978,23.638821947296435,37.121751998301754,19.427943471412906,41.22541929074051,15.718772575035326,45.5126052073785,19
PETM,31.1529147991062,31.447962309043177,26.546321687971613,35.26517857875607,23.054637732450487,40.26372662546645,16.306603688973755,44.809641550668736,20
Pre-PETM,36.45180213207456,35.79445344984315,30.170029941177884,41.627004144188206,27.92943398497809,47.80272439412887,25.451774680487983,50.56186703770665,14
