section_id,MLA_sample_id,MLA_horizon_id,strat_height_m,IPLD47_n_T47,IPLD47_mean_T47_C,IPLD47_sd_T47_C,IPLD47_se_T47_C,IPLD47_min_T47_C,IPLD47_max_T47_C,IPLD47_range_T47_C,IPL_NuDog_d13Ccarb_VPDB,IPL_NuDog_d18Ocarb_VPDB,IPL_NuDog_d18Ocarb_VSMOW,IPLD47_sessions,IPLD47_IPLnums,IPLD47_sample_type
CFB,PB-00-03-08,PB-00-03-08,1494.4,3,18.42089859750293,10.72034705998195,6.189395260886792,6.071016681967137,25.328064650924546,19.25704796895741,-9.1485930005,-7.5430913375,23.14367628,Ben protocol (IPL >=4800),"4860, 4862, 4863",primary
CFB,PK95-SC-23,PK95-SC-23,1495,3,34.03333333333333,4.015387071420802,2.318284806585343,30.5,38.4,7.899999999999999,-8.54567521,-8.430584045,22.228742296666667,Session 1,"4702, 4741, 4749",primary
CFB,PK95-SC-80-n1,PK95-SC-80-n1,1495,2,23.33737383398102,10.376613588217435,7.337373833981021,16,30.67474766796204,14.674747667962041,-9.6310303045,-7.973432857000001,22.700028595,"Ben protocol (IPL >=4800), Session 1","4758, 4854",primary
CFB,PK95-SC-80-n2,PK95-SC-80-n2,1495,2,23.35,3.181980515339464,2.25,21.1,25.6,4.5,-14.722874195,-7.7878648855,22.89133433,Session 1,"4705, 4779",primary
CFB,PB-00-03-10,PB-00-03-10,1495.4,2,26.286242522067965,3.794958957488247,2.68344121316457,23.602801308903395,28.969683735232536,5.366882426329141,-9.7539926305,-8.3811973095,22.27965607,Ben protocol (IPL >=4800),"4898, 4899",primary
CFB,PB-00-03-16,PB-00-03-16,1507.4,3,32.311274444728134,2.4864067797189806,1.435527623585664,29.62419168566163,34.530548865021046,4.906357179359418,-14.551922356666667,-7.7163561959999996,22.965054073333334,Ben protocol (IPL >=4800),"4865, 4866, 4868",primary
CFB,PK95-SC-27,PK95-SC-27,1525,7,42.00605409624572,8.199463173066539,3.09910577716666,34.02544533353415,58.3,24.274554666465846,-10.19569898342857,-9.943213275142858,20.66934256857143,"Ben protocol (IPL >=4800), Session 1","4696, 4743, 4777, 4890, 4891, 4892, 4945",primary
CFB,PK95-SC-6,PK95-SC-6,1530,1,38.62575505196549,NA,NA,38.62575505196549,38.62575505196549,0,-9.345202101,-7.902158765,22.77350649,Ben protocol (IPL >=4800),4967,primary
CFB,PK95-SC-4,PK95-SC-4,1570,4,50.859067172058204,18.217980746585315,9.108990373292658,34.12939185829396,68.68730314618244,34.55791128788849,-8.760527528,-8.0117256775,22.660551765,Ben protocol (IPL >=4800),"4878, 4880, 4937, 4948",primary
CFB,PB-00-04-14,PB-00-04-14,1574.7,2,24.60021023107481,1.2229515887157447,0.8647573614437647,23.735452869631047,25.464967592518576,1.7295147228875294,-8.6235820425,-8.163127016,22.5044691,Ben protocol (IPL >=4800),"4896, 4897",primary
CFB,PB-00-04-16,PB-00-04-16,1594.2,4,22.48703442058863,5.531464046478457,2.7657320232392286,16.290132790055793,29.530892049296483,13.24075925924069,-9.271010862333334,-8.325059053666667,22.33753012,Ben protocol (IPL >=4800),"4870, 4872, 4873, 5010",primary
CFB,PK95-SC-43,PK95-SC-43,1600,3,25.725475983276663,3.246097115918487,1.8741350436912065,22.09373299644693,28.344453101241697,6.250720104794766,-8.031401562000001,-8.517962812,22.138661776666666,Ben protocol (IPL >=4800),"4875, 4876, 4877",primary
CFB,PK95-SC-160,PK95-SC-160,1720,3,37.2180541850797,3.2945729944974778,1.9021226052379903,35.11676465542399,41.01508711447781,5.898322459053816,-8.907601335333334,-8.721958138333333,21.928358916666667,Ben protocol (IPL >=4800),"4939, 4949, 4951",primary
CFB,PK95-SC-133,PK95-SC-133,1750,4,19.730323956092377,3.782504444671506,1.891252222335753,14.211843321041158,22.63171778186978,8.419874460828623,-9.422324576000001,-8.3506164585,22.31118248,Ben protocol (IPL >=4800),"4893, 4895, 4934, 4958",primary
CFB,PK95-SC-31,PK95-SC-31,1760,5,27.7446023852224,4.5739891376930535,2.0455501280454627,21.568021613848487,32.404134789051454,10.836113175202968,-9.1256214002,-8.418788517,22.240902542,Ben protocol (IPL >=4800),"4940, 4954, 4975, 4977, 4978",primary
CFB,PK95-SC-224,PK95-SC-224,1815,2,30.58675522242038,5.507194136927252,3.8941743195320555,26.692580902888324,34.480929541952435,7.788348639064111,NA,NA,NA,Ben protocol (IPL >=4800),"4997, 4998",primary
CFB,PK95-SC-35,PK95-SC-35,1870,2,34.942255775164995,6.652747522169023,4.7042028864477174,30.238052888717277,39.64645866161271,9.408405772895435,NA,NA,NA,Ben protocol (IPL >=4800),"4994, 4995",primary
CFB,PK95-SC-63,PK95-SC-63,1910,4,28.47392913784691,3.173614429809742,1.586807214904871,24.16131176272927,31.425438421017702,7.264126658288433,-6.89119709575,-9.103322081750001,21.5352032,Ben protocol (IPL >=4800),"4962, 4971, 4972, 4974",primary
CFB,PK95-SC-3,PK95-SC-3,1935,1,35.17839439342703,NA,NA,35.17839439342703,35.17839439342703,0,-9.048149896,-8.455203942,22.20336115,Ben protocol (IPL >=4800),4968,primary
CFB,PK95-SC-111,PK95-SC-111,2005,2,34.53936767684229,0,0,34.53936767684229,34.53936767684229,0,-9.061207357,-7.909996864,22.76542603,Ben protocol (IPL >=4800),4961,primary
CFB,PK95-SC-303,PK95-SC-303,2110,1,24.137565541412418,NA,NA,24.137565541412418,24.137565541412418,0,-8.353007201,-8.292387903,22.37121146,Ben protocol (IPL >=4800),4965,primary
