MLA_horizon_id,IPL17O_mean_dp17Ocarb,IPL17O_sd_dp17Ocarb,IPL17O_se_dp17Ocarb,IPL17O_n_dp17Ocarb,IPL17O_mean_dp18Ocarb,IPL17O_sd_dp18Ocarb,IPL17O_se_dp18Ocarb,IPL17O_n_dp18Ocarb,IPL17O_mean_Dp17Ocarb,IPL17O_sd_Dp17Ocarb,IPL17O_se_Dp17Ocarb,IPL17O_n_Dp17Ocarb,IPL17O_n_analyses,strat_height_m,IPL17O_sd_Dp17Ocarb_adj,IPL17O_se_Dp17Ocarb_adj,IPL17O_ci95_Dp17Ocarb_adj,IPL17O_mean_d17Ocarb,IPL17O_mean_d18Ocarb,IPLD47_n_T47,IPLD47_mean_T47_C,IPLD47_sd_T47_C,IPLD47_se_T47_C,IPLD47_min_T47_C,IPLD47_max_T47_C,IPLD47_range_T47_C,IPLD47_sessions,IPLD47_sample_type,CU_sample_id,CU_mean_d13Ccarb_vpdb,CU_mean_d18Ocarb_vpdb,CU_se_d18Ocarb_vpdb,CU_mean_d18Ocarb_vsmow,CU_mean_D47_ICDES,CU_se_D47_ICDES,CU_mean_T47_C,CU_2se_T47_C,CU_mean_d18Ow_vsmow,CU_se_d18Ow_vsmow,Snell_sample_id,Snell_Age_Ma,Snell_sample_type,Snell_mean_d18Ow_vsmow,Snell_mean_d18Ocarb_vsmow,Snell_mean_d13Ccarb_vpdb,Snell_mean_D47,Snell_se_D47,Snell_mean_T47_C,Snell_se_T47_C,Snell_sample_group,Koch_mean_d13Ccarb_vpdb,Koch_se_d13Ccarb_vpdb,Koch_n_d13Ccarb,Koch_mean_d18Ocarb_vpdb,Koch_se_d18Ocarb_vpdb,Koch_n_d18Ocarb_vpdb,Koch_mean_d18Ocarb_vsmow,Koch_se_d18Ocarb_vsmow,Koch_n_d18Ocarb_vsmow,Bowen_mean_d13Ccarb_vpdb,Bowen_se_d13Ccarb_vpdb,Bowen_n_d13Ccarb,Bowen_mean_d18Ocarb_vpdb,Bowen_se_d18Ocarb_vpdb,Bowen_n_d18Ocarb_vpdb,Bowen_mean_d18Ocarb_vsmow,Bowen_se_d18Ocarb_vsmow,Bowen_n_d18Ocarb_vsmow,Age_Ma,T_model_C,T_model_se_C,T_model_lower95_C,T_model_upper95_C,T_measured_C,T_measured_se_C,n_T_obs,T_sources,T_model_anchor_C,has_measured_T47
PK95-SC-92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1210,NA,NA,NA,NA,NA,3,28.6,3.858756276314949,2.227853974867594,24.9,32.6,7.700000000000003,"Session 1, Session 2",primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.82,NA,1,-7.87,NA,1,22.8,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.575,30.341589474828293,4.496788977827524,21.527883078286344,39.15529587137024,28.6,2.227853974867594,1,IPL,30.34,TRUE
SNELL-SC-188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SC-188,56.2,Paleosol Micrite,-5.6,21.4,-6.9,0.618,0.025,31.4,6.1,Primary paleosol micrite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.55,30.397777881173504,4.496788977827524,21.584071484631558,39.21148427771545,31.399999999999995,6.1,1,Snell,30.4,TRUE
PK95-SC-93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.87,NA,1,-8.68,NA,1,21.96,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.475,29.53585047939742,4.496788977827524,20.722144082855472,38.34955687593937,NA,NA,0,NA,NA,FALSE
PK95-SC-188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.6,0.05131601439446882,3,-8.523333333333333,0.11140516644712288,3,22.123333333333335,0.11464922347946643,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.4,29.64130369277128,4.406151003616044,21.005247725683837,38.277359659858725,NA,NA,0,NA,NA,FALSE
SNELL-SC-62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SC-62,56,Paleosol Micrite,-4.5,22.6,-8.1,0.619,0.017,31.2,4.3,Primary paleosol micrite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.3375,33.12231683531285,3.1633315770982127,26.922186944200355,39.32244672642535,31.2,4.3,1,Snell,33.11666666666667,TRUE
PK95-SC-118up,10.555286376,0.7903163409948522,0.5588380439999998,2,20.191149895,1.506587411327554,1.0653181749999998,2,-90.50807056,5.161815297366057,3.649954599999994,2,2,1325,12,8.48528137423857,16.631151493507595,10.611189930782585,20.39637004517081,4,36.75,3.1890437438203967,1.5945218719101983,32.9,40.7,7.800000000000004,"Session 1, Session 2",primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.75,0.17785762095938798,3,-9.546666666666669,0.26295331229030844,3,21.066666666666663,0.2716820036570537,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.29375,38.093635502356676,3.1633315770982127,31.89350561124418,44.29376539346917,36.75,1.5945218719101983,1,IPL,38.1,TRUE
PK95-SC-176,11.658003405,0.1843506220959436,0.13035557500000028,2,22.268926615,0.3487580116063685,0.2466091549999998,2,-84.85714516,0.2063948527761361,0.14594320000000494,2,2,1355,12,8.48528137423857,16.631151493507595,11.7262227694781,22.518729999528865,4,46.35,5.995831885568506,2.997915942784253,40,54.4,14.4,"Session 1, Session 2",primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.67,NA,1,-8.29,NA,1,22.36,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.25625,39.745159279827334,3.1633315770982127,33.54502938871484,45.94528917093983,46.35,2.997915942784253,1,IPL,39.74444444444445,TRUE
PK95-SC-116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.666666666666667,0.2899041987354523,3,-8.76,0.13228756555322985,3,21.88,0.13796134724383236,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.225,37.87068183077248,2.175452273113017,33.606795375470966,42.134568286074,NA,NA,0,NA,NA,FALSE
PK95-SC-49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.225,37.87068183077248,2.175452273113017,33.606795375470966,42.134568286074,NA,NA,0,NA,NA,FALSE
PK95-SC-62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.92,0.08000000000000007,2,-8.195,0.15500000000000025,2,22.46,0.16000000000000014,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.225,37.87068183077248,2.175452273113017,33.606795375470966,42.134568286074,NA,NA,0,NA,NA,FALSE
