dataset,temperature_record,proxy_type,section_id,Age_Ma,age_younger_ma,age_older_ma,temperature_C,temperature_se_C
U-M CFB D47,CFB soil carbonate D47,Warm-season soil temperature,CFB,55.36780446927374,55.36780446927374,55.36780446927374,37.2180541850797,1.9021226052379905
U-M CFB D47,CFB soil carbonate D47,Warm-season soil temperature,CFB,55.29422905027933,55.29422905027933,55.29422905027933,19.730323956092377,1.891252222335753
U-M CFB D47,CFB soil carbonate D47,Warm-season soil temperature,CFB,55.26970391061453,55.26970391061453,55.26970391061453,27.7446023852224,2.0455501280454627
Caltech CFB D47,CFB soil carbonate D47,Warm-season soil temperature,CFB,55.073502793296086,55.073502793296086,55.073502793296086,26.8,5.2
U-M CFB D47,CFB soil carbonate D47,Warm-season soil temperature,CFB,54.90182681564246,54.90182681564246,54.90182681564246,28.47392913784691,1.586807214904871
U-M CFB D47,CFB soil carbonate D47,Warm-season soil temperature,CFB,54.84051396648045,54.84051396648045,54.84051396648045,35.17839439342703,2.2191225849324354
Caltech CFB D47,CFB soil carbonate D47,Warm-season soil temperature,CFB,54.75467597765363,54.75467597765363,54.75467597765363,36.2,1.5
U-M CFB D47,CFB soil carbonate D47,Warm-season soil temperature,CFB,54.668837988826816,54.668837988826816,54.668837988826816,34.53936767684229,2.2191225849324354
U-M CFB D47,CFB soil carbonate D47,Warm-season soil temperature,CFB,54.41132402234636,54.41132402234636,54.41132402234636,24.137565541412418,2.2191225849324354
Caltech CFB D47,CFB soil carbonate D47,Warm-season soil temperature,CFB,54.16607262569832,54.16607262569832,54.16607262569832,35.6,1.8
Snell et al. (2013),MCP soil carbonate D47,Warm-season soil temperature,MCP,53.73953125,53.73953125,53.73953125,30,2.3
Snell et al. (2013),MCP soil carbonate D47,Warm-season soil temperature,MCP,53.42875,53.42875,53.42875,33.8,2
Snell et al. (2013),MCP soil carbonate D47,Warm-season soil temperature,MCP,52.92727272727274,52.92727272727274,52.92727272727274,41.5,2.3
Snell et al. (2013),MCP soil carbonate D47,Warm-season soil temperature,MCP,52.92727272727274,52.92727272727274,52.92727272727274,44.8,8.9
Wing et al. (2000),Wing leaf-margin MAT,Mean annual air temperature,AGGREGATE_BHB,56.347,56.037,56.657000000000004,12.9,2.4
Wing et al. (2000),Wing leaf-margin MAT,Mean annual air temperature,AGGREGATE_BHB,55.763,55.598,55.928,15.8,2.2
Wing et al. (2000),Wing leaf-margin MAT,Mean annual air temperature,AGGREGATE_BHB,55.393,55.268,55.518,15.7,2.4
Wing et al. (2000),Wing leaf-margin MAT,Mean annual air temperature,AGGREGATE_BHB,54.987,54.787,55.187000000000005,18.2,2.3
Wing et al. (2000),Wing leaf-margin MAT,Mean annual air temperature,AGGREGATE_BHB,54.568,54.382999999999996,54.753,16.4,2.7
Wing et al. (2000),Wing leaf-margin MAT,Mean annual air temperature,AGGREGATE_BHB,53.808,53.723,53.893,10.8,3.3
Wing et al. (2000),Wing leaf-margin MAT,Mean annual air temperature,AGGREGATE_BHB,53.411,53.356,53.466,15.8,2.2
Wing et al. (2000),Wing leaf-margin MAT,Mean annual air temperature,AGGREGATE_BHB,52.842,52.836999999999996,52.847,22.2,2
Fricke and Wing (2004),Fricke and Wing MAAT,Mean annual air temperature,AGGREGATE_BHB,52.92,52.83,53.01,18.3,NA
Fricke and Wing (2004),Fricke and Wing MAAT,Mean annual air temperature,AGGREGATE_BHB,55.9,55.75,55.93,25.3,NA
