Sample.ID,Strat,n_T47,mean_T47,sd_T47,se_T47,min_T47,max_T47,range_T47,sessions,sample_type
PK95-SC-22-SPAR,1460,2,43.5,6.081118318204305,4.299999999999997,39.2,47.8,8.599999999999994,Session 2,spar
PK95-SC-4-SPAR,1570,2,81.65,2.4748737341529163,1.7499999999999998,79.9,83.4,3.5,Session 2,spar
