section_id,MLA_horizon_id,strat_height_m,p_altered_preservation,p_altered_preservation_lower_sensitivity,p_altered_preservation_upper_sensitivity,alteration_evidence_class,probability_model_version,source,T_C,T_se_C,d18Ocarb_vsmow,passes_d18Ocarb_screen,passes_temperature_screen,passes_talk_temperature_model_screen,talk_screen_exclusion_reason,T_se_imputed,weight,used_in_primary_temperature_model
CFB,PB-00-03-17,1507.8,0.05,0.05,0.05,low,BHB_d18O_trajectory_index_v2,CU,36.6,2.4,22.977075465654323,TRUE,TRUE,TRUE,NA,FALSE,0.1736111111111111,TRUE
CFB,PB-00-01-07,1508.7,0.05,0.05,0.05,low,BHB_d18O_trajectory_index_v2,CU,33.4,1.9,22.894971528824243,TRUE,TRUE,TRUE,NA,FALSE,0.2770083102493075,TRUE
CFB,PB-00-03-20,1512.3,0.05,0.05,0.05,low,BHB_d18O_trajectory_index_v2,CU,35.3,1.9,22.6599222925316,TRUE,TRUE,TRUE,NA,FALSE,0.2770083102493075,TRUE
CFB,PB-00-02-02,1520.5,0.05,0.05,0.05,low,BHB_d18O_trajectory_index_v2,Caltech,36.8,2.5,22.4,TRUE,TRUE,TRUE,NA,FALSE,0.16,TRUE
CFB,SNELL-SC-351-n1,1524,0.05,0.05,0.05,low,BHB_d18O_trajectory_index_v2,Caltech,40.4,6.4,23,TRUE,TRUE,TRUE,NA,FALSE,0.024414062499999997,TRUE
CFB,PK95-SC-27,1525,0.6827964583232249,0.6827964583232249,0.6827964583232249,substantial,BHB_d18O_trajectory_index_v2,U-M,42.51428571428571,2.9178782711830484,20.66934256857143,TRUE,TRUE,TRUE,NA,FALSE,0.11745341813416858,TRUE
CFB,PB-00-02-07D,1526.3,0.05,0.05,0.05,low,BHB_d18O_trajectory_index_v2,CU,32.4,2.2,23.15594138770628,TRUE,TRUE,TRUE,NA,FALSE,0.20661157024793386,TRUE
CFB,PK95-SC-6,1530,0.05,0.05,0.05,low,BHB_d18O_trajectory_index_v2,U-M,42.4,2.1444346574330497,22.77350649,TRUE,TRUE,TRUE,NA,TRUE,0.21745748706127946,TRUE
CFB,PB-00-02-09L,1530.5,0.05,0.05,0.05,low,BHB_d18O_trajectory_index_v2,CU,27.2,1.8,22.808913397304003,TRUE,TRUE,TRUE,NA,FALSE,0.30864197530864196,TRUE
CFB,PB-00-02-19,1545.1,0.05,0.05,0.05,low,BHB_d18O_trajectory_index_v2,CU,25.1,2.5,22.2702923052884,TRUE,TRUE,TRUE,NA,FALSE,0.16,TRUE
CFB,PB-00-02-21,1549,0.09415056808418215,0.09415056808418215,0.09415056808418215,low,BHB_d18O_trajectory_index_v2,CU,31.7,2.1444346574330497,22.14389544941696,TRUE,TRUE,TRUE,NA,TRUE,0.21745748706127946,TRUE
CFB,PK95-SC-4,1570,0.05,0.05,0.05,low,BHB_d18O_trajectory_index_v2,U-M,54.35,11.1091928899748,22.660551765,TRUE,FALSE,FALSE,T > 50 C,FALSE,0.008102797490833712,FALSE
