MLA_sample_id,MLA_horizon_id,reactor_id,IPL_num,Name_full,comments,d17O,d.17O,d17O.err,d18O,d.18O,d18O.err,CAP.17O,CAP17O.err,d33,d33.err,d34,d34.err,d35,d35.err,d36,d36.err,33_mismatch,34_mismatch,dp17O_O2_SMOWSLAP,dp18O_O2_SMOWSLAP,Dp17O_O2_SMOWSLAP2,dp17Ocarb_SMOWSLAP,dp18Ocarb_SMOWSLAP,Dp17Ocarb_permeg_final_correction,final_correction?
PB-00-03-08,PB-00-03-08,31,5502,Data_3267 IPL-17O-5503 PB-00-03-08-R31-1 1,"analysis 5502,  ran as 5503",11.6834658761456,11.6157407894433,0.00455290018168489,22.6624420693806,22.4094638153609,0.00165163348949232,-0.216456105067221,0.00438195011020944,1.36936145317793,0.00450648340263744,2.31543866449142,0.00161877240957887,1.70750434701334,0.164462827665294,98.5328582398874,0.128966243505127,0.0139026813569841,0.0127186613170767,12.12093213218901,23.28777822441838,-175.01477030389447,9.85920102296772,18.9176709517519,-106.47607956282201,TRUE
PB-00-03-08,PB-00-03-08,31,5503,Data_3268 IPL-17O-5504 PB-00-03-08-R31-2 1,"analysis 5503,  ran as 5504",13.3819477191925,13.2932000563189,0.0037416569463323,25.9319248035135,25.6013943870602,0.00189045001387687,-0.224336180048905,0.00393623483621852,3.05052728812489,0.00370351078524691,5.51987141381308,0.00185283741436788,6.91896374623851,0.15034134213431,104.646100404686,0.0640277242495631,0.00672380537476326,0.00780225979072629,13.849746930840459,26.572547071917583,-180.55792313202625,11.588015821619203,22.202439799251184,-112.0192323909609,TRUE
PB-00-03-16,PB-00-03-16,31,5504,Data_3269 IPL-17O-5504 PB-00-03-16-R31-1 1,,13.6601622355422,13.5677027520474,0.00522823041155975,26.441148886797,26.0976239768732,0.00140378701972363,-0.211842707741683,0.00520239533763894,3.32590540982104,0.00517492864650188,6.01896391923652,0.00137585712018359,7.53757525482662,0.129837505575875,91.4055116593626,0.064411093374269,0.0155747684383347,0.013774845762476,14.132645378181866,27.083182248390234,-167.27484896817833,11.870914268960538,22.713074975723817,-98.73615822717517,TRUE
PB-00-04-16,PB-00-04-16,31,5506,Data_3271 IPL-17O-5506 PB-00-04-16-R31-1 1,,13.4518037696755,13.3621309665221,0.00545363282562793,26.079249930675,25.7449853779865,0.00138328620254712,-0.231221313054748,0.00508959614918849,3.11967115676086,0.00539803308485202,5.664265344188,0.00135576418950362,6.69955505518989,0.154700909062962,121.028402128843,0.101137732930863,0.0638957904987535,0.0611392589657976,13.920786580552434,26.720307254903794,-187.53565003676977,11.659055471331119,22.350199982237356,-118.99695929574347,TRUE
PB-00-04-16,PB-00-04-16,31,5507,Data_3272 IPL-17O-5507 PB-00-04-16-R31-2 1,,13.2994474254821,13.2117854508972,0.00606835496248759,25.7640364882882,25.4377362232685,0.00280107894944627,-0.219339274988507,0.00570490775826069,2.96886808421467,0.00600648813470011,5.35532342280522,0.00274534837738386,6.36885499988291,0.137450177466248,121.95011115233,0.0686164873372375,1.3364096099203e-7,6.78214560659141e-5,13.76584230137741,26.40413635597982,-175.54169457993572,11.504111192156063,22.03402908331328,-107.00300383888637,TRUE
PB-00-02-19,PB-00-02-19,31,5508,Data_3273 IPL-17O-5508 PB-00-02-19-R31-1 1,,13.7489271750913,13.655267500379,0.00595509513397081,26.6180725679705,26.2699752440231,0.0014489768549287,-0.215279428465252,0.00584849673651227,3.4137653915583,0.00589438298918359,6.19236750756691,0.00142014785350473,7.09594600510231,0.147132381496555,120.817202579671,0.0899906465537764,0.0351791602397249,0.0388681477915776,14.22288789809223,27.26053517948524,-170.67467667597748,11.961156788870923,22.890427906818903,-102.1359859349956,TRUE
PB-00-02-19,PB-00-02-19,31,5509,Data_3274 IPL-17O-5509 PB-00-02-19-R31-2 1,,13.3413688585448,13.2531560272502,0.00505861949450048,25.8092167203387,25.4817808183772,0.00113706159725556,-0.201224244852953,0.00488888074634417,3.01036212862007,0.00500704691131406,5.39960474403478,0.00111443849579383,6.39604575626492,0.155198224702328,129.949779556415,0.073893768821939,0.0879905216063357,0.0916065569229225,13.80847820884338,26.449459960026775,-156.83665005075653,11.546747099622126,22.07935268736043,-88.2979593097196,TRUE
PB-00-02-07D,PB-00-02-07D,31,5510,Data_3275 IPL-17O-5510 PB-00-02-07d-R31-1 1,,13.8419246678115,13.7469998223935,0.00436532715869768,26.8297732814574,26.4761657297858,0.00161796532835222,-0.232415682933373,0.00437455724401044,3.50581477562259,0.0043208226850412,6.39985620058553,0.00158577411384064,6.97356112145341,0.149486771563262,94.0912087965554,0.0617655466087992,0.0264621853396016,0.0247132281973821,14.317424691586442,27.472708190883843,-188.16523320022682,12.055693582365198,23.102600918217455,-119.62654245915616,TRUE
PB-00-02-07D,PB-00-02-07D,31,5512,Data_3277 IPL-17O-5512 PB-00-02-07d-R31-2 1,Previous sample is lost,14.047979378341,13.9502206232195,0.00440235925752089,27.1716183400075,26.8090232894561,0.00295763074141733,-0.204943673613309,0.00465041670407635,3.70976876011183,0.0043574772419288,6.73489987259392,0.00289878539783812,8.1500958340232,0.132528662637574,86.8961933858626,0.0626331041537747,0.0648140534929811,0.06071718778593,14.52685820007943,27.81522088780234,-159.57842868020754,12.265127090858167,23.44511361513589,-91.03973793912266,TRUE
PB-00-04-11,PB-00-04-11,32,5692,Data_3458 IPL-17O-5692 PB-00-04-11-R32-01 1,,12.548237222876,12.4701601782843,0.00451108532922183,24.3374427637947,24.0460062425669,0.00145568885931893,-0.226131117791087,0.00442169032270389,2.22531646330402,0.00446509485224283,3.95711336253521,0.00142672631512393,2.89304257901747,0.1481460908837,471.005465211418,0.133654765841342,0.0174643614767225,0.0145291831148828,13.352725665273988,25.65739592906133,-194.37938527039478,11.448275908312594,21.963957884159964,-106.18951905302794,TRUE
