section_id,MLA_horizon_id,strat_height_m,Koch_mean_d13Ccarb_vpdb,Koch_se_d13Ccarb_vpdb,Koch_n_d13Ccarb,Koch_mean_d18Ocarb_vpdb,Koch_se_d18Ocarb_vpdb,Koch_n_d18Ocarb_vpdb,Koch_mean_d18Ocarb_vsmow,Koch_se_d18Ocarb_vsmow,Koch_n_d18Ocarb_vsmow
CFB,PK95-SC-351-4,1532.3,-13.83,0.05000000000000071,2,-7.84,0.040000000000000036,2,22.83,0.040000000000000924,2
CFB,PK95-SC-351-5,1534,-13.56,NA,1,-8.04,NA,1,22.62,NA,1
CFB,PK95-SC-351-6,1537.8,-13.49,0.07000000000000027,2,-7.915,0.004999999999999893,2,22.755000000000003,0.005000000000000782,2
CFB,PK95-SC-351-?,1524,-14.66,NA,1,-7.51,NA,1,23.17,NA,1
CFB,PK95-SC-4,1570,-8.37,0.12489995996796786,3,-8.003333333333334,0.07535103036971563,3,22.66,0.07810249675906648,3
CFB,PK95-SC-43,1600,-7.49,NA,1,-8.9,NA,1,21.73,NA,1
CFB,PK95-SC-49,1380,NA,NA,0,NA,NA,0,NA,NA,0
CFB,PK95-SC-50,1425,NA,NA,0,NA,NA,0,NA,NA,0
CFB,PK95-SC-54,1700,-8.305,0.07500000000000018,2,-9.085,0.14500000000000046,2,21.54,0.15000000000000036,2
CFB,PK95-SC-56,1385,NA,NA,0,NA,NA,0,NA,NA,0
CFB,PK95-SC-62,1380,-7.92,0.08000000000000007,2,-8.195,0.15500000000000025,2,22.46,0.16000000000000014,2
CFB,PK95-SC-64,1970,-8.25,0.06000000000000049,2,-8.185,0.04499999999999993,2,22.475,0.04499999999999993,2
CFB,PK95-SC-67,1503.2,-8.56,NA,1,-7.58,NA,1,23.1,NA,1
CFB,PK95-SC-67-1,1503.2,-9.29,0.0699999999999994,2,-8.184999999999999,0.08499999999999996,2,22.47,0.08999999999999986,2
CFB,PK95-SC-67-2,1511.1,-9.870000000000001,0.1299999999999999,2,-8.705,0.14499999999999957,2,21.939999999999998,0.15000000000000036,2
CFB,PK95-SC-67-3,1520,-14.23,0.11633285577743416,4,-7.7,0.15005554527129847,4,22.975,0.15505375411987468,4
CFB,PK95-SC-67-5,1527,-14.059999999999999,0.020000000000000462,2,-7.455,0.054999999999999716,2,23.225,0.054999999999999716,2
CFB,PK95-SC-67-6,1534,-13.725,0.14499999999999957,2,-7.805,0.06499999999999995,2,22.865000000000002,0.0649999999999995,2
CFB,PK95-SC-67-8,1548.9,-12.094999999999999,0.07500000000000018,2,-8.24,0.08999999999999986,2,22.415,0.09500000000000064,2
CFB,PK95-SC-67-9,1559.6,-9.91,NA,1,-8.59,NA,1,22.05,NA,1
CFB,PK95-SC-68,1524,-14.13,NA,1,-9.02,NA,1,21.61,NA,1
CFB,PK95-SC-80,1495,-8.53,NA,1,-7.94,NA,1,22.72,NA,1
CFB,PK95-SC-85,860,-7.55,NA,1,-8.34,NA,1,22.31,NA,1
CFB,PK95-SC-92,1210,-7.82,NA,1,-7.87,NA,1,22.8,NA,1
CFB,PK95-SC-93,1250,-9.87,NA,1,-8.68,NA,1,21.96,NA,1
