Counter,Sample_Name,Sample,Date,DateTime,IPLnum,d13C.PDB,d13C.err,d18O.rawPDB,d18O.err,d18O.rawSMOW,d45,d45.err,d46,d46.err,d47,d47.err,d48,d48.err,d49,d49.err,D472,D47.err3,D484,D48.err5,D496,D49.err7,Comments,D47@d47=0,D47 CDES,D47 CDES carb corr,T(D47) Petersen,T47_preferred
4342,PK95-SC-179-02,IPL-CI-4706 PK95-SC-179-02,20260218.09,46071.38105,4706,-7.503373593,0.003554251,-0.203842731,0.003911798,30.69985649,2.873899117,0.003520512,-1.33474983,0.003901367,1.305569572,0.008170195,-2.768693935,0.022712354,-25.6589617,1.557056966,-0.366568037,0.005988595,-0.127678175,0.018580173,-26.16405762,1.553933081,,-0.368279243,0.553697297,,40.90896899,40.90896899
4345,PK95-SC-279-02,IPL-CI-4709 PK95-SC-279-02,20260218.16,46071.68178,4709,-8.29635209,0.003222405,-1.460154025,0.003640423,29.40471261,2.083718785,0.00257802,-2.590063123,0.00363059,-0.77686914,0.009904924,-5.286501979,0.028010425,-28.41849657,1.863785454,-0.394741503,0.008189872,-0.136632238,0.02600196,-25.6815388,1.863759529,,-0.393723263,0.526078872,,52.71114078,52.71114078
4375,PK95-SC-23-02,IPL-CI-4741 PK95-SC-23-02,20260226.12,46079.49372,4741,-8.242535655,0.001319891,-0.436648122,0.004124571,30.45985508,2.165410043,0.003251343,-1.568624257,0.004114953,0.37476866,0.010645947,-3.288640262,0.026014426,-16.96472204,1.261046285,-0.342941456,0.007522424,-0.157546028,0.023263999,-16.26822708,1.263393323,,-0.343432665,0.580667225,,30.53961871,30.53961871
4377,PK95-SC-27-02,IPL-CI-4743 PK95-SC-27-02,20260226.17,46079.70375,4743,-9.939060001,0.003648868,-1.847987217,0.00439719,29.0048915,0.517587732,0.003715508,-2.980515844,0.004385464,-2.731888127,0.011132202,-6.063133817,0.03211855,-28.82921808,1.807675569,-0.365642719,0.00778657,-0.129931142,0.02501564,-23.7418589,1.823700454,,-0.362062042,0.560445811,,38.21497424,38.21497424
4378,PK95-SC-185-03,IPL-CI-4744 PK95-SC-185-03,20260227.09,46080.36902,4744,-8.760731821,0.000891276,-0.350232645,0.004121842,30.54894166,1.683966109,0.000576307,-1.483480924,0.004112234,-0.057626308,0.01110728,-3.092717002,0.024739388,-22.01952515,1.721928509,-0.347166387,0.008498901,-0.1350584,0.024895707,-20.95597662,1.728392328,,-0.347090857,0.57669641,,32.00202814,32.00202814
4380,PK95-SC-50-02,IPL-CI-4746 PK95-SC-50-02,20260227.15,46080.65213,4746,-8.481308477,0.000511127,-1.437144073,0.003696161,29.4284338,1.909285621,0.000468448,-2.567504538,0.003688114,-0.912818,0.00889299,-5.200765118,0.026187493,-26.80261783,1.630233739,-0.360110252,0.007699905,-0.084935967,0.02228268,-23.88396987,1.633167074,,-0.358913824,0.563863071,,36.87698651,36.87698651
4381,PK95-SC-165-03,IPL-CI-4747 PK95-SC-165-03,20260228.11,46081.47372,4747,-6.906370906,0.001508343,-0.219416859,0.004326783,30.68380097,3.438316125,0.001111177,-1.34905087,0.004316352,1.905595352,0.010280075,-2.775452585,0.028774461,-20.04368341,1.759258845,-0.328834512,0.00626104,-0.098662498,0.022840919,-21.06528909,1.756513149,,-0.33133217,0.593801809,,25.84801027,25.84801027
4383,PK95-SC-23-03,IPL-CI-4749 PK95-SC-23-03,20260228.19,46081.81951,4749,-8.262254387,0.001447074,-0.443344659,0.004353307,30.45295156,2.151056162,0.001040109,-1.575347575,0.004342819,0.330239562,0.008047839,-3.290901226,0.021788039,-13.48919818,1.623864517,-0.349581764,0.00508255,-0.164748948,0.020645625,-12.72840233,1.625432095,last analysis before lab power outage,-0.350014608,0.5735228,,33.18614824,33.18614824
4391,PK95-SC-80-n-1-01,IPL-CI-4758 PK95-SC-80-n-1-01,20260305.12,46086.5213,4758,-9.597949192,0.00061856,0.087466309,0.003379882,31.00016989,0.908990488,0.000455898,-1.048467502,0.003372196,-0.388722313,0.010169237,-2.231680937,0.020220262,-19.09982915,1.750765101,-0.304431106,0.007172685,-0.139160452,0.020165522,-18.04617487,1.751672893,,-0.303921609,0.623554833,,15.97667613,15.97667613
4393,PK95-SC-118up-02,IPL-CI-4760 PK95-SC-118up-02,20260306.09,46087.38876,4760,-8.498843223,0.000678099,-1.739040354,0.004016813,29.11720591,1.881992219,0.00057819,-2.868797662,0.00400764,-1.236126978,0.007821711,-5.845441288,0.021552049,-24.46990415,1.674136812,-0.359617821,0.005261664,-0.129237442,0.019297503,-20.92571234,1.682162348,,-0.357997634,0.564857557,,36.490836,36.490836
4394,PK95-SC-92-01,IPL-CI-4761 PK95-SC-92-01,20260306.12,46087.4934,4761,-8.537923599,0.00105943,-0.245046376,0.003604639,30.65737924,1.897810488,0.000750637,-1.378049583,0.003596186,0.273958094,0.008169334,-2.856993523,0.028657498,-16.56537988,1.753327864,-0.337249819,0.005931894,-0.120786788,0.026720105,-15.91986161,1.753695827,,-0.337608895,0.586988684,,28.25425949,28.25425949
4396,PK95-SC-92-02,IPL-CI-4763 PK95-SC-92-02,20260306.17,46087.70959,4763,-8.35102157,0.003042039,-0.158641792,0.004155005,30.74645459,2.077492216,0.00247827,-1.291426275,0.004144006,0.541175662,0.009556702,-2.730935399,0.025700963,-18.20791822,1.591783164,-0.347927966,0.007808682,-0.159591738,0.023525193,-17.93458411,1.594608803,,-0.348637283,0.575017828,,32.62661718,32.62661718
4397,PK95-242-02,IPL-CI-4764 PK95-242-02,20260307.13,46088.56241,4764,-3.697624987,0.000429364,-5.422712129,0.002466649,25.31967184,6.282951173,0.000400172,-6.534618415,0.002461285,-0.377570879,0.005495395,-13.12781515,0.022710962,-27.46548027,1.313451233,-0.396457673,0.005808524,-0.103332979,0.022997037,-21.41500237,1.323524925,,-0.395962792,0.523647956,,53.81481499,53.81481499
4399,PK95-SC-176-02,IPL-CI-4766 PK95-SC-176-02,20260307.19,46088.79345,4766,-8.984417272,0.000529574,-0.377308088,0.003618058,30.52102932,1.471415806,0.000440011,-1.510970326,0.003610102,-0.332555204,0.008388971,-3.18029328,0.022181722,-22.2276214,1.696197654,-0.366581396,0.007242088,-0.166794359,0.022203336,-20.86104385,1.697650426,,-0.366145517,0.556013368,,39.97653272,39.97653272
4401,PK95-SC-179-03,IPL-CI-4769 PK95-SC-179-03,20260308.18,46089.75348,4769,-7.380413745,0.000457078,-0.379030559,0.001336404,30.51925361,2.984803106,0.000426177,-1.50932596,0.001333417,1.255906923,0.007447076,-3.08178554,0.021628715,-19.03275345,1.66611934,-0.336089317,0.007240342,-0.065582144,0.021677271,-19.24007644,1.665728995,,-0.33773543,0.586851336,,28.30336709,28.30336709
4402,PK95-SC-187-02,IPL-CI-4775 PK95-SC-187-02,20260310.11,46091.48983,4775,-7.464720581,0.000483356,-0.328356219,0.003347728,30.57149429,2.907226646,0.00040436,-1.458935157,0.003340391,1.227234841,0.007895359,-3.024422813,0.020003861,-24.95968175,1.664306386,-0.340119806,0.006485355,-0.120392693,0.017416379,-25.19288268,1.664530449,,-0.341728339,0.5825172,,29.86543414,29.86543414
4404,PK95-SC-27-03,IPL-CI-4777 PK95-SC-27-03,20260311.1,46092.42501,4777,-9.936652051,0.003303448,-1.815644681,0.009586554,29.03823374,0.524410624,0.002527634,-2.948232806,0.009563174,-2.722235595,0.020520196,-5.957897342,0.042087421,-30.35119901,5.738638512,-0.40841127,0.017943872,-0.213162645,0.03975861,-25.3665991,5.772036768,,-0.404843244,0.514008594,,58.3042991,58.3042991
4405,PK95-SC-246-02,IPL-CI-4778 PK95-SC-246-02,20260311.12,46092.53178,4778,-6.663479051,0.000565932,-1.541623108,0.003246853,29.32072532,3.620759648,0.000494827,-2.667952068,0.003239891,0.734856351,0.007758222,-5.462678341,0.025141976,-20.91712086,1.671147822,-0.375155931,0.005921567,-0.146209499,0.022118473,-19.56265216,1.674346609,,-0.376119104,0.545187454,,44.40791592,44.40791592
4406,PK95-SC-80n-2-02,IPL-CI-4779 PK95-SC-80n-2-02,20260311.15,46092.64296,4779,-13.42518703,0.000525025,0.167335352,0.002909902,31.08250769,-2.699937868,0.000455632,-0.976797702,0.002903192,-4.066707596,0.008183915,-2.0837108,0.025619248,-29.5139305,1.424492397,-0.32376445,0.006843996,-0.142084761,0.023711405,-24.84093817,1.430844457,,-0.318434229,0.607801988,,21.07907324,21.07907324
4407,PK95-SC-246-03,IPL-CI-4780 PK95-SC-246-03,20260312.09,46093.37939,4780,-6.708902116,0.000709127,-1.53798985,0.004280728,29.32447088,3.578075982,0.000582294,-2.664421291,0.004271348,0.676459928,0.007512409,-5.45709681,0.023429191,-25.03279024,1.563965865,-0.382763447,0.007127334,-0.15055456,0.019617297,-23.64929216,1.567075211,,-0.383650081,0.537012892,,47.88155992,47.88155992
4461,PK95-SC-165,IPL-CI-4834 PK95-SC-165,20260409.12,46121.49684,4834,-7.036906528,0.000451089,-0.283538165,0.003142385,30.61769767,3.312369775,0.000399555,-1.413315198,0.003135529,1.690919122,0.008761138,-2.912865912,0.022344237,-15.8740615,1.748841923,-0.335604725,0.006869732,-0.093299508,0.021134202,-16.61506874,1.747844715,,-0.337561622,0.573477874,0.580846764,32.17295115,32.17295115
4463,PK95-SC-165,IPL-CI-4836 PK95-SC-165,20260409.17,46121.70284,4836,-7.001835282,0.000483276,-0.30254599,0.004128035,30.59810231,3.344664282,0.000447678,-1.43222492,0.004111942,1.714480814,0.008729117,-2.979849237,0.030049521,-16.31026858,1.802057499,-0.31970122,0.00880591,-0.10018923,0.028983169,-17.04104995,1.799623813,,-0.321685385,0.590906569,0.598275459,25.89585852,25.89585852
4464,PK95-SC-118up,IPL-CI-4837 PK95-SC-118up,20260410.09,46122.37744,4837,-8.447196029,0.00048262,-1.755559929,0.003676077,29.10017571,1.930018414,0.000421869,-2.885174085,0.003668046,-1.205846436,0.00746939,-5.822320097,0.024367646,-23.68150917,1.655732375,-0.359003222,0.005849319,-0.065767254,0.023011425,-20.14591761,1.662439674,,-0.357607699,0.551471592,0.558840482,40.69387008,40.69387008
4466,PK95-SC-118up,IPL-CI-4839 PK95-SC-118up,20260410.14,46122.59045,4839,-8.436986541,0.000574741,-1.756562975,0.003431012,29.09914166,1.939526929,0.000518966,-2.886153944,0.003423377,-1.181382316,0.006187042,-5.83970638,0.020656574,-20.83522089,1.619506135,-0.340818357,0.004919751,-0.076148732,0.020842551,-17.2925043,1.624635903,,-0.339451146,0.571403583,0.578772474,32.94664216,32.94664216
4469,PK95-SC-50,IPL-CI-4842 PK95-SC-50,20260413.09,46125.37963,4842,-8.557036973,0.000545053,-1.008484271,0.003966142,29.87034348,1.852723999,0.000406897,-2.139911846,0.003957282,-0.528300787,0.008103268,-4.360179596,0.021167939,-25.6469104,1.516983567,-0.340171345,0.006748708,-0.099573111,0.018507239,-23.48239814,1.519139193,,-0.339559944,0.571284147,0.578653037,32.99137023,32.99137023
4470,PK95-SC-92,IPL-CI-4843 PK95-SC-92,20260413.11,46125.48308,4843,-8.511364936,0.002763091,-0.295839539,0.003969376,30.60501606,1.920636241,0.002556843,-1.428682902,0.003958625,0.259809144,0.006976194,-2.971161365,0.024487469,-17.39292289,1.559124728,-0.318674483,0.006300848,-0.117422667,0.023858957,-16.64888417,1.55828224,,-0.31897516,0.593881813,0.601250703,24.86249866,24.86249866
4474,PK95-SC-179,IPL-CI-4850 PK95-SC-179,20260414.16,46126.67872,4850,-7.071136677,0.000497817,-0.308158808,0.004039,30.592316,3.279230174,0.000409235,-1.437955518,0.004029941,1.636826533,0.007535488,-3.011620418,0.020229868,-19.54301265,1.65405774,-0.331907131,0.006098449,-0.133837681,0.020055066,-20.20062651,1.65140325,,-0.333801426,0.57760576,0.584974651,30.65058304,30.65058304
4475,PK95-SC-179,IPL-CI-4851 PK95-SC-179,20260415.1,46127.44906,4851,-7.072266026,0.000495065,-0.19521368,0.003466199,30.70875227,3.282214104,0.000438934,-1.325251682,0.003458821,1.763015303,0.007145867,-2.791055342,0.023105278,-18.72471178,1.652284157,-0.322521892,0.006235832,-0.154051728,0.022439081,-19.60840613,1.649811679,,-0.324562226,0.587748416,0.595117306,27.0045937,27.0045937
4476,PK95-SC-179,IPL-CI-4852 PK95-SC-179,20260416.09,46128.38362,4852,-7.044833553,0.000447133,-0.266134676,0.002596123,30.6356391,3.305414629,0.000402992,-1.39596548,0.002590332,1.708487416,0.006861491,-2.824210321,0.024346466,-12.94884837,1.629921485,-0.32561148,0.006680852,-0.034294125,0.023535356,-13.71375731,1.628713021,,-0.327588709,0.584425989,0.591794879,28.18441566,28.18441566
4478,PK95-SC-80-n-1,IPL-CI-4854 PK95-SC-80-n-1,20260416.14,46128.59203,4854,-9.102978941,0.000511561,-0.045099995,0.003423488,30.86350596,1.371081011,0.000465497,-1.179715894,0.003415944,-0.080124594,0.007328592,-2.483345411,0.024454747,-19.91295764,1.122192095,-0.333954282,0.007331719,-0.124959266,0.023212602,-19.07253385,1.125167097,,-0.333861554,0.577539753,0.584908643,30.67474769,30.67474769
4480,PK95-SC-246,IPL-CI-4857 PK95-SC-246,20260417.11,46129.45689,4857,-6.564953232,0.000622493,-1.235045198,0.002880344,29.63677955,3.724357108,0.000591532,-2.361817467,0.002874268,1.183301311,0.006485557,-4.869531939,0.026825469,-18.88541259,1.337949182,-0.331986353,0.005929368,-0.155744269,0.02546457,-18.22195055,1.337392897,,-0.333355785,0.578094979,0.585463869,30.47166409,30.47166409
4482,PK95-SC-246,IPL-CI-4859 PK95-SC-246,20260417.16,46129.66336,4859,-6.516003382,0.000475798,-1.371246967,0.003904518,29.49636779,3.765787674,0.000430317,-2.497628373,0.003895872,1.067362008,0.006152063,-5.057576083,0.019518881,-21.06104928,1.480138539,-0.357006002,0.004833818,-0.074547012,0.016668724,-20.18105824,1.479321155,,-0.358241258,0.55077608,0.558144971,40.97493039,40.97493039
4486,PB-00-03-08,IPL-CI-4862 PB-00-03-08,20260420.09,46132.38942,4862,-8.877227939,0.000557828,0.445546808,0.003829662,31.36931866,1.601389151,0.000509037,-0.68963565,0.003821342,0.660790004,0.008460509,-1.466507424,0.02296391,-26.27204966,1.502529449,-0.315563691,0.006393863,-0.093459264,0.022514563,-26.62023825,1.50111864,,-0.316328422,0.596787363,0.604156253,23.86361442,23.86361442
4487,PB-00-03-08,IPL-CI-4863 PB-00-03-08,20260420.11,46132.49291,4863,-8.862392693,0.000498489,0.462557969,0.003569395,31.38685564,1.615884251,0.000488879,-0.672629679,0.003561846,0.685841376,0.007901619,-1.444235371,0.023078656,-19.53844157,1.712335112,-0.319405976,0.00693669,-0.100188806,0.023365493,-19.93088904,1.711646398,,-0.320199699,0.592537533,0.599906423,25.32806467,25.32806467
4489,PB-00-03-16,IPL-CI-4865 PB-00-03-16,20260420.17,46132.72289,4865,-14.2696713,0.000590208,0.275806814,0.003249542,31.194332,-3.492812187,0.000517652,-0.870327317,0.003242798,-4.795332645,0.007651465,-1.882373002,0.022624212,-24.86016779,1.29127835,-0.344592772,0.00608013,-0.130751717,0.023040864,-19.54779575,1.299452903,,-0.339043145,0.57185148,0.579220371,32.77908291,32.77908291
4490,PB-00-03-16,IPL-CI-4866 PB-00-03-16,20260421.16,46133.69634,4866,-14.2770236,0.000499244,0.287366716,0.004110555,31.20624922,-3.49950999,0.000456405,-0.858791326,0.004107309,-4.803378817,0.009189769,-1.84658625,0.022807791,-27.29899088,1.254545258,-0.348833968,0.006974056,-0.131159982,0.021602549,-22.01896199,1.260490427,,-0.343275029,0.567205782,0.574574672,34.53054873,34.53054873
